"";"X";"Species";"kingdomName";"phylumName";"orderName";"className";"familyName";"genusName";"speciesName";"redlistCategory_version_2020.2";"dietoriFdist";"activityoriFdist";"massoriFdist";"meanoriFdist";"dietoriFtree";"activityoriFtree";"massoriFtree";"meanoriFtree";"oriPdist";"oriPtree";"Exotic.1";"Exotic";"freq_cost";"freq_publi";"invacostY";"Average.annual.cost_damage";"Average.annual.cost_management"
"1";66;"Ammotragus lervia";"ANIMALIA";"CHORDATA";"CETARTIODACTYLA";"MAMMALIA";"BOVIDAE";"Ammotragus";"lervia";"Vulnerable";0,69785808446651;0,732816721529126;0,0532605903123949;0,494645132102677;0,000381630947819962;0,00151184539391172;0,0004731524825019;0,000788876274744527;0,628191837;3,68608386890706;FALSE;FALSE;8;1;"Y";NA;0,00114358430550233
"2";314;"Dama dama";"ANIMALIA";"CHORDATA";"CETARTIODACTYLA";"MAMMALIA";"CERVIDAE";"Dama";"dama";"Least Concern";0,69785808446651;0,641650691647672;0,0549438618230268;0,46481754597907;0,000381630947819962;0,000855956453590733;0,000392325774891431;0,000543304392100709;0,626600203;3,36356813864269;FALSE;FALSE;1;1;"Y";NA;0,00791092676984217
"3";486;"Macaca mulatta";"ANIMALIA";"CHORDATA";"PRIMATES";"MAMMALIA";"CERCOPITHECIDAE";"Macaca";"mulatta";"Least Concern";0,64239481825912;0,913113659628618;0,0226889464226775;0,526065808103472;0,00709332572169123;0,00431731354070018;0,000128100898375364;0,00384624672025559;0,65531939;3,78179853827191;FALSE;FALSE;6;2;"Y";NA;0,0370887330277256
"4";757;"Trichosurus vulpecula";"ANIMALIA";"CHORDATA";"DIPROTODONTIA";"MAMMALIA";"PHALANGERIDAE";"Trichosurus";"vulpecula";"Least Concern";0,669783256116736;0,692387517242689;0,0206926473572935;0,460954473572239;0,00406335698361656;0,00056934889082708;0,000112719725187328;0,00158180853321032;0,88241379;7,45634884697488;FALSE;FALSE;23;16;"Y";2,14453864969365;0,00516444501033433
"5";758;"Trichosurus vulpecula";"ANIMALIA";"CHORDATA";"DIPROTODONTIA";"MAMMALIA";"PHALANGERIDAE";"Trichosurus";"vulpecula";"Least Concern";0,669783256116736;0,692387517242689;0,0206926473572935;0,460954473572239;0,00406335698361656;0,00056934889082708;0,000112719725187328;0,00158180853321032;0,88241379;7,45634884697488;FALSE;FALSE;23;16;"Y";2,14453864969365;NA
"6";1833;"Hemitragus jemlahicus";"ANIMALIA";"CHORDATA";"CETARTIODACTYLA";"MAMMALIA";"BOVIDAE";"Hemitragus";"jemlahicus";"Near Threatened";0,69785808446651;0,641650691647672;0,0477158413885975;0,46240820583426;0,000381630947819962;0,000855956453590733;0,00063982343175493;0,000625803611055208;0,626264206;2,97475463651376;FALSE;FALSE;2;1;"Y";NA;0,475407211091011
"7";1842;"Cervus nippon";"ANIMALIA";"CHORDATA";"CETARTIODACTYLA";"MAMMALIA";"CERVIDAE";"Cervus";"nippon";"Least Concern";0,69785808446651;0,641650691647672;0,0551773787438169;0,464895384952666;0,000381630947819962;0,000855956453590733;0,000485649768133429;0,000574412389848041;0,626850556;2,85610754561588;FALSE;FALSE;1;1;"Y";0,0628681636660539;NA
"8";1875;"Rangifer tarandus";"ANIMALIA";"CHORDATA";"CETARTIODACTYLA";"MAMMALIA";"CERVIDAE";"Rangifer";"tarandus";"Vulnerable";0,69785808446651;0,73724939967631;0,0656679068638951;0,500258463668905;0,000381630947819962;0,00097660893086848;0,000517062276644892;0,000625100718444445;0,626679659;3,87674141053309;FALSE;FALSE;3;1;"Y";NA;0,00228571768499633
"9";2008;"Castor canadensis";"ANIMALIA";"CHORDATA";"RODENTIA";"MAMMALIA";"CASTORIDAE";"Castor";"canadensis";"Least Concern";0,69785808446651;0,641650691647672;0,0403235334952886;0,459944103203157;0,000381630947819962;0,000855956453590733;0,000383713267335153;0,000540433556248616;0,615827106;4,04883071615662;FALSE;FALSE;19;5;"Y";NA;NA
"10";2347;"Sciurus carolinensis";"ANIMALIA";"CHORDATA";"RODENTIA";"MAMMALIA";"SCIURIDAE";"Sciurus";"carolinensis";"Least Concern";0,752408574364921;0,857161692633683;0,0146467152280718;0,541405660742225;0,00515539977203174;0,00116634285694521;8,82549726546038e-05;0,00213666586721052;0,64009679;4,24632536713278;FALSE;FALSE;18;8;"Y";0,921483831606737;2,41755648555225
