internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
12835,Marmota marmota,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,SCIURIDAE,Marmota,marmota,,,,,"(Linnaeus, 1758)",
41306,Lepus granatensis,ANIMALIA,CHORDATA,LAGOMORPHA,MAMMALIA,LEPORIDAE,Lepus,granatensis,,,,,"Rosenhauer, 1856","<em>Lepus granatensis</em> was formerly included in <em>L</em>. <em>europaeus</em> or <em>L.</em> <em>capensis</em>; but see Palacios (1983, 1989), and Bonhomme <em>et al.</em> (1986). The population of hares in Sardinia, to which the names <em>mediterraneus</em> Wagner, 1841 and <em>typicus</em> Hilzheimer, 1906, are applied, in the past have been assigned to this species based on Miller (1912), who regarded it as closest to <em>granatensis</em>, though he retained it as a ""...very distinct species"" because of its small size. If in the future <em>mediterraneus</em> is confirmed as a synonym of <em>granatensis</em>, it has priority over <em>granatensis</em>. The Sardinian population is included in <em>L. capensis</em> until its taxonomic status is resolved.<span class=""Heading2Char""><strong><em> </em></strong><span class=""datalabel1""><em>L. granatensis</em><span class=""datalabel1""> is parapatric with <em>L. europaeus</em> in northern Spain, and in this region mtDNA from <em>granatensis</em> has been found in populations of <em>europaeus</em>. Molecular phylogeny has shown that <em>L. granatensis</em> is indeed a full species and one of three hare species present on the Iberian Peninsula (Alves <em>et al</em>. 2003, Estonba <em>et al</em>. 2006). Previous questions regarding taxonomic distinction of <em>L. granatensis</em> from<em> L. capensis</em> have been resolved by genetic and morphological comparisons (Mitchell-Jones <em>et al</em>. 1999, Alves <em>et al</em>. 2003). <br/> <br/></span><span class=""Heading2Char""><span class=""datalabel1""><span class=""datalabel1"">There are three subspecies: <em>Lepus granatensis granatensis </em>(Iberian Peninsula except northwest),<em> L. g. gallaecius </em>(northwest Spain, Galiza, and central Asturias),<em> L. g. solisi </em>(Mallorca Island) (Hoffmann and Smith 2005, Schai-Braun and Hackländer 2016,&#160; Alves and Acevedo 2018).</span></span>"
1151,Ammotragus lervia,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,BOVIDAE,Ammotragus,lervia,,,,,"(Pallas, 1777)","Six subspecies have been described (Ansell 1972; summarized in Cassinello&#160;1998). However, the morphological differences between them are not well defined, and there are several apparent zones of hybridization, evidence of an urgent need for the reassessment of subspecies (Cassinello&#160;1998)."
2814,Bison bonasus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,BOVIDAE,Bison,bonasus,,,,,"(Linnaeus, 1758)",Two genetic lines are distinguished in recent populations: the Lowland line (<em>B. b. bonasus</em>) and the Lowland-Caucasian line (<em>B. b. bonasus</em> and <em>B. b. caucasicus</em>). There are no surviving pure-bred populations of <em>B. b. caucasicus</em> (Pucek <em>et al.</em> 2004).
39255,Rupicapra rupicapra,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,BOVIDAE,Rupicapra,rupicapra,,,,,"(Linnaeus, 1758)",
42188,Dama dama,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Dama,dama,,,,,"(Linnaeus, 1758)","Feldhamer <em>et al</em>. (1988) and Geist (1998) included <em>Dama mesopotamica</em> in this species, though it was regarded as a separate species from <em>D. dama</em> by Haltenorth (1959), Ferguson <em>et al</em>. (1985), Uerpmann (1987), and Harrison and Bates (1991). We follow Pitra <em>et al</em>. (2004) in treating <em>D. mesopotamica</em> as a separate species, based on a major study on the evolution and phylogeny of old world deer."
6285,Dasyprocta mexicana,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,DASYPROCTIDAE,Dasyprocta,mexicana,,,,,"Saussure, 1860",
174391079,Erythrocebus patas,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Erythrocebus,patas,,,,,"(Schreber, 1774)","Schwarz (1927) placed all the currently recognised Patas Monkeys as subspecies of <em>Erythrocebus patas </em>(Schreber, 1775). Napier and Napier (1967) listed the Patas Monkey as comprising one species, with four subspecies: <em>E. p. patas</em> (Schreber, 1775), <em>E. p. pyrrhonotus</em> (Hemprich and Erhenberg, 1829), <em>E. p. baumstarki</em> Matschie, 1906, and <em>E. p. villiersi</em> Dekeyser, 1950. Verheyen (1962), Dandelot (1968, 1974), and Kingdon (1971, 1997) also recognised these four subspecies, but listed <em>Erythrocebus </em>as a subgenus of <em>Cercopithecus</em>. This was, based, evidently, on the indication of paraphyly with such species as Grivet Monkey <em>Chlorocebus aethiops</em>, Vervet Monkey <em>Chlorocebus pygerythrus</em>, and l'Hoest’s Monkey <em>Allochrocebus lhoesti </em>that were, at that time, all considered members of the genus <em>Cercopithecus </em>(Disotell 2000). This was resolved by the reinstatement of the genus <em>Chlorocebus </em>Gray, 1870, for the Grivet, Vervet, and other species of Savanna Monkeys, and the genus <em>Allochrocebus </em>Elliot, 1913, for l’Hoest’s Monkey and other species of Mountain Monkeys.<br/><br/>Grubb <em>et al</em>. (2003) recorded that Schwarz (1927) revised the systematics of the Patas Monkey and recognised three subspecies (those cited above except for <em>E. p. villiersi</em>, from the Aïr Massif, central northern Niger). They concluded these subspecies “do not appear to be well-founded, so further research into their status is needed” (p.1328), and listed them as synonyms of <em>E. patas</em>. Groves (2001, 2005) cited Loy (1987) as showing that the colours of the face and nose change during pregnancy and, believing that this covered “at least some of the supposed subspecific variation” (p.199), listed the subspecies as junior synonyms of a monotypic <em>E. patas</em>, as did Kingdon <em>et al</em>. (2008). Isbell (2013) pointed out, however, that, while Loy (1974) believed that the captive Patas in his care were from Ethiopia (corresponding to the range then believed to be of <em>E. p. pyrrhonotus</em>), Goldman and Loy (1997, J. Loy. pers. comm. in Isbell 2013) subsequently reported they were, in fact, from Nigeria (corresponding to the range of <em>E. p. patas</em>). Isbell <em>et al</em>. (2009) found that the facial colour of female <em>E. p. pyrrhonotus</em> in Kenya does not change with reproductive status, and the nose remains white once they are adult, distinguishing them from the black-nosed <em>E. p. patas</em> and <em>E. p. baumstarki</em>.<br/><br/>Isbell (1998, 2013) recognised <em>E. p. pyrrhonotus</em> (Eastern Patas) as occurring in Kenya, as did De Jong <em>et al</em>. (2008) who recorded its range as central and eastern Africa (South Sudan, southeastern Sudan, northeastern Democratic Republic of Congo, western Ethiopia and northern Uganda), including western, northwestern, southern and central Kenya. De Jong <em>et al</em>. (2009) and Isbell (2013) recognised <em>E. p. baumstarki</em> (Southern Patas) as endangered and endemic to central northern Tanzania. Kingdon (1997) referred to <em>baumstarki </em>as a “pallid Serengeti isolate” (p.57).<br/><br/>Isbell (2013) considered <em>E. p. villiersi</em> to be a synonym of <em>E. p. patas</em>, because the only difference from <em>E. p. patas</em> is its body size, which is “heavily influenced by environmental conditions” (p.257).<br/><br/>In a review of the taxonomy of <em>Erythrocebus</em>, Gippoliti (2017) insisted that the diversity of the wide-spread Patas Monkeys was underestimated. He resurrected <em>E. poliophaeus</em> (Heuglin in Reichenbach, 1863) from western Ethiopia and adjoining Sudan along the Blue Nile. Groves (2001, 2005) considered <em>poliophaeus </em>to be a synonym of <em>Erythrocebus patas</em>. Adopting the ‘Phylogenetic Species Concept’, Gippoliti (2017) recommended that <em>poliophaeus</em>, <em>baumstarki</em>, and <em>pyrrhonotus </em>be reinstated as species, with <em>pyrrhonotus </em>having two subspecies, the nominate form and <em>formosus </em>Elliot, 1909, this latter from southwestern Ethiopia, Uganda, and, presumably, southeastern South Sudan. <em>Erythrocebus poliophaeus </em>is within the range formerly ascribed to <em>E. p. pyrrhonotus</em>.<br/><br/>Baumstarki was described by Matschei (1906) as a species (type locality: Ikoma, western Serengeti). The distance between the nearest confirmed record for <em>baumstarki </em>(northern Serengeti National Park, Tanzania, G. Schaller pers. comm., Table 1 and number 15 in Figure 1 in De Jong <em>et al</em>. 2009) and nearest confirmed record for <em>pyrrhonotus </em>(Kiganjo, central Kenya, H. Doughles-Dufresne pers. comm., Table 3 and number 47 in Figure 2 in De Jong <em>et al</em>. 2008) is <em>ca </em>260 km. The distance between these two species was, however, not nearly so great historically as there are records between these two localities for <em>E. patas</em> that have not been identified as to subspecies (Figure 2 in De Jong <em>et al</em>. 2008). Based on its geographic isolation and the distinct colouration and pattern of its pelage (e.g., black nose, lack of a white moustache, and dark grey upper limbs, whereas <em>pyrrhonotus </em>has a white nose, white moustache, and lacks dark grey on the upper hind legs) <em>baumstarki </em>is here considered a species. This is in agreement with Gippoliti (2017), who suggests reinstating baumstarki to species level.<br/><br/>In the previous Red List assessment (Kingdon <em>et al</em>. 2008), <em>Erythrocebus </em>was taken to be a monotypic genus and <em>Erythrocebus patas </em>was taken to be as a monotypic species. This assessment recognises three species in this genus (<em>patas</em>, <em>poliophaeus</em>, <em>baumstarki</em>), and three subspecies within <em>E. patas</em> (<em>patas</em>, <em>pyrrhonotus</em>, <em>villiersi</em>)."
39832,Semnopithecus entellus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Semnopithecus,entellus,,,,,"(Dufresne, 1797)","<p>Monotypic. Show wide variation in coat colouration across their distribution but little genetic variation. <em>Semnopithecus entellus</em> sport the ‘Northern Type’ tail carriage, looped in the front. The tail either touches the back or falls on either side of the body. </p>"
4222,Cercopithecus mona,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Cercopithecus,mona,,,,,"(Schreber, 1775)","<span class=""datalabel1"">Monotypic species. It belongs to the <em>Cercopithecus mona</em> superspecies."
