"";"Rb";"AV";"FV";"NN"
"Struthio camelus";0,00927076876032025;0,411358663115766;0,411317498434177;0
"Rhea americana";0,0092707687603073;0,411358663115766;0,411317498434177;0
"Rhea pennata";0,0092707687603189;0,411358663115766;0,411317498434177;0
"Casuarius casuarius";0,00892085902944435;0,393418910749432;0,393379541299743;0
"Casuarius bennetti";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Casuarius unappendiculatus";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Dromaius novaehollandiae";0,0097257142124398;0,433849489585634;0,433806074245937;0
"Apteryx australis";0,0154899014678494;0,718984335653606;0,718912386855882;0
"Apteryx owenii";0,0151578249738741;0,702946065579042;0,702875721731791;0
"Apteryx haastii";0,0151578249738741;0,702946065579042;0,702875721731791;0
"Tinamus tao";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Tinamus solitarius";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Tinamus osgoodi";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Tinamus major";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Tinamus guttatus";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Nothocercus bonapartei";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Nothocercus julius";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Nothocercus nigrocapillus";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Crypturellus berlepschi";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Crypturellus cinereus";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Crypturellus soui";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Crypturellus ptaritepui";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Crypturellus obsoletus";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Crypturellus cinnamomeus";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Crypturellus undulatus";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Crypturellus transfasciatus";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Crypturellus strigulosus";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Crypturellus boucardi";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Crypturellus kerriae";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Crypturellus erythropus";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Crypturellus duidae";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Crypturellus noctivagus";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Crypturellus atrocapillus";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Crypturellus variegatus";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Crypturellus brevirostris";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Crypturellus bartletti";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Crypturellus parvirostris";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Crypturellus casiquiare";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Crypturellus tataupa";0,0088368618130476;0,388680345896989;0,388641450635716;0
"Rhynchotus rufescens";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Nothoprocta taczanowskii";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Nothoprocta ornata";0,00878142035285342;0,386001714503663;0,385963087293166;0
"Nothoprocta pentlandii";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Nothoprocta cinerascens";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Nothoprocta perdicaria";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Nothoprocta curvirostris";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Nothura darwinii";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Nothura chacoensis";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Nothura maculosa";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Nothura minor";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Nothura boraquira";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Taoniscus nanus";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Eudromia elegans";0,00892085902944433;0,393418910749432;0,393379541299743;0
"Eudromia formosa";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Tinamotis pentlandii";0,00927076876031894;0,411358663115766;0,411317498434177;0
"Tinamotis ingoufi";0,00878142035285342;0,386001714503663;0,385963087293166;0
"Ortalis vetula";0,00987584340222278;0,446378108982669;0,446333439903415;0
"Ortalis cinereiceps";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Ortalis garrula";0,00987584340222278;0,446378108982669;0,446333439903415;0
"Ortalis ruficauda";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Ortalis erythroptera";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Ortalis wagleri";0,00987584340222278;0,446378108982669;0,446333439903415;0
"Ortalis poliocephala";0,00987584340222278;0,446378108982669;0,446333439903415;0
"Ortalis canicollis";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Ortalis leucogastra";0,00960349892888374;0,429983767423417;0,429940738926727;0
"Ortalis guttata";0,00987584340222278;0,446378108982669;0,446333439903415;0
"Ortalis motmot";0,00907646746496246;0,405185771871565;0,405145224911506;0
"Ortalis superciliaris";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Penelope argyrotis";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Penelope barbata";0,00907646746496246;0,405185771871565;0,405145224911506;0
"Penelope ortoni";0,0091871231868112;0,410995220493037;0,41095409218117;0
"Penelope montagnii";0,0101890013263;0,459332056674782;0,459286091293348;0
"Penelope marail";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Penelope superciliaris";0,00907646746496246;0,405185771871565;0,405145224911506;0
"Penelope dabbenei";0,00976353846913692;0,439641619837012;0,439597624878558;0
"Penelope purpurascens";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Penelope perspicax";0,00986981644680115;0,44436775150318;0,444323283600498;0
"Penelope albipennis";0,00987584340222278;0,446378108982669;0,446333439903415;0
"Penelope jacquacu";0,00974023193732248;0,439111313582547;0,439067371691866;0
"Penelope obscura";0,00803674141948594;0,350534264720014;0,350499186738956;0
"Penelope pileata";0,0091871231868112;0,410995220493037;0,41095409218117;0
"Penelope ochrogaster";0,0091871231868112;0,410995220493037;0,41095409218117;0
"Penelope jacucaca";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Pipile pipile";0,00987584340222278;0,446378108982669;0,446333439903415;0
"Pipile cumanensis";0,0104566086355958;0,475847141671222;0,475799523624422;0
"Pipile cujubi";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Pipile jacutinga";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Aburria aburri";0,0101890013263;0,459332056674782;0,459286091293348;0
"Chamaepetes unicolor";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Chamaepetes goudotii";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Penelopina nigra";0,00930212105062462;0,417321260613811;0,417279499254798;0
"Oreophasis derbianus";0,00972745081433572;0,436150162372091;0,436106516803956;0
"Nothocrax urumutum";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Mitu tomentosum";0,00865533865862548;0,380319743791853;0,380281685176443;0
"Mitu salvini";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Mitu tuberosum";0,00909458277753374;0,402364282301957;0,402324017688497;0
"Mitu mitu";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Pauxi pauxi";0,00881986180472762;0,38813057340477;0,388091733159258;0
"Pauxi unicornis";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Crax rubra";0,00892085902944434;0,393418910749432;0,393379541299743;0
"Crax alberti";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Crax daubentoni";0,00815624718508145;0,357149633576659;0,357113893595315;0
"Crax alector";0,00892085902944434;0,393418910749432;0,393379541299743;0
"Crax globulosa";0,00847085345077018;0,371303232592774;0,371266076260081;0
"Crax fasciolata";0,00892085902944434;0,393418910749432;0,393379541299743;0
"Crax blumenbachii";0,00847085345077018;0,371303232592774;0,371266076260081;0
"Alectura lathami";0,00892085902944434;0,393418910749432;0,393379541299743;0
"Aepypodius arfakianus";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Aepypodius bruijnii";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Talegalla cuvieri";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Talegalla fuscirostris";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Talegalla jobiensis";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Macrocephalon maleo";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Megapodius nicobariensis";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Megapodius cumingii";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Megapodius bernsteinii";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Megapodius reinwardt";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Megapodius freycinet";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Megapodius affinis";0,00909458277753374;0,402364282301957;0,402324017688497;0
"Megapodius eremita";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Megapodius layardi";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Megapodius laperouse";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Megapodius pritchardii";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Eulipoa wallacei";0,00909458277753374;0,402364282301957;0,402324017688497;0
"Leipoa ocellata";0,00881986180472762;0,38813057340477;0,388091733159258;0
"Lerwa lerwa";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Ammoperdix griseogularis";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Ammoperdix heyi";0,00927076876031895;0,411358663115766;0,411317498434177;0
"Tetraogallus caucasicus";0,00883686181304761;0,388680345896989;0,388641450635716;0
"Tetraogallus caspius";0,00883686181304761;0,388680345896989;0,388641450635716;0
"Tetraogallus tibetanus";0,00927076876031895;0,411358663115766;0,411317498434177;0
