"";"Rb";"AV";"FV";"NN"
"Struthio camelus";0,0128449223695452;0,858506581663064;0,85842067086734;0,130589531104217
"Rhea americana";0,010298235541114;0,676950116431635;0,67688237400029;0
"Rhea pennata";0,0117864227929088;0,77827443722712;0,778196555266024;0
"Casuarius casuarius";0,0120794530987445;0,811833237294512;0,811751997102648;0
"Casuarius bennetti";0,0120794530987444;0,811833237294512;0,811751997102648;0
"Casuarius unappendiculatus";0,0111670340713079;0,741552382266287;0,741478175083032;0,114423620465142
"Dromaius novaehollandiae";0,0104465413150412;0,692491576878872;0,692422279212817;0
"Apteryx australis";0,00789000323179431;0,451453228939452;0,451408051992696;0
"Apteryx owenii";0,00789000323179431;0,451453228939452;0,451408051992696;0
"Apteryx haastii";0,00778405546762373;0,435284689782548;0,435241130822297;0
"Tinamus tao";0,0113816448095804;0,766843321816448;0,766766583767632;0,150413934519039
"Tinamus solitarius";0,0104934214706533;0,695908029652901;0,69583839010225;0
"Tinamus osgoodi";0,0122666776903172;0,833522145457399;0,833438734855432;0
"Tinamus major";0,0105747280007044;0,700893521644785;0,700823383195706;0,150413934519039
"Tinamus guttatus";0,0114293095456146;0,757308199203558;0,75723241533493;0
"Nothocercus bonapartei";0,0106089082605284;0,690333306249088;0,690264224561281;0
"Nothocercus julius";0,00991482185289984;0,638465306324877;0,638401415070366;0
"Nothocercus nigrocapillus";0,0132376061942253;0,894242910815274;0,89415342388334;0
"Crypturellus berlepschi";0,00987430946548014;0,642350079593353;0,642285799589391;0
"Crypturellus cinereus";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Crypturellus soui";0,0104934214706533;0,695908029652901;0,69583839010225;0
"Crypturellus ptaritepui";0,00987430946548014;0,642350079593353;0,642285799589391;0
"Crypturellus obsoletus";0,00977690841475883;0,61861642358199;0,618554518606149;0
"Crypturellus cinnamomeus";0,00967307815994504;0,626301176414604;0,62623850242517;0
"Crypturellus undulatus";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Crypturellus transfasciatus";0,00987430946548015;0,642350079593353;0,642285799589391;0
"Crypturellus strigulosus";0,00987430946548015;0,642350079593353;0,642285799589391;0
"Crypturellus boucardi";0,0107533760035465;0,715001538339346;0,714929988100345;0
"Crypturellus kerriae";0,00987430946548014;0,642350079593353;0,642285799589391;0
"Crypturellus erythropus";0,00987430946548014;0,642350079593353;0,642285799589391;0
"Crypturellus duidae";0,00987430946548014;0,642350079593353;0,642285799589391;0
"Crypturellus noctivagus";0,011000551853449;0,716697056201402;0,716625336291846;0
"Crypturellus atrocapillus";0,00987430946548015;0,642350079593353;0,642285799589391;0
"Crypturellus variegatus";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Crypturellus brevirostris";0,00987430946548015;0,642350079593353;0,642285799589391;0
"Crypturellus bartletti";0,00987430946548015;0,642350079593353;0,642285799589391;0
"Crypturellus parvirostris";0,0105867698316362;0,685807904389204;0,685739275558584;0
"Crypturellus casiquiare";0,00987430946548015;0,642350079593353;0,642285799589391;0
"Crypturellus tataupa";0,00916685622448872;0,568194060219066;0,568137201011599;0
"Rhynchotus rufescens";0,00968890828487589;0,611553264977236;0,611492066812023;0
"Nothoprocta taczanowskii";0,00949764552592826;0,599768142634535;0,599708123807092;0
"Nothoprocta ornata";0,0118242083567204;0,782369018954471;0,782290727248381;0
"Nothoprocta pentlandii";0,0118242083567204;0,782369018954471;0,782290727248381;0
"Nothoprocta cinerascens";0,00806847525029472;0,481225218863078;0,48117706263183;0
"Nothoprocta perdicaria";0,00949764552592827;0,599768142634535;0,599708123807092;0
"Nothoprocta curvirostris";0,00949764552592827;0,599768142634535;0,599708123807092;0
"Nothura darwinii";0,00934763336887077;0,584347877816539;0,584289402095752;0
"Nothura chacoensis";0,00939825214787057;0,599102362960752;0,599042410757914;0
"Nothura maculosa";0,00908099791584543;0,576179308147401;0,576121649855782;0
"Nothura minor";0,00939825214787057;0,599102362960752;0,599042410757914;0
"Nothura boraquira";0,00939825214787057;0,599102362960752;0,599042410757914;0
"Taoniscus nanus";0,00977690841475884;0,61861642358199;0,618554518606149;0
"Eudromia elegans";0,0107808138266396;0,703090295069266;0,703019936788963;0
"Eudromia formosa";0,0107808138266396;0,703090295069266;0,703019936788963;0
"Tinamotis pentlandii";0,0135643665173537;0,914021523570304;0,913930057391622;0
"Tinamotis ingoufi";0,0135643665173537;0,914021523570304;0,913930057391622;0
"Ortalis vetula";0,0128723429430381;0,869698756578346;0,86961172578113;0
"Ortalis cinereiceps";0,0126259723567803;0,854531300333062;0,854445787343936;0
"Ortalis garrula";0,0128723429430381;0,869698756578346;0,86961172578113;0
"Ortalis ruficauda";0,0128723429430381;0,869698756578346;0,86961172578113;0
"Ortalis erythroptera";0,0130976153464312;0,883592906986326;0,883504485800798;0
"Ortalis wagleri";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Ortalis poliocephala";0,0126868187491229;0,860377729939041;0,860291631897418;0
"Ortalis canicollis";0,0112462590207177;0,743911506980959;0,743837063719978;0,162083339303288
"Ortalis leucogastra";0,0119608959584162;0,804300748834003;0,804220262418629;0
"Ortalis guttata";0,0125101739930316;0,847358263876418;0,847273468693403;0
"Ortalis motmot";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Ortalis superciliaris";0,0128723429430381;0,869698756578346;0,86961172578113;0
"Penelope argyrotis";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Penelope barbata";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Penelope ortoni";0,0126259723567803;0,854531300333062;0,854445787343936;0
"Penelope montagnii";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Penelope marail";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Penelope superciliaris";0,0120873946367786;0,813552155769358;0,813470743565239;0
"Penelope dabbenei";0,0126259723567803;0,854531300333062;0,854445787343936;0
"Penelope purpurascens";0,0119608959584162;0,804300748834003;0,804220262418629;0
"Penelope perspicax";0,0126259723567803;0,854531300333062;0,854445787343936;0
"Penelope albipennis";0,0130976153464312;0,883592906986326;0,883504485800798;0
"Penelope jacquacu";0,0124138410024584;0,841482064592084;0,841397857440619;0
"Penelope obscura";0,0126259723567803;0,854531300333062;0,854445787343936;0
"Penelope pileata";0,0126259723567803;0,854531300333062;0,854445787343936;0
"Penelope ochrogaster";0,0127141691724227;0,859946533044;0,859860478152271;0
"Penelope jacucaca";0,0126259723567803;0,854531300333062;0,854445787343936;0
"Pipile pipile";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Pipile cumanensis";0,0119843603503505;0,806595286679876;0,806514570649987;0
"Pipile cujubi";0,0115273012347844;0,776840232646557;0,776762494206384;0
"Pipile jacutinga";0,0117284954311815;0,790131310963694;0,790052242484663;0
"Aburria aburri";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Chamaepetes unicolor";0,0126259723567803;0,854531300333062;0,854445787343936;0
"Chamaepetes goudotii";0,0124454514151751;0,843771202706463;0,843686766480834;0
"Penelopina nigra";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Oreophasis derbianus";0,0130976153464312;0,883592906986326;0,883504485800798;0
"Nothocrax urumutum";0,0124563550799422;0,844606345159872;0,844521825361497;0,0992595437392582
"Mitu tomentosum";0,0123295258851102;0,836835090921108;0,836751348792526;0
"Mitu salvini";0,0123080448342666;0,836780358662952;0,83669662201143;0
"Mitu tuberosum";0,0117284954311815;0,790131310963694;0,790052242484663;0
"Mitu mitu";0,0126251008390839;0,854362962501554;0,854277466358003;0
"Pauxi pauxi";0,0123080448342666;0,836780358662952;0,83669662201143;0
"Pauxi unicornis";0,0126916299542036;0,85987902368717;0,859792975551106;0
"Crax rubra";0,0119843603503505;0,806595286679876;0,806514570649987;0
"Crax alberti";0,0126015622660626;0,85300536151851;0,852920001230157;0
"Crax daubentoni";0,0126015622660626;0,85300536151851;0,852920001230157;0
"Crax alector";0,0126015622660626;0,85300536151851;0,852920001230157;0
"Crax globulosa";0,0107445962671916;0,712781699064281;0,712710370964705;0,132413704009304
"Crax fasciolata";0,0124454514151751;0,843771202706463;0,843686766480834;0
"Crax blumenbachii";0,0117284954311815;0,790131310963694;0,790052242484663;0
"Alectura lathami";0,0111912942110639;0,740319632808155;0,740245548986199;0
"Aepypodius arfakianus";0,0115794063699934;0,77985256156924;0,779774521685164;0
"Aepypodius bruijnii";0,0115794063699934;0,77985256156924;0,779774521685164;0
"Talegalla cuvieri";0,00842771850890068;0,506558703279739;0,506508011925463;0
"Talegalla fuscirostris";0,00842771850890068;0,506558703279739;0,506508011925463;0
"Talegalla jobiensis";0,00842771850890068;0,506558703279739;0,506508011925463;0
"Macrocephalon maleo";0,00867418691796259;0,52998931133464;0,529936275278267;0
"Megapodius nicobariensis";0,00778405546762373;0,435284689782548;0,435241130822297;0
"Megapodius cumingii";0,00778405546762373;0,435284689782548;0,435241130822297;0
"Megapodius bernsteinii";0,00778405546762373;0,435284689782548;0,435241130822297;0
"Megapodius reinwardt";0,0124236915174283;0,813887393987105;0,81380594823568;0
"Megapodius freycinet";0,00778405546762373;0,435284689782548;0,435241130822297;0
"Megapodius affinis";0,00781787054249345;0,451402375005858;0,451357203148057;0
"Megapodius eremita";0,00984802403483032;0,642108718970016;0,642044463119024;0
"Megapodius layardi";0,00781787054249345;0,451402375005858;0,451357203148057;0
"Megapodius laperouse";0,00781787054249345;0,451402375005858;0,451357203148057;0
"Megapodius pritchardii";0,00778405546762373;0,435284689782548;0,435241130822297;0
"Eulipoa wallacei";0,00781787054249345;0,451402375005858;0,451357203148057;0
"Leipoa ocellata";0,0122380697240985;0,821522390455326;0,821440180669431;0
"Lerwa lerwa";0,0139616420833101;0,937660424694748;0,937566592970071;0
"Ammoperdix griseogularis";0,0123764675224658;0,829364562946521;0,82928156839404;0
"Ammoperdix heyi";0,00956030030574216;0,620104753572634;0,620042699659538;0
"Tetraogallus caucasicus";0,0143017934340542;0,957616724046662;0,95752089529413;0
"Tetraogallus caspius";0,0143017934340542;0,957616724046662;0,95752089529413;0
"Tetraogallus tibetanus";0,0143017934340542;0,957616724046662;0,95752089529413;0
"Tetraogallus altaicus";0,0123764675224658;0,829364562946521;0,82928156839404;0
"Tetraogallus himalayensis";0,0138859472421454;0,932265015764627;0,932171723958787;0
"Tetraophasis obscurus";0,0141090649729858;0,945927735679415;0,945833076644523;0
"Tetraophasis szechenyii";0,0143017934340542;0,957616724046662;0,95752089529413;0
"Alectoris barbara";0,0123764675224658;0,829364562946521;0,82928156839404;0
"Alectoris melanocephala";0,011000551853449;0,716697056201402;0,716625336291846;0
"Alectoris chukar";0,0128213053301646;0,84855032146194;0,848465406989663;0,0992595437392582
"Alectoris philbyi";0,011000551853449;0,716697056201402;0,716625336291846;0
"Alectoris magna";0,0132804031708826;0,88704517596699;0,886956409312735;0
"Alectoris graeca";0,0124236915174283;0,813887393987105;0,81380594823568;0
"Alectoris rufa";0,0128531740420431;0,859824364983902;0,859738322317537;0,114423620465142
"Francolinus francolinus";0,0128300403228367;0,858425043068324;0,858339140432172;0,156921791684096
"Francolinus pictus";0,0126990548570417;0,849358506194766;0,849273510847404;0,162092420764667
"Francolinus pintadeanus";0,0107808138266395;0,703090295069266;0,703019936788963;0
"Francolinus pondicerianus";0,0119945715017298;0,805519267610036;0,805438659257429;0
"Francolinus gularis";0,0117751951094797;0,780503361564246;0,780425256554583;0
"Francolinus coqui";0,0117751951094797;0,780503361564246;0,780425256554583;0
"Francolinus albogularis";0,00916685622448873;0,568194060219066;0,568137201011599;0
"Francolinus schlegelii";0,0117751951094797;0,780503361564246;0,780425256554583;0
"Francolinus lathami";0,00778315862826248;0,440062584057767;0,440018546973403;0
"Francolinus sephaena";0,00831172793825445;0,488306905295667;0,488258040399711;0
"Francolinus streptophorus";0,00916685622448873;0,568194060219066;0,568137201011599;0
"Francolinus finschi";0,00906887926694657;0,557686037274639;0,557630229605543;0
"Francolinus africanus";0,0123190675191912;0,815032082321803;0,814950522021361;0,114423620465142
"Francolinus levaillantii";0,0115665141008567;0,746657672939029;0,746582954869086;0,125263191819866
"Francolinus psilolaemus";0,0143017934340542;0,957616724046662;0,95752089529413;0
"Francolinus shelleyi";0,0114311196142627;0,745628617190124;0,745554002097841;0
"Francolinus levaillantoides";0,0111912942110639;0,740319632808155;0,740245548986199;0
"Francolinus nahani";0,0107882062038817;0,714407634599089;0,714336143792064;0
"Francolinus hartlaubi";0,0124236915174283;0,813887393987105;0,81380594823568;0
"Francolinus bicalcaratus";0,0119187614345608;0,800222936709596;0,800142858361081;0,150413934519039
"Francolinus clappertoni";0,00908099791584544;0,576179308147401;0,576121649855782;0
"Francolinus icterorhynchus";0,00908099791584544;0,576179308147401;0,576121649855782;0
"Francolinus harwoodi";0,0107882062038817;0,714407634599089;0,714336143792064;0
"Francolinus adspersus";0,00940858341701128;0,59345245340397;0,593393066587859;0,150413934519039
"Francolinus capensis";0,00993960213644308;0,642952819067809;0,642888478747678;0
"Francolinus hildebrandti";0,0129957663734781;0,869195468483776;0,869108488050624;0
"Francolinus natalensis";0,0124236915174283;0,813887393987105;0,81380594823568;0
"Francolinus ahantensis";0,0124236915174283;0,813887393987105;0,81380594823568;0
"Francolinus squamatus";0,0124236915174283;0,813887393987105;0,81380594823568;0
"Francolinus griseostriatus";0,00997657016453965;0,635155710831009;0,635092150767882;0
"Francolinus leucoscepus";0,0118242083567204;0,782369018954471;0,782290727248381;0
"Francolinus rufopictus";0,0124320934193292;0,822869177345829;0,822786832786903;0
"Francolinus afer";0,0131954068530157;0,880916898568515;0,88082874517128;0
"Francolinus swainsonii";0,0117751951094797;0,780503361564246;0,780425256554583;0
"Francolinus erckelii";0,0124236915174283;0,813887393987105;0,81380594823568;0
"Francolinus ochropectus";0,00984802403483031;0,642108718970016;0,642044463119024;0
"Francolinus castaneicollis";0,00977690841475889;0,61861642358199;0,618554518606149;0
"Francolinus nobilis";0,0132376061942253;0,894242910815274;0,89415342388334;0
"Francolinus jacksoni";0,011000551853449;0,716697056201402;0,716625336291846;0
"Francolinus camerunensis";0,00984802403483031;0,642108718970016;0,642044463119024;0
"Francolinus swierstrai";0,011000551853449;0,716697056201402;0,716625336291846;0
"Perdix perdix";0,011000551853449;0,716697056201402;0,716625336291846;0
"Perdix dauurica";0,0107533760035464;0,715001538339346;0,714929988100345;0
"Perdix hodgsoniae";0,00977690841475889;0,61861642358199;0,618554518606149;0
"Rhizothera longirostris";0,0106946125217723;0,7078917314625;0,707820892702221;0,182331895308434
"Margaroperdix madagascariensis";0,0124236915174283;0,813887393987105;0,81380594823568;0
"Melanoperdix niger";0,0111912942110639;0,740319632808155;0,740245548986199;0
"Coturnix coturnix";0,0120738794633234;0,805525972403951;0,805445363380394;0
"Coturnix japonica";0,0124236915174283;0,813887393987105;0,81380594823568;0
"Coturnix pectoralis";0,0124831700477452;0,838302177581563;0,838218288641547;0
"Coturnix coromandelica";0,0113673744358318;0,74932476961603;0,749249784649591;0
