"";"dietori";"activityori";"massori";"meanori"
"Struthio camelus";0,858506581663064;0,411358663115766;0,934386816728957;0,734750687169262
"Rhea americana";0,676950116431635;0,411358663115766;0,51548872168049;0,534599167075964
"Rhea pennata";0,77827443722712;0,411358663115766;0,523299995338454;0,570977698560447
"Casuarius casuarius";0,811833237294512;0,393418910749432;0,661982309275523;0,622411485773156
"Casuarius bennetti";0,811833237294512;0,393418910749432;0,606631942681583;0,603961363575176
"Casuarius unappendiculatus";0,741552382266287;0,393418910749432;0,673643800982506;0,602871697999408
"Dromaius novaehollandiae";0,692491576878872;0,433849489585634;0,600550141027246;0,575630402497251
"Apteryx australis";0,451453228939452;0,718984335653606;0,193739878531274;0,454725814374777
"Apteryx owenii";0,451453228939452;0,702946065579042;0,143616102241012;0,432671798919835
"Apteryx haastii";0,435284689782548;0,702946065579042;0,181664676125378;0,439965143828989
"Tinamus tao";0,766843321816448;0,411358663115766;0,162542365593629;0,446914783508614
"Tinamus solitarius";0,695908029652901;0,411358663115766;0,15170663664637;0,419657776471679
"Tinamus osgoodi";0,833522145457399;0,411358663115766;0,146226096041019;0,463702301538061
"Tinamus major";0,700893521644785;0,411358663115766;0,131041384391044;0,414431189717198
"Tinamus guttatus";0,757308199203558;0,411358663115766;0,107509448130032;0,425392103483119
"Nothocercus bonapartei";0,690333306249088;0,411358663115766;0,113278699944629;0,404990223103161
"Nothocercus julius";0,638465306324877;0,411358663115766;0,10660492504544;0,385476298162028
"Nothocercus nigrocapillus";0,894242910815274;0,411358663115766;0,0994850516599094;0,468362208530316
"Crypturellus berlepschi";0,642350079593353;0,393418910749432;0,0935464772984654;0,37643848921375
"Crypturellus cinereus";0,854362962501554;0,411358663115766;0,0926421770928251;0,452787934236715
"Crypturellus soui";0,695908029652901;0,411358663115766;0,0621998342669142;0,389822175678527
"Crypturellus ptaritepui";0,642350079593353;0,393418910749432;0,0837922154723517;0,373187068605046
"Crypturellus obsoletus";0,61861642358199;0,411358663115766;0,0868581563549754;0,372277747684244
"Crypturellus cinnamomeus";0,626301176414604;0,411358663115766;0,0848130974726643;0,374157645667678
"Crypturellus undulatus";0,854362962501554;0,411358663115766;0,0976680880682641;0,454463237895195
"Crypturellus transfasciatus";0,642350079593353;0,393418910749432;0,0702088519863711;0,368659280776385
"Crypturellus strigulosus";0,642350079593353;0,393418910749432;0,0856382653332472;0,373802418558677
"Crypturellus boucardi";0,715001538339346;0,411358663115766;0,086119960900449;0,40416005411852
"Crypturellus kerriae";0,642350079593353;0,393418910749432;0,0837922154723517;0,373187068605046
