"";"Rb";"AV";"FV";"NN"
"Struthio camelus";0,10869009813865;0,934386816728957;0,93429331259439;0,260769113536036
"Rhea americana";0,0588783422492057;0,51548872168049;0,515437136698835;0,00782144968337239
"Rhea pennata";0,0598015025915051;0,523299995338454;0,523247628682261;0,00782144968337239
"Casuarius casuarius";0,076238211440962;0,661982309275523;0,661916064673374;0,0116649940070247
"Casuarius bennetti";0,0696634156243017;0,606631942681583;0,606571236993333;0,0060860653109801
"Casuarius unappendiculatus";0,0776254647467313;0,673643800982506;0,67357638941431;0,0116649940070247
"Dromaius novaehollandiae";0,0689419497973831;0,600550141027246;0,600490043945186;0,00356588870827068
"Apteryx australis";0,0216215425397133;0,193739878531274;0,19372049097213;0
"Apteryx owenii";0,0163843885102584;0,143616102241012;0,143601730570618;1,79058118758013e-05
"Apteryx haastii";0,0203306450249121;0,181664676125378;0,181646496932331;5,87451096395186e-05
"Tinamus tao";0,0183242439959325;0,162542365593629;0,162526099971134;5,20420810154465e-06
"Tinamus solitarius";0,0172071216618954;0,15170663664637;0,151691455355802;0,000283670205116993
"Tinamus osgoodi";0,0166488783448001;0,146226096041019;0,146211463188418;0,000180842765466843
"Tinamus major";0,0151296373606862;0,131041384391044;0,131028271073282;1,46960893407655e-05
"Tinamus guttatus";0,0128641552064453;0,107509448130032;0,107498689654286;5,21771237879942e-05
"Nothocercus bonapartei";0,0134086827455242;0,113278699944629;0,113267364139571;4,60311683717907e-05
"Nothocercus julius";0,0127795180715971;0,10660492504544;0,106594257085363;2,77696583841913e-06
"Nothocercus nigrocapillus";0,0121202700103384;0,0994850516599094;0,0994750961859116;2,4396671300192e-05
"Crypturellus berlepschi";0,0115798004330186;0,0935464772984654;0,0935371160978951;5,75034984248435e-05
"Crypturellus cinereus";0,0114984547321375;0,0926421770928251;0,0926329063856208;4,14393039375738e-05
"Crypturellus soui";0,00890558863767153;0,0621998342669142;0,0621936099264492;0
"Crypturellus ptaritepui";0,0107157797659183;0,0837922154723517;0,0837838303812407;0
"Crypturellus obsoletus";0,0109846807588296;0,0868581563549754;0,0868494644550099;1,46937842922246e-05
"Crypturellus cinnamomeus";0,0108050707723995;0,0848130974726643;0,0848046102218414;0,00012517894288086
"Crypturellus undulatus";0,01195383087572;0,0976680880682641;0,097658314417902;6,04395728453777e-05
"Crypturellus transfasciatus";0,00955738947233648;0,0702088519863711;0,0702018261831102;0
"Crypturellus strigulosus";0,010877386256754;0,0856382653332472;0,0856296955078361;3,74479637355873e-05
"Crypturellus boucardi";0,0109197132173906;0,086119960900449;0,0861113428717389;4,70647592551166e-05
"Crypturellus kerriae";0,0107157797659183;0,0837922154723517;0,0837838303812407;0
"Crypturellus erythropus";0,0113252600265476;0,0907035791760248;0,0906945024644091;1,38386788037792e-05
"Crypturellus duidae";0,0108388394684898;0,0851987052193596;0,0851901793807506;1,25738993162761e-05
"Crypturellus noctivagus";0,011934976167358;0,0974615733686658;0,0974518203842399;4,39186325624508e-05
"Crypturellus atrocapillus";0,0110642352580169;0,0877602219155681;0,0877514397458578;0
"Crypturellus variegatus";0,0104256827477773;0,080451240797288;0,0804431900376766;0
"Crypturellus brevirostris";0,0107157797659183;0,0837922154723517;0,0837838303812407;0
"Crypturellus bartletti";0,0091522322155539;0,0652680160583877;0,0652614846848204;0
