"";"Rb_median";"AV_median";"FV_median";"NNmed"
"Taoniscus_nanus";0,0114440967698239;0,999104601517556;0,999004621071091;0,391591763659127
"Rhynchotus_maculicollis";0,0114436748469487;0,999097149794766;0,998997170093996;0,300230481185958
"Rhynchotus_rufescens";0,0114436748469458;0,999107768780039;0,999007788016627;0,357684295546151
"Nothoprocta_curvirostris";0,0114434730405919;0,999101688974014;0,999001708819008;0,404318261946382
"Nothoprocta_perdicaria";0,0114434730405919;0,999063516758574;0,998963540423464;0,373121573568376
"Nothoprocta_cinerascens";0,011442614770752;0,998986384775792;0,998886416159283;0,300513094479101
"Nothoprocta_ornata";0,0114426246179003;0,998963884011395;0,998863917646538;0,221079593742047
"Nothoprocta_taczanowskii";0,0114428126518151;0,998973891135652;0,998873923769382;0,261242217264306
"Nothoprocta_pentlandii";0,011442684728301;0,99899065702861;0,998890687984576;0,274938712106522
"Nothura_minor";0,011442684728301;0,99899850968351;0,998898539853661;0,239028195013997
"Nothura_darwinii";0,0114431461715697;0,998975302963217;0,998875335455665;0,25896361976679
"Nothura_maculosa";0,0114430642985844;0,99899581628151;0,99889584672119;0,276103914926961
"Nothura_chacoensis";0,0114431435768957;0,998996670856052;0,998896701210214;0,296861423561692
"Nothura_boraquira";0,0114441704287511;0,999031772187671;0,998931799029241;0,349305427261072
"Eudromia_formosa";0,0114450630106397;0,999077221496016;0,998977243789471;0,292571065445673
"Eudromia_elegans";0,0114442558942199;0,999076233707551;0,998976256099856;0,326960153118531
"Tinamotis_pentlandii";0,0114443266236466;0,999085167166288;0,99898518866462;0,348951024335102
"Tinamotis_ingoufi";0,0114443983036774;0,99910533410972;0,999005353589947;0,499749059735288
"Tinamus_guttatus";0,0114414419201036;0,998985193796527;0,998885225299199;0,34248869176663
"Tinamus_major";0,0114413476664973;0,998959182685641;0,998859216791246;0,245463714868925
"Tinamus_tao";0,0114415632499813;0,998959635433664;0,998859669493962;0,262659171209908
