"";"ED";"ES"
"Struthio camelus";0,000121430967291621;0
"Rhea americana";0,000121430967291621;0
"Rhea pennata";0,000121430967291621;0
"Casuarius casuarius";0,000251428617012237;4,81543330555236e-91
"Casuarius bennetti";0,000251428617012237;4,81543330555236e-91
"Casuarius unappendiculatus";0,000251428617012237;9,63086661110473e-91
"Dromaius novaehollandiae";0,00138581695964714;2,99256383088735e-16
"Apteryx australis";0,00598992552978588;0,000849354660157974
"Apteryx owenii";0,00425827906202827;4,17767222143891e-06
"Apteryx haastii";0,00425827906202827;4,17767222143891e-06
"Tinamus tao";0,000121430967291621;0
"Tinamus solitarius";0,000121430967291621;0
"Tinamus osgoodi";0,000121430967291621;0
"Tinamus major";0,000121430967291621;0
"Tinamus guttatus";0,000121430967291621;0
"Nothocercus bonapartei";0,000121430967291621;0
"Nothocercus julius";0,000121430967291621;0
"Nothocercus nigrocapillus";0,000121430967291621;0
"Crypturellus berlepschi";0,000251428617012237;1,92617332222095e-90
"Crypturellus cinereus";0,000121430967291621;0
"Crypturellus soui";0,000121430967291621;0
"Crypturellus ptaritepui";0,000251428617012237;3,85234664444189e-90
"Crypturellus obsoletus";0,000121430967291621;0
"Crypturellus cinnamomeus";0,000121430967291621;0
"Crypturellus undulatus";0,000121430967291621;0
"Crypturellus transfasciatus";0,000251428617012237;7,70469328888378e-90
"Crypturellus strigulosus";0,000251428617012237;1,54093865777676e-89
"Crypturellus boucardi";0,000121430967291621;0
"Crypturellus kerriae";0,000251428617012237;3,08187731555351e-89
"Crypturellus erythropus";0,000121430967291621;0
"Crypturellus duidae";0,000251428617012237;6,16375463110703e-89
"Crypturellus noctivagus";0,000121430967291621;0
"Crypturellus atrocapillus";0,000251428617012237;1,23275092622141e-88
"Crypturellus variegatus";0,000121430967291621;0
"Crypturellus brevirostris";0,000251428617012237;2,46550185244281e-88
"Crypturellus bartletti";0,000251428617012237;4,93100370488562e-88
"Crypturellus parvirostris";0,000121430967291621;0
"Crypturellus casiquiare";0,000251428617012237;9,86200740977124e-88
"Crypturellus tataupa";0,00023780504707635;1,94160502001559e-165
"Rhynchotus rufescens";0,000251428617012237;1,97240148195425e-87
"Nothoprocta taczanowskii";0,000251428617012237;3,9448029639085e-87
"Nothoprocta ornata";0,000417214325891376;2,30866502003278e-51
"Nothoprocta pentlandii";0,000121430967291621;0
"Nothoprocta cinerascens";0,000251428617012237;7,88960592781699e-87
"Nothoprocta perdicaria";0,000251428617012237;1,5779211855634e-86
"Nothoprocta curvirostris";0,000251428617012237;3,1558423711268e-86
"Nothura darwinii";0,000121430967291621;0
"Nothura chacoensis";0,000121430967291621;0
"Nothura maculosa";0,000121430967291621;0
"Nothura minor";0,000121430967291621;0
"Nothura boraquira";0,000121430967291621;0
"Taoniscus nanus";0,000251428617012237;6,31168474225359e-86
"Eudromia elegans";0,000251428617012237;1,26233694845072e-85
"Eudromia formosa";0,000121430967291621;0
"Tinamotis pentlandii";0,000121430967291621;0
"Tinamotis ingoufi";0,000417214325891376;2,30866502003278e-51
"Ortalis vetula";0,000546070251357039;5,76058058859703e-45
"Ortalis cinereiceps";0,0027320347099327;8,4638434486837e-10
"Ortalis garrula";0,000546070251357039;5,76058058859703e-45
"Ortalis ruficauda";0,0027320347099327;8,4638434486837e-10
"Ortalis erythroptera";0,0027320347099327;1,69276868973674e-09
"Ortalis wagleri";0,000546070251357039;1,15211611771941e-44
"Ortalis poliocephala";0,000546070251357039;2,30423223543881e-44
"Ortalis canicollis";0,0027320347099327;3,38553737947348e-09
"Ortalis leucogastra";0,00567609620640438;0,0010424211744487
"Ortalis guttata";0,000546070251357039;4,60846447087762e-44
"Ortalis motmot";0,006440301577558;0,000583780865989891
"Ortalis superciliaris";0,0027320347099327;6,77107475894696e-09
"Penelope argyrotis";0,0027320347099327;1,35421495178939e-08
"Penelope barbata";0,006440301577558;0,000583780865989891
"Penelope ortoni";0,0121181978810114;0,00328025133058661
"Penelope montagnii";0,000390157943012178;2,34742502083381e-64
"Penelope marail";0,0027320347099327;2,70842990357878e-08
"Penelope superciliaris";0,006440301577558;0,00116756173197978
"Penelope dabbenei";0,000729988126270833;1,81937447865159e-27
"Penelope purpurascens";0,0027320347099327;5,41685980715757e-08
"Penelope perspicax";0,000718329766614065;4,09735715334879e-28
"Penelope albipennis";0,000546070251357039;9,21692894175525e-44
"Penelope jacquacu";0,000434286048177896;1,55004496065897e-72
"Penelope obscura";0,00452467990033748;0,000109218982758406
"Penelope pileata";0,0121181978810114;0,00328025133058661
"Penelope ochrogaster";0,0121181978810114;0,00656050266117322
"Penelope jacucaca";0,0027320347099327;1,08337196143151e-07
"Pipile pipile";0,000546070251357039;1,84338578835105e-43
"Pipile cumanensis";0,000715464162423633;1,47236061827667e-26
"Pipile cujubi";0,0027320347099327;2,16674392286303e-07
"Pipile jacutinga";0,0027320347099327;4,33348784572605e-07
"Aburria aburri";0,000390157943012178;2,34742502083381e-64
"Chamaepetes unicolor";0,0027320347099327;8,66697569145211e-07
"Chamaepetes goudotii";0,0027320347099327;1,73339513829042e-06
"Penelopina nigra";0,0027320347099327;3,46679027658084e-06
"Oreophasis derbianus";0,0102757133682056;0,00403958527102993
"Nothocrax urumutum";0,000121430967291621;0
"Mitu tomentosum";0,000890926689944862;1,33215720948794e-13
"Mitu salvini";0,000121430967291621;0
"Mitu tuberosum";0,000362895516534851;2,13635402987083e-28
"Mitu mitu";0,000121430967291621;0
"Pauxi pauxi";0,000400205787500527;6,52418616900244e-42
"Pauxi unicornis";0,000121430967291621;0
"Crax rubra";0,000251428617012237;2,52467389690144e-85
"Crax alberti";0,000121430967291621;0
"Crax daubentoni";0,00593361496154917;0,000205556573632534
"Crax alector";0,000251428617012237;5,04934779380288e-85
"Crax globulosa";0,000983425495183799;1,41526120090548e-25
"Crax fasciolata";0,000251428617012237;1,00986955876058e-84
"Crax blumenbachii";0,000983425495183799;1,41526120090548e-25
"Alectura lathami";0,000251428617012237;2,01973911752115e-84
"Aepypodius arfakianus";0,000121430967291621;0
"Aepypodius bruijnii";0,000121430967291621;0
"Talegalla cuvieri";0,000121430967291621;0
"Talegalla fuscirostris";0,000121430967291621;0
"Talegalla jobiensis";0,000121430967291621;0
"Macrocephalon maleo";0,000121430967291621;0
"Megapodius nicobariensis";0,000121430967291621;0
"Megapodius cumingii";0,000121430967291621;0
"Megapodius bernsteinii";0,000121430967291621;0
"Megapodius reinwardt";0,000121430967291621;0
"Megapodius freycinet";0,000121430967291621;0
"Megapodius affinis";0,000362895516534851;2,13635402987083e-28
"Megapodius eremita";0,000121430967291621;0
"Megapodius layardi";0,000121430967291621;0
"Megapodius laperouse";0,000121430967291621;0
"Megapodius pritchardii";0,000121430967291621;0
"Eulipoa wallacei";0,000362895516534851;4,27270805974167e-28
"Leipoa ocellata";0,000400205787500527;6,52418616900244e-42
"Lerwa lerwa";0,000121430967291621;0
"Ammoperdix griseogularis";0,000121430967291621;0
"Ammoperdix heyi";0,000121430967291621;0
"Tetraogallus caucasicus";0,00023780504707635;1,94160502001559e-165
"Tetraogallus caspius";0,00023780504707635;3,88321004003118e-165
"Tetraogallus tibetanus";0,000121430967291621;0
"Tetraogallus altaicus";0,000121430967291621;0
"Tetraogallus himalayensis";0,000121430967291621;0
"Tetraophasis obscurus";0,000400205787500527;1,30483723380049e-41
"Tetraophasis szechenyii";0,000121430967291621;0
"Alectoris barbara";0,000251428617012237;4,0394782350423e-84
"Alectoris melanocephala";0,000121430967291621;0
"Alectoris chukar";0,000121430967291621;0
"Alectoris philbyi";0,000121430967291621;0
"Alectoris magna";0,000121430967291621;0
"Alectoris graeca";0,000121430967291621;0
"Alectoris rufa";0,000121430967291621;0
"Francolinus francolinus";0,000121430967291621;0
"Francolinus pictus";0,000121430967291621;0
"Francolinus pintadeanus";0,000121430967291621;0
"Francolinus pondicerianus";0,000121430967291621;0
"Francolinus gularis";0,000121430967291621;0
"Francolinus coqui";0,000121430967291621;0
"Francolinus albogularis";0,000121430967291621;0
"Francolinus schlegelii";0,000121430967291621;0
"Francolinus lathami";0,000251428617012237;8,0789564700846e-84
"Francolinus sephaena";0,000121430967291621;0
"Francolinus streptophorus";0,000121430967291621;0
"Francolinus finschi";0,000121430967291621;0
"Francolinus africanus";0,000251428617012237;1,61579129401692e-83
"Francolinus levaillantii";0,000121430967291621;0
"Francolinus psilolaemus";0,000121430967291621;0
"Francolinus shelleyi";0,000121430967291621;0
"Francolinus levaillantoides";0,000251428617012237;3,23158258803384e-83
"Francolinus nahani";0,000121430967291621;0
"Francolinus hartlaubi";0,000121430967291621;0
"Francolinus bicalcaratus";0,000251428617012237;6,46316517606768e-83
"Francolinus clappertoni";0,000121430967291621;0
"Francolinus icterorhynchus";0,000121430967291621;0
"Francolinus harwoodi";0,000121430967291621;0
"Francolinus adspersus";0,000121430967291621;0
"Francolinus capensis";0,000121430967291621;0
"Francolinus hildebrandti";0,000121430967291621;0
"Francolinus natalensis";0,000121430967291621;0
"Francolinus ahantensis";0,000121430967291621;0
"Francolinus squamatus";0,000121430967291621;0
"Francolinus griseostriatus";0,000121430967291621;0
"Francolinus leucoscepus";0,000121430967291621;0
"Francolinus rufopictus";0,000121430967291621;0
"Francolinus afer";0,000121430967291621;0
"Francolinus swainsonii";0,000121430967291621;0
"Francolinus erckelii";0,000417214325891376;4,61733004006555e-51
"Francolinus ochropectus";0,000121430967291621;0
"Francolinus castaneicollis";0,000400205787500527;2,60967446760098e-41
"Francolinus nobilis";0,000121430967291621;0
"Francolinus jacksoni";0,000121430967291621;0
"Francolinus camerunensis";0,000121430967291621;0
"Francolinus swierstrai";0,000121430967291621;0
"Perdix perdix";0,000121430967291621;0
"Perdix dauurica";0,000121430967291621;0
"Perdix hodgsoniae";0,000121430967291621;0
