"";"ED";"ES"
"Struthio camelus";0,0880702687841145;0,092167740283221
"Rhea americana";0,0371779972389878;0,0151945651203097
"Rhea pennata";0,0414759573986821;0,0434833425117985
"Casuarius casuarius";0,0159463085997429;0,0070663087560151
"Casuarius bennetti";0,0159463085997429;0,0070663087560151
"Casuarius unappendiculatus";0,0784294630159161;0,0764392879127357
"Dromaius novaehollandiae";0,00758990597188241;4,57232777054632e-07
"Apteryx australis";0,00361017254737588;3,20976107465398e-06
"Apteryx owenii";0,00361017254737588;3,20976107465398e-06
"Apteryx haastii";9,74678347938777e-05;0
"Tinamus tao";0,0793161830371337;0,0831894420026296
"Tinamus solitarius";0,0161516311659636;0,0015516839051345
"Tinamus osgoodi";0,0177954643519419;0,0090187118904492
"Tinamus major";0,083340409995004;0,090683537710537
"Tinamus guttatus";0,043351756577277;0,0279057077335686
"Nothocercus bonapartei";0,0556467487576332;0,0558114154671371
"Nothocercus julius";0,0899834964342336;0,0784370361258255
"Nothocercus nigrocapillus";0,000989063227612403;1,11123470505617e-55
"Crypturellus berlepschi";0,00841901787232743;4,60706479408943e-05
"Crypturellus cinereus";0,000599089247982182;3,31521115329543e-85
"Crypturellus soui";0,0161516311659636;0,0015516839051345
"Crypturellus ptaritepui";0,00841901787232743;4,60706479408943e-05
"Crypturellus obsoletus";0,00114795133505111;5,34385080473727e-43
"Crypturellus cinnamomeus";0,0282916366106891;0,0215656487105152
"Crypturellus undulatus";0,000599089247982182;3,31521115329543e-85
"Crypturellus transfasciatus";0,00841901787232743;9,21412958817886e-05
"Crypturellus strigulosus";0,00841901787232743;0,000184282591763577
"Crypturellus boucardi";0,00598245260025303;4,32412804176984e-08
"Crypturellus kerriae";0,00841901787232743;0,000368565183527155
"Crypturellus erythropus";0,00841901787232743;0,000737130367054309
"Crypturellus duidae";0,00841901787232743;0,00147426073410862
"Crypturellus noctivagus";0,0110139796408394;0,000190207797492527
"Crypturellus atrocapillus";0,00841901787232743;0,00294852146821724
"Crypturellus variegatus";0,000599089247982182;6,63042230659086e-85
"Crypturellus brevirostris";0,00841901787232743;0,00589704293643447
"Crypturellus bartletti";0,00841901787232743;0,0117940858728689
"Crypturellus parvirostris";0,00477607323759829;1,16264075853132e-06
"Crypturellus casiquiare";0,00841901787232743;0,0235881717457379
"Crypturellus tataupa";0,00991360663986417;0,000157185333551107
"Rhynchotus rufescens";0,0405944147458293;0,042875407148407
"Nothoprocta taczanowskii";0,030430033303907;0,0211330252174673
"Nothoprocta ornata";0,028286411768248;0,0211094142689317
"Nothoprocta pentlandii";0,028286411768248;0,0211094142689317
"Nothoprocta cinerascens";0,00213417600654061;5,93094563263875e-20
"Nothoprocta perdicaria";0,030430033303907;0,0211330252174673
"Nothoprocta curvirostris";0,030430033303907;0,0422660504349346
"Nothura darwinii";0,0163830690601414;0,00794462687886341
"Nothura chacoensis";0,0122149800578357;0,0014854164861641
"Nothura maculosa";0,00163619761067631;1,14167593666991e-24
"Nothura minor";0,0122149800578357;0,0014854164861641
"Nothura boraquira";0,0122149800578357;0,00297083297232819
"Taoniscus nanus";0,00114795133505111;5,34385080473727e-43
"Eudromia elegans";0,00784152132534001;2,85669358467584e-06
"Eudromia formosa";0,00784152132534001;2,85669358467584e-06
"Tinamotis pentlandii";0,0149188778903094;0,00114551936986032
"Tinamotis ingoufi";0,0149188778903094;0,00114551936986032
"Ortalis vetula";0,00853663497454208;7,10612072765693e-06
"Ortalis cinereiceps";0,00609677471119545;1,60059150291199e-05
"Ortalis garrula";0,00853663497454208;7,10612072765693e-06
"Ortalis ruficauda";0,00853663497454208;1,42122414553139e-05
"Ortalis erythroptera";0,0175521907852372;0,0017799342635601
"Ortalis wagleri";0,000599089247982182;1,32608446131817e-84
"Ortalis poliocephala";0,00783610793348634;2,23211723029363e-05
"Ortalis canicollis";0,0966530252722306;0,104011659079177
"Ortalis leucogastra";0,00936906736194023;0,00102437856186368
"Ortalis guttata";0,013492348100339;0,0100630587166669
"Ortalis motmot";0,000599089247982182;2,65216892263635e-84
"Ortalis superciliaris";0,00853663497454208;2,84244829106277e-05
"Penelope argyrotis";0,000599089247982182;5,30433784527269e-84
"Penelope barbata";0,000599089247982182;1,06086756905454e-83
"Penelope ortoni";0,00609677471119545;1,60059150291199e-05
"Penelope montagnii";0,000599089247982182;2,12173513810908e-83
"Penelope marail";0,000599089247982182;4,24347027621815e-83
"Penelope superciliaris";0,00120180317459104;1,0583530653389e-17
"Penelope dabbenei";0,00609677471119545;3,20118300582399e-05
"Penelope purpurascens";0,00936906736194023;0,00102437856186368
"Penelope perspicax";0,00609677471119545;6,40236601164797e-05
"Penelope albipennis";0,0175521907852372;0,0017799342635601
"Penelope jacquacu";0,00625396623991567;7,46763788842238e-06
"Penelope obscura";0,00609677471119545;0,000128047320232959
"Penelope pileata";0,00609677471119545;0,000256094640465919
"Penelope ochrogaster";0,0112706096617629;0,000280071869397399
"Penelope jacucaca";0,00609677471119545;0,000512189280931838
"Pipile pipile";0,000599089247982182;8,4869405524363e-83
"Pipile cumanensis";0,0100565066821952;0,00180529753844701
"Pipile cujubi";0,0162149786072827;0,00573242336612319
"Pipile jacutinga";0,0117195297078231;0,00361059507689403
"Aburria aburri";0,000599089247982182;1,69738811048726e-82
"Chamaepetes unicolor";0,00609677471119545;0,00102437856186368
"Chamaepetes goudotii";0,00924955209781544;0,000935634620201305
"Penelopina nigra";0,000599089247982182;3,39477622097452e-82
"Oreophasis derbianus";0,0175521907852372;0,0035598685271202
"Nothocrax urumutum";0,0556320204069561;0,0598806156928835
"Mitu tomentosum";0,0151164255023494;0,00764686119774452
"Mitu salvini";0,0136547699692364;0,000837939741925346
"Mitu tuberosum";0,0117195297078231;0,00361059507689403
"Mitu mitu";0,000599089247982182;6,78955244194904e-82
"Pauxi pauxi";0,0136547699692364;0,000837939741925346
"Pauxi unicornis";0,0132993531670631;0,00208674209691617
"Crax rubra";0,0100565066821952;0,00180529753844701
"Crax alberti";0,00426481190335404;5,45190946600225e-05
"Crax daubentoni";0,00426481190335404;5,45190946600225e-05
"Crax alector";0,00426481190335404;0,000109038189320045
"Crax globulosa";0,0718625287983303;0,0737305055787011
"Crax fasciolata";0,00924955209781544;0,000935634620201305
"Crax blumenbachii";0,0117195297078231;0,00722119015378805
"Alectura lathami";0,0132578820273236;0,000401533086339716
"Aepypodius arfakianus";0,0101887609714316;0,000638029643259799
"Aepypodius bruijnii";0,0101887609714316;0,000638029643259799
"Talegalla cuvieri";0,00965764981473219;0,00182230568462258
"Talegalla fuscirostris";0,00965764981473219;0,00182230568462258
"Talegalla jobiensis";0,00965764981473219;0,00364461136924516
"Macrocephalon maleo";0,00143064326221283;2,15909435387738e-22
"Megapodius nicobariensis";9,74678347938777e-05;0
"Megapodius cumingii";9,74678347938777e-05;0
"Megapodius bernsteinii";9,74678347938777e-05;0
"Megapodius reinwardt";0,00667937409142712;1,59667737433721e-07
"Megapodius freycinet";9,74678347938777e-05;0
"Megapodius affinis";0,00123028465932353;9,82090144770753e-17
"Megapodius eremita";0,00337244173089777;1,65149441209953e-10
"Megapodius layardi";0,00123028465932353;9,82090144770753e-17
"Megapodius laperouse";0,00123028465932353;1,96418028954151e-16
"Megapodius pritchardii";9,74678347938777e-05;0
"Eulipoa wallacei";0,00123028465932353;3,92836057908301e-16
"Leipoa ocellata";0,0472611391300266;0,0501696838230001
"Lerwa lerwa";0,00832236227345913;6,19350291693807e-05
"Ammoperdix griseogularis";0,021883153085196;0,00565375811089627
"Ammoperdix heyi";0,0124976120275569;0,0013955780463729
"Tetraogallus caucasicus";0,00363100858033553;5,1762463166135e-12
"Tetraogallus caspius";0,00363100858033553;5,1762463166135e-12
"Tetraogallus tibetanus";0,00363100858033553;1,0352492633227e-11
"Tetraogallus altaicus";0,021883153085196;0,00565375811089627
"Tetraogallus himalayensis";0,0135073928658354;0,00206071805970602
"Tetraophasis obscurus";0,00753619535767406;0,000389249662682278
"Tetraophasis szechenyii";0,00363100858033553;2,0704985266454e-11
"Alectoris barbara";0,021883153085196;0,0113075162217925
"Alectoris melanocephala";0,0110139796408394;0,000190207797492527
"Alectoris chukar";0,0551053149777747;0,0590708790768519
"Alectoris philbyi";0,0110139796408394;0,000380415594985054
"Alectoris magna";0,0100142863144692;0,000495480233355046
"Alectoris graeca";0,00667937409142712;1,59667737433721e-07
"Alectoris rufa";0,0742846065767526;0,0772131678692626
"Francolinus francolinus";0,116994243947927;0,12694122601087
"Francolinus pictus";0,112389804977203;0,141076198857944
"Francolinus pintadeanus";0,00784152132534001;5,71338716935169e-06
"Francolinus pondicerianus";0,0259435052900009;0,0118700234252218
"Francolinus gularis";0,00652719555822408;9,80358871072301e-08
"Francolinus coqui";0,00652719555822408;9,80358871072301e-08
"Francolinus albogularis";0,00991360663986417;0,000157185333551107
"Francolinus schlegelii";0,00652719555822408;1,9607177421446e-07
"Francolinus lathami";0,000356866565064468;7,10796677763907e-45
"Francolinus sephaena";0,0178475052908732;0,0140285980503079
"Francolinus streptophorus";0,00991360663986417;0,000314370667102213
"Francolinus finschi";0,00159505335918511;2,69174428801576e-23
"Francolinus africanus";0,0930351502864034;0,102274844141298
"Francolinus levaillantii";0,0744382202345486;0,0764230191047751
"Francolinus psilolaemus";0,00363100858033553;4,1409970532908e-11
"Francolinus shelleyi";0,0235227779363601;0,0117465192156913
"Francolinus levaillantoides";0,0132578820273236;0,000401533086339716
"Francolinus nahani";0,00909740337181659;8,15775151284524e-06
"Francolinus hartlaubi";0,00667937409142712;3,19335474867442e-07
"Francolinus bicalcaratus";0,0913036816539481;0,0932285417187312
"Francolinus clappertoni";0,00163619761067631;1,14167593666991e-24
"Francolinus icterorhynchus";0,00163619761067631;2,28335187333982e-24
"Francolinus harwoodi";0,00909740337181659;8,15775151284524e-06
"Francolinus adspersus";0,0956220704870782;0,0969669547268341
"Francolinus capensis";0,0346516905438548;0,0286845767121171
"Francolinus hildebrandti";0,00857944806860541;7,31863421776164e-05
"Francolinus natalensis";0,00667937409142712;6,38670949734884e-07
"Francolinus ahantensis";0,00667937409142712;1,27734189946977e-06
"Francolinus squamatus";0,00667937409142712;2,55468379893953e-06
"Francolinus griseostriatus";0,0055736865117196;4,52198179859328e-08
"Francolinus leucoscepus";0,028286411768248;0,0422188285378635
"Francolinus rufopictus";0,0227691741011936;0,0105547071344659
"Francolinus afer";0,0217790215107736;0,0164857444776482
"Francolinus swainsonii";0,00652719555822408;3,9214354842892e-07
"Francolinus erckelii";0,00667937409142712;5,10936759787907e-06
"Francolinus ochropectus";0,00337244173089777;1,65149441209953e-10
"Francolinus castaneicollis";0,00114795133505111;1,06877016094745e-42
"Francolinus nobilis";0,000989063227612403;1,11123470505617e-55
"Francolinus jacksoni";0,0110139796408394;0,000760831189970109
"Francolinus camerunensis";0,00337244173089777;3,30298882419905e-10
"Francolinus swierstrai";0,0110139796408394;0,00152166237994022
"Perdix perdix";0,0110139796408394;0,00304332475988043
"Perdix dauurica";0,00598245260025303;4,32412804176984e-08
"Perdix hodgsoniae";0,00114795133505111;2,13754032189491e-42
"Rhizothera longirostris";0,0982467307608884;0,10776890649975
"Margaroperdix madagascariensis";0,00667937409142712;1,02187351957581e-05
"Melanoperdix niger";0,0132578820273236;0,000803066172679432
"Coturnix coturnix";0,00124591547745648;3,06628833745994e-37
"Coturnix japonica";0,00667937409142712;2,04374703915163e-05
"Coturnix pectoralis";0,00783190994559914;0,000148812487549853
"Coturnix coromandelica";0,00239259443919087;2,2087032872263e-13
"Coturnix delegorguei";0,00762170836209081;1,3699137460158e-05
"Coturnix ypsilophora";0,00667937409142712;4,08749407830325e-05
"Coturnix chinensis";0,00784152132534001;1,14267743387034e-05
"Anurophasis monorthonyx";0,0101511330960565;7,91863536538654e-05
"Perdicula asiatica";0,00124591547745648;3,06628833745994e-37
"Perdicula argoondah";0,00762170836209081;1,3699137460158e-05
"Perdicula erythrorhyncha";0,00784152132534001;2,28535486774067e-05
"Perdicula manipurensis";0,00784152132534001;4,57070973548135e-05
"Xenoperdix udzungwensis";0,000626663122975196;1,12068364837012e-48
"Arborophila torqueola";0,00909740337181659;1,63155030256905e-05
"Arborophila rufogularis";0,00758990597188241;4,57232777054632e-07
"Arborophila atrogularis";0,00758990597188241;9,14465554109264e-07
"Arborophila crudigularis";0,00909740337181659;3,2631006051381e-05
"Arborophila mandellii";0,0124976120275569;0,0013955780463729
"Arborophila brunneopectus";0,0124976120275569;0,0027911560927458
"Arborophila rufipectus";0,00140698843230489;1,28752678137157e-17
"Arborophila orientalis";0,0306938078536581;0,00793635303166936
"Arborophila javanica";0,0124976120275569;0,0055823121854916
"Arborophila hyperythra";0,00337244173089777;6,60597764839811e-10
"Arborophila gingica";0,0045817084342906;8,49775697246213e-08
"Arborophila davidi";0,0124976120275569;0,0111646243709832
"Arborophila cambodiana";0,0124976120275569;0,0223292487419664
"Arborophila rubrirostris";0,0124976120275569;0,0446584974839328
"Arborophila ardens";0,00114795133505111;4,27508064378982e-42
"Arborophila chloropus";0,0045817084342906;8,49775697246213e-08
"Arborophila charltonii";0,0045817084342906;1,69955139449243e-07
"Caloperdix oculeus";0,00758990597188241;1,82893110821853e-06
"Haematortyx sanguiniceps";0,00143064326221283;2,15909435387738e-22
"Rollulus rouloul";0,00163619761067631;4,56670374667965e-24
"Ptilopachus petrosus";0,0259435052900009;0,0118700234252218
"Bambusicola fytchii";0,00758990597188241;3,65786221643706e-06
"Bambusicola thoracicus";0,0101511330960565;7,91863536538654e-05
"Galloperdix spadicea";0,0154381340482561;0,00274269332857734
"Galloperdix lunulata";0,0161516311659636;0,00310336781026901
"Galloperdix bicalcarata";0,00337244173089777;1,32119552967962e-09
"Ithaginis cruentus";0,0930351502864034;0,102274844141298
"Tragopan melanocephalus";0,0178829860755529;0,00738385988460648
"Tragopan satyra";0,00631873248340569;5,74693210982473e-05
"Tragopan blythii";0,041712699407374;0,0415947210013148
"Tragopan temminckii";0,0212346455892044;0,0142668086229918
"Tragopan caboti";0,0121992850896324;0,000333654227224875
"Pucrasia macrolopha";0,00758990597188241;7,31572443287411e-06
"Lophophorus impejanus";0,0235227779363601;0,0117465192156913
"Lophophorus sclateri";0,0121992850896324;0,000333654227224875
"Lophophorus lhuysii";0,00631873248340569;5,74693210982473e-05
"Gallus gallus";0,0346516905438548;0,0286845767121171
"Gallus sonneratii";0,122770705887477;0,128179673302398
"Gallus lafayetii";0,100421578477908;0,110010414322704
"Gallus varius";0,0311502930967649;0,0239183199420796
"Lophura leucomelanos";0,0282916366106891;0,0215656487105152
"Lophura nycthemera";0,0045817084342906;3,39910278898485e-07
"Lophura edwardsi";0,0182842601767779;0,00596529146904703
"Lophura swinhoii";0,0132578820273236;0,00160613234535886
"Lophura inornata";0,0182842601767779;0,00596529146904703
"Lophura erythrophthalma";0,000718903622843925;2,88135144944552e-78
"Lophura ignita";0,00909740337181659;6,52620121027619e-05
"Lophura diardi";0,000718903622843925;2,88135144944552e-78
"Lophura bulweri";0,00140698843230489;1,28752678137157e-17
"Crossoptilon crossoptilon";0,0321550556023544;0,0227557764596527
"Crossoptilon mantchuricum";0,00363100858033553;8,2819941065816e-11
"Crossoptilon auritum";0,0178829860755529;0,00738385988460648
"Catreus wallichi";0,0544951061017639;0,0570672344919672
"Syrmaticus ellioti";0,00524227830151239;4,35960396541726e-08
"Syrmaticus humiae";0,00451726256018838;1,36237623919289e-09
"Syrmaticus mikado";0,00909740337181659;0,000130524024205524
"Syrmaticus soemmerringii";0,00114795133505111;8,55016128757964e-42
"Syrmaticus reevesii";0,0268487056826776;0,0183283099177651
"Phasianus colchicus";0,00451726256018838;1,36237623919289e-09
"Chrysolophus pictus";0,00631873248340569;0,000114938642196495
"Chrysolophus amherstiae";0,0744382202345486;0,0764230191047751
"Polyplectron chalcurum";0,000718903622843925;5,76270289889105e-78
"Polyplectron inopinatum";0,00143064326221283;4,31818870775475e-22
"Polyplectron germaini";0,0130492581556496;0,00398282609769673
"Polyplectron bicalcaratum";0,0395408004186684;0,0406270795763751
"Polyplectron malacense";0,0599443654232265;0,0555678704613758
"Polyplectron schleiermacheri";0,0130492581556496;0,00398282609769673
"Polyplectron napoleonis";0,0130492581556496;0,00796565219539345
"Rheinardia ocellata";0,0980623564760043;0,0957872489751315
"Argusianus argus";0,0158998585983379;0,000683349969684521
"Afropavo congensis";0,00143064326221283;8,63637741550951e-22
"Pavo cristatus";0,0838618233561463;0,0942978968704666
"Pavo muticus";0,00123028465932353;7,85672115816602e-16
"Dendragapus falcipennis";0,0214774592292216;0,0160609445537738
"Dendragapus canadensis";0,00753619535767406;0,000389249662682278
"Dendragapus obscurus";0,0135073928658354;0,00206071805970602
"Lagopus lagopus";0,00753619535767406;0,000778499325364556
"Lagopus muta";0,023142844464429;0,0205640459878891
"Lagopus leucura";0,00363100858033553;1,65639882131632e-10
"Tetrao tetrix";0,0212346455892044;0,0142668086229918
"Tetrao mlokosiewiczi";0,023142844464429;0,0205640459878891
"Tetrao urogallus";0,00753619535767406;0,00155699865072911
"Tetrao parvirostris";0,0214774592292216;0,0160609445537738
"Bonasa bonasia";0,023142844464429;0,0411280919757782
"Bonasa sewerzowi";0,00832236227345913;6,19350291693807e-05
"Bonasa umbellus";0,0217790215107736;0,0164857444776482
"Centrocercus urophasianus";0,00631873248340569;0,000229877284392989
"Tympanuchus phasianellus";0,0212346455892044;0,0285336172459836
"Tympanuchus cupido";0,0690994995092678;0,0892150930391331
"Tympanuchus pallidicinctus";0,0864841755459855;0,112031398514027
"Meleagris gallopavo";0,0132578820273236;0,00321226469071773
"Meleagris ocellata";0,00909740337181659;0,000261048048411048
"Agelastes meleagrides";0,000710626197453372;3,45073297393458e-31
"Agelastes niger";0,00123028465932353;1,5713442316332e-15
"Numida meleagris";0,0235227779363601;0,0117465192156913
"Guttera plumifera";0,0956220704870782;0,0969669547268341
"Guttera pucherani";0,00669886966541076;2,30429951576443e-05
"Acryllium vulturinum";0,021883153085196;0,0226150324435851
"Dendrortyx barbatus";0,0177954643519419;0,0090187118904492
"Dendrortyx macroura";0,00783610793348634;2,23211723029363e-05
"Dendrortyx leucophrys";0,00524227830151239;4,35960396541726e-08
"Oreortyx pictus";0,047047177961582;0,0473630921466693
"Callipepla squamata";0,00784152132534001;9,1414194709627e-05
"Callipepla douglasii";0,0045817084342906;6,7982055779697e-07
"Callipepla californica";0,0121992850896324;0,000667308454449749
"Callipepla gambelii";0,0268487056826776;0,0183283099177651
"Philortyx fasciatus";0,00783190994559914;0,000148812487549853
"Colinus virginianus";0,0064991223090346;1,61617556222758e-05
"Colinus nigrogularis";0,000989063227612403;2,22246941011233e-55
"Colinus cristatus";0,00224845552894122;9,63186933615186e-10
"Odontophorus gujanensis";0,0194949762338088;0,0106421013983763
"Odontophorus capueira";0,00625396623991567;7,46763788842238e-06
"Odontophorus melanotis";0,00758990597188241;1,46314488657482e-05
"Odontophorus erythrops";0,00758990597188241;2,92628977314965e-05
"Odontophorus atrifrons";0,00758990597188241;5,85257954629929e-05
"Odontophorus hyperythrus";0,0126482825755092;0,00226398202647661
"Odontophorus melanonotus";0,00758990597188241;0,000117051590925986
"Odontophorus speciosus";0,00758990597188241;0,000234103181851972
"Odontophorus dialeucos";0,00758990597188241;0,000468206363703943
"Odontophorus strophium";0,00257374360532869;6,96796863038731e-23
"Odontophorus columbianus";0,00163619761067631;9,1334074933593e-24
"Odontophorus leucolaemus";0,0178829860755529;0,014767719769213
"Odontophorus balliviani";0,00758990597188241;0,000936412727407887
"Odontophorus stellatus";0,00758990597188241;0,00187282545481577
"Odontophorus guttatus";0,0101511330960565;0,000158372707307731
"Dactylortyx thoracicus";0,00652719555822408;7,84287096857841e-07
"Cyrtonyx montezumae";0,0551012356612563;0,0564461199010121
"Cyrtonyx ocellatus";0,0551012356612563;0,0564461199010121
"Rhynchortyx cinctus";0,00159505335918511;2,69174428801576e-23
"Anhima cornuta";0,00631873248340569;0,000459754568785979
"Chauna chavaria";0,00363100858033553;3,31279764263264e-10
"Chauna torquata";0,00832236227345913;0,000123870058338761
"Anseranas semipalmata";0,0104955313106108;0,000585490737420932
"Dendrocygna guttata";0,00114795133505111;1,71003225751593e-41
"Dendrocygna eytoni";0,00832236227345913;0,000247740116677523
"Dendrocygna bicolor";0,0748486346889178;0,0904601297743404
"Dendrocygna arcuata";0,00363100858033553;6,62559528526528e-10
"Dendrocygna javanica";0,00832236227345913;0,000495480233355046
"Dendrocygna viduata";0,0235227779363601;0,0234930384313827
"Dendrocygna arborea";0,0049532659815852;5,4342697111213e-09
"Dendrocygna autumnalis";0,00631873248340569;0,000919509137571957
"Thalassornis leuconotus";0,00631873248340569;0,00183901827514391
"Nomonyx dominicus";0,0227691741011936;0,0105547071344659
"Oxyura jamaicensis";0,00159505335918511;5,38348857603153e-23
"Oxyura leucocephala";0,00857944806860541;7,31863421776164e-05
"Oxyura maccoa";0,00784152132534001;0,000182828389419254
