"";"dietori";"activityori";"massori";"meanori"
"Struthio camelus";0,0880702687841145;0,000121430967291621;0,467193408364478;0,185128369371961
"Rhea americana";0,0371779972389878;0,000121430967291621;0,0420179399921759;0,0264391227328184
"Rhea pennata";0,0414759573986821;0,000121430967291621;0,0420179399921759;0,0278717761193832
"Casuarius casuarius";0,0159463085997429;0,000251428617012237;0,0366471156180103;0,0176149509449218
"Casuarius bennetti";0,0159463085997429;0,000251428617012237;0,0308158219005651;0,0156711863724401
"Casuarius unappendiculatus";0,0784294630159161;0,000251428617012237;0,0366471156180103;0,0384426690836462
"Dromaius novaehollandiae";0,00758990597188241;0,00138581695964714;0,0297400416613539;0,0129052548642945
"Apteryx australis";0,00361017254737588;0,00598992552978588;0,000814614031518539;0,00347157070289343
"Apteryx owenii";0,00361017254737588;0,00425827906202827;0,000348175996266595;0,00273887586855691
"Apteryx haastii";9,74678347938777e-05;0,00425827906202827;0,00067866469864919;0,00167813719849045
"Tinamus tao";0,0793161830371337;0,000121430967291621;0,000632375845390927;0,0266899966166054
"Tinamus solitarius";0,0161516311659636;0,000121430967291621;0,000561516169783384;0,00561152610101287
"Tinamus osgoodi";0,0177954643519419;0,000121430967291621;0,000554769963946608;0,00615722176106004
"Tinamus major";0,083340409995004;0,000121430967291621;0,000469476120989088;0,0279771056944282
"Tinamus guttatus";0,043351756577277;0,000121430967291621;0,000302252248977073;0,0145918132645152
"Nothocercus bonapartei";0,0556467487576332;0,000121430967291621;0,000310929617299466;0,0186930364474081
"Nothocercus julius";0,0899834964342336;0,000121430967291621;0,000274870680644921;0,0301265993607234
"Nothocercus nigrocapillus";0,000989063227612403;0,000121430967291621;0,000312897228134177;0,0004744638076794
"Crypturellus berlepschi";0,00841901787232743;0,000251428617012237;0,000299707920944984;0,00299005147009488
"Crypturellus cinereus";0,000599089247982182;0,000121430967291621;0,000250129188735087;0,000323549801336297
"Crypturellus soui";0,0161516311659636;0,000121430967291621;0,000139277630963103;0,00547077992140611
"Crypturellus ptaritepui";0,00841901787232743;0,000251428617012237;0,000184534157689054;0,00295166021567624
"Crypturellus obsoletus";0,00114795133505111;0,000121430967291621;0,000230138572706284;0,000499840291683005
"Crypturellus cinnamomeus";0,0282916366106891;0,000121430967291621;0,000266191107095577;0,00955975289502543
"Crypturellus undulatus";0,000599089247982182;0,000121430967291621;0,000310395543987844;0,000343638586420549
"Crypturellus transfasciatus";0,00841901787232743;0,000251428617012237;0,000188346025324864;0,00295293083822151
"Crypturellus strigulosus";0,00841901787232743;0,000251428617012237;0,000199623972731942;0,00295669015402387
"Crypturellus boucardi";0,00598245260025303;0,000121430967291621;0,000242704767665023;0,00211552944506989
"Crypturellus kerriae";0,00841901787232743;0,000251428617012237;0,000184534157689054;0,00295166021567624
"Crypturellus erythropus";0,00841901787232743;0,000121430967291621;0,000234271108025811;0,00292490664921495
"Crypturellus duidae";0,00841901787232743;0,000251428617012237;0,000210734729022614;0,00296039373945409
"Crypturellus noctivagus";0,0110139796408394;0,000121430967291621;0,000286016660284646;0,00380714242280522
"Crypturellus atrocapillus";0,00841901787232743;0,000251428617012237;0,000190491393197192;0,00295364596084562
"Crypturellus variegatus";0,000599089247982182;0,000121430967291621;0,000182405505475821;0,000300975240249875
"Crypturellus brevirostris";0,00841901787232743;0,000251428617012237;0,000184534157689054;0,00295166021567624
"Crypturellus bartletti";0,00841901787232743;0,000251428617012237;0,000158285459097236;0,00294291064947897
"Crypturellus parvirostris";0,00477607323759829;0,000121430967291621;0,000188173044570611;0,00169522574982017
"Crypturellus casiquiare";0,00841901787232743;0,000251428617012237;0,000184534157689054;0,00295166021567624
"Crypturellus tataupa";0,00991360663986417;0,00023780504707635;0,000141732812813218;0,00343104816658458
"Rhynchotus rufescens";0,0405944147458293;0,000251428617012237;0,000279932810065801;0,0137085920576358
"Nothoprocta taczanowskii";0,030430033303907;0,000251428617012237;0,000268598836046862;0,0103166869189887
"Nothoprocta ornata";0,028286411768248;0,000417214325891376;0,000331589858113919;0,00967840531741776
"Nothoprocta pentlandii";0,028286411768248;0,000121430967291621;0,000245243622567747;0,00955102878603579
"Nothoprocta cinerascens";0,00213417600654061;0,000251428617012237;0,000242224850407877;0,000875943157986908
"Nothoprocta perdicaria";0,030430033303907;0,000251428617012237;0,000211426226173135;0,0102976293823641
"Nothoprocta curvirostris";0,030430033303907;0,000251428617012237;0,000183188532561705;0,010288216817827
"Nothura darwinii";0,0163830690601414;0,000121430967291621;0,000152866558831154;0,00555245552875472
"Nothura chacoensis";0,0122149800578357;0,000121430967291621;0,000163765116051146;0,00416672538039282
"Nothura maculosa";0,00163619761067631;0,000121430967291621;0,000199704068881459;0,000652444215616463
"Nothura minor";0,0122149800578357;0,000121430967291621;0,000133435449088375;0,00415661549140523
"Nothura boraquira";0,0122149800578357;0,000121430967291621;0,000188346025324864;0,00417491901681739
"Taoniscus nanus";0,00114795133505111;0,000251428617012237;6,9939486195646e-05;0,000489773146086331
"Eudromia elegans";0,00784152132534001;0,000251428617012237;0,000308558915113337;0,00280050295248853
"Eudromia formosa";0,00784152132534001;0,000121430967291621;0,000354167997156615;0,00277237342992942
"Tinamotis pentlandii";0,0149188778903094;0,000121430967291621;0,000330893975349537;0,00512373427765019
"Tinamotis ingoufi";0,0149188778903094;0,000417214325891376;0,000347776778712905;0,00522795633163789
"Ortalis vetula";0,00853663497454208;0,000546070251357039;0,000305872602508427;0,00312952594280252
"Ortalis cinereiceps";0,00609677471119545;0,0027320347099327;0,000262726022063394;0,00303051181439718
"Ortalis garrula";0,00853663497454208;0,000546070251357039;0,000253762186646803;0,00311215580418197
"Ortalis ruficauda";0,00853663497454208;0,0027320347099327;0,000308449570754609;0,00385903975174313
"Ortalis erythroptera";0,0175521907852372;0,0027320347099327;0,000312034543484242;0,00686542001288471
"Ortalis wagleri";0,000599089247982182;0,000546070251357039;0,000346039527352244;0,000497066342230488
"Ortalis poliocephala";0,00783610793348634;0,000546070251357039;0,000293328555915968;0,00289183558025312
"Ortalis canicollis";0,0966530252722306;0,0027320347099327;0,000286231487667616;0,033223763823277
"Ortalis leucogastra";0,00936906736194023;0,00567609620640438;0,000253669946235464;0,00509961117152669
"Ortalis guttata";0,013492348100339;0,000546070251357039;0,000336066647150242;0,00479149499961543
"Ortalis motmot";0,000599089247982182;0,006440301577558;0,000238181436631234;0,00242585742072381
"Ortalis superciliaris";0,00853663497454208;0,0027320347099327;0,000302061192167711;0,00385691029221416
"Penelope argyrotis";0,000599089247982182;0,0027320347099327;0,000276335454068484;0,00120248647066112
"Penelope barbata";0,000599089247982182;0,006440301577558;0,000348357185429641;0,00246258267032327
"Penelope ortoni";0,00609677471119545;0,0121181978810114;0,000348357185429641;0,0061877765925455
"Penelope montagnii";0,000599089247982182;0,000390157943012178;0,000260956697580102;0,000416734629524821
"Penelope marail";0,000599089247982182;0,0027320347099327;0,000358582390988946;0,00122990211630128
"Penelope superciliaris";0,00120180317459104;0,006440301577558;0,000328608311092199;0,00265690435441375
"Penelope dabbenei";0,00609677471119545;0,000729988126270833;0,000380580520236896;0,00240244778590106
"Penelope purpurascens";0,00936906736194023;0,0027320347099327;0,00061721516232695;0,00423943907806663
"Penelope perspicax";0,00609677471119545;0,000718329766614065;0,000348357185429641;0,00238782055441305
"Penelope albipennis";0,0175521907852372;0,000546070251357039;0,000613967439452416;0,00623740949201555
"Penelope jacquacu";0,00625396623991567;0,000434286048177896;0,000404348307681156;0,00236420019859157
"Penelope obscura";0,00609677471119545;0,00452467990033748;0,00065468423624903;0,00375871294926065
"Penelope pileata";0,00609677471119545;0,0121181978810114;0,00044643197939381;0,00622046819053355
"Penelope ochrogaster";0,0112706096617629;0,0121181978810114;0,000348357185429641;0,00791238824273465
"Penelope jacucaca";0,00609677471119545;0,0027320347099327;0,000554769963946608;0,00312785979502492
"Pipile pipile";0,000599089247982182;0,000546070251357039;0,000871916322870596;0,000672358607403272
"Pipile cumanensis";0,0100565066821952;0,000715464162423633;0,000344779421113168;0,00370558342191067
"Pipile cujubi";0,0162149786072827;0,0027320347099327;0,000333764900069547;0,00642692607242832
"Pipile jacutinga";0,0117195297078231;0,0027320347099327;0,000352562644667047;0,00493470902080762
"Aburria aburri";0,000599089247982182;0,000390157943012178;0,000629332973340748;0,000539526721445036
"Chamaepetes unicolor";0,00609677471119545;0,0027320347099327;0,000396555532195582;0,00307512165110791
"Chamaepetes goudotii";0,00924955209781544;0,0027320347099327;0,000367793403070357;0,00411646007027283
"Penelopina nigra";0,000599089247982182;0,0027320347099327;0,000355540932140562;0,00122888829668515
"Oreophasis derbianus";0,0175521907852372;0,0102757133682056;0,000613311827256519;0,00948040532689977
"Nothocrax urumutum";0,0556320204069561;0,000121430967291621;0,000762500379683385;0,0188386505846437
"Mitu tomentosum";0,0151164255023494;0,000890926689944862;0,00120738246561391;0,00573824488596939
"Mitu salvini";0,0136547699692364;0,000121430967291621;0,00114305103321266;0,00497308398991356
"Mitu tuberosum";0,0117195297078231;0,000362895516534851;0,00105899003525964;0,00438047175320586
"Mitu mitu";0,000599089247982182;0,000121430967291621;0,00136632448433203;0,000695614899868611
"Pauxi pauxi";0,0136547699692364;0,000400205787500527;0,00104581280050582;0,00503359618574758
"Pauxi unicornis";0,0132993531670631;0,000121430967291621;0,0014564196121967;0,00495906791551714
"Crax rubra";0,0100565066821952;0,000251428617012237;0,00124296707213743;0,00385030079044829
"Crax alberti";0,00426481190335404;0,000121430967291621;0,000872215050882619;0,00175281930717609
"Crax daubentoni";0,00426481190335404;0,00593361496154917;0,000749358639778806;0,00364926183489401
"Crax alector";0,00426481190335404;0,000251428617012237;0,00112282438817618;0,00187968830284749
"Crax globulosa";0,0718625287983303;0,000983425495183799;0,000748199123586855;0,024531384472367
"Crax fasciolata";0,00924955209781544;0,000251428617012237;0,00122347149633814;0,00357481740372194
"Crax blumenbachii";0,0117195297078231;0,000983425495183799;0,00120770597567143;0,00463688705955944
"Alectura lathami";0,0132578820273236;0,000251428617012237;0,000866288277064022;0,00479186630713329
"Aepypodius arfakianus";0,0101887609714316;0,000121430967291621;0,000536156332273666;0,00361544942366563
"Aepypodius bruijnii";0,0101887609714316;0,000121430967291621;0,000129811320060596;0,00348000108626127
"Talegalla cuvieri";0,00965764981473219;0,000121430967291621;0,000881880723319705;0,00355365383511451
"Talegalla fuscirostris";0,00965764981473219;0,000121430967291621;0,000553452498564251;0,00344417776019602
"Talegalla jobiensis";0,00965764981473219;0,000121430967291621;0,000400581461502196;0,003393220747842
"Macrocephalon maleo";0,00143064326221283;0,000121430967291621;0,000653169015993911;0,000735081081832787
"Megapodius nicobariensis";9,74678347938777e-05;0,000121430967291621;0,00039482537891451;0,000204574727000003
"Megapodius cumingii";9,74678347938777e-05;0,000121430967291621;0,0004448633655537;0,000221254055879733
"Megapodius bernsteinii";9,74678347938777e-05;0,000121430967291621;0,000303389159348768;0,000174095987144756
"Megapodius reinwardt";0,00667937409142712;0,000121430967291621;0,000318945715354577;0,00237325025802444
"Megapodius freycinet";9,74678347938777e-05;0,000121430967291621;0,000285347946990938;0,000168082249692146
"Megapodius affinis";0,00123028465932353;0,000362895516534851;0,000343717145069372;0,000645632440309251
"Megapodius eremita";0,00337244173089777;0,000121430967291621;0,000285590297444349;0,00125982099854458
"Megapodius layardi";0,00123028465932353;0,000121430967291621;0,000303389159348768;0,000551701595321306
"Megapodius laperouse";0,00123028465932353;0,000121430967291621;0,000137957911462228;0,000496557846025793
"Megapodius pritchardii";9,74678347938777e-05;0,000121430967291621;0,000172604504643422;0,000130501102242974
"Eulipoa wallacei";0,00123028465932353;0,000362895516534851;0,000346547295212532;0,000646575823690304
"Leipoa ocellata";0,0472611391300266;0,000400205787500527;0,000741423942173696;0,0161342562865669
"Lerwa lerwa";0,00832236227345913;0,000121430967291621;0,000269558592870927;0,00290445061120723
"Ammoperdix griseogularis";0,021883153085196;0,000121430967291621;0,000143104316471043;0,00738256278965289
"Ammoperdix heyi";0,0124976120275569;0,000121430967291621;0,000174485392206035;0,00426450946235152
"Tetraogallus caucasicus";0,00363100858033553;0,00023780504707635;0,000998037563104983;0,00162228373017229
"Tetraogallus caspius";0,00363100858033553;0,00023780504707635;0,000801309466294438;0,00155670769790211
"Tetraogallus tibetanus";0,00363100858033553;0,000121430967291621;0,000404348307681156;0,00138559595176944
"Tetraogallus altaicus";0,021883153085196;0,000121430967291621;0,000978050916330214;0,00766087832293928
"Tetraogallus himalayensis";0,0135073928658354;0,000121430967291621;0,00101256965540879;0,0048804644961786
"Tetraophasis obscurus";0,00753619535767406;0,000400205787500527;0,000398974109365642;0,00277845841818008
"Tetraophasis szechenyii";0,00363100858033553;0,000121430967291621;0,000408623587088257;0,00138702104490514
"Alectoris barbara";0,021883153085196;0,000251428617012237;0,00019481531888577;0,00744313234036467
"Alectoris melanocephala";0,0110139796408394;0,000121430967291621;0,000291732021236932;0,00380904754312265
"Alectoris chukar";0,0551053149777747;0,000121430967291621;0,000222822617928199;0,0184831895209982
"Alectoris philbyi";0,0110139796408394;0,000121430967291621;0,000259250248426229;0,00379822028551908
"Alectoris magna";0,0100142863144692;0,000121430967291621;0,000316242950181094;0,00348398674398064
"Alectoris graeca";0,00667937409142712;0,000121430967291621;0,000340077161531563;0,00238029407341677
"Alectoris rufa";0,0742846065767526;0,000121430967291621;0,000292289160611929;0,0248994422348854
"Francolinus francolinus";0,116994243947927;0,000121430967291621;0,000198636869942584;0,0391047705950537
"Francolinus pictus";0,112389804977203;0,000121430967291621;0,000166488578009748;0,0375592415075015
"Francolinus pintadeanus";0,00784152132534001;0,000121430967291621;0,000165418845609406;0,00270945704608035
"Francolinus pondicerianus";0,0259435052900009;0,000121430967291621;0,000133365299755522;0,00873276718568268
"Francolinus gularis";0,00652719555822408;0,000121430967291621;0,000247738953188326;0,00229878849290134
"Francolinus coqui";0,00652719555822408;0,000121430967291621;0,000177522692217572;0,00227538307257776
"Francolinus albogularis";0,00991360663986417;0,000121430967291621;0,000169388047602106;0,00340147521825263
"Francolinus schlegelii";0,00652719555822408;0,000121430967291621;0,000188168809069024;0,00227893177819491
"Francolinus lathami";0,000356866565064468;0,000251428617012237;0,000154583956562584;0,000254293046213096
"Francolinus sephaena";0,0178475052908732;0,000121430967291621;0,00018804299892413;0,00605232641902965
"Francolinus streptophorus";0,00991360663986417;0,000121430967291621;0,00025250651957395;0,00342918137557658
"Francolinus finschi";0,00159505335918511;0,000121430967291621;0,000264093217057473;0,000660192514511401
"Francolinus africanus";0,0930351502864034;0,000251428617012237;0,000223189954990257;0,031169922952802
"Francolinus levaillantii";0,0744382202345486;0,000121430967291621;0,000191977802398305;0,0249172096680795
"Francolinus psilolaemus";0,00363100858033553;0,000121430967291621;0,000229314167636738;0,0013272512384213
"Francolinus shelleyi";0,0235227779363601;0,000121430967291621;0,000227045523271347;0,00795708480897436
"Francolinus levaillantoides";0,0132578820273236;0,000251428617012237;0,000207199661008306;0,00457217010178138
"Francolinus nahani";0,00909740337181659;0,000121430967291621;0,000165418845609406;0,00312808439490587
"Francolinus hartlaubi";0,00667937409142712;0,000121430967291621;0,000176157369216027;0,00232565414264492
"Francolinus bicalcaratus";0,0913036816539481;0,000251428617012237;0,000231269753717851;0,0305954600082261
"Francolinus clappertoni";0,00163619761067631;0,000121430967291621;0,000263793048385774;0,000673807208784568
"Francolinus icterorhynchus";0,00163619761067631;0,000121430967291621;0,000267023404874046;0,000674883994280659
"Francolinus harwoodi";0,00909740337181659;0,000121430967291621;0,000262726022063394;0,00316052012039054
"Francolinus adspersus";0,0956220704870782;0,000121430967291621;0,000186011902833607;0,0319765044524011
"Francolinus capensis";0,0346516905438548;0,000121430967291621;0,000330242189840484;0,0117011212336623
"Francolinus hildebrandti";0,00857944806860541;0,000121430967291621;0,000253762186646803;0,00298488040751461
"Francolinus natalensis";0,00667937409142712;0,000121430967291621;0,000230702904649409;0,00234383598778938
"Francolinus ahantensis";0,00667937409142712;0,000121430967291621;0,000344668099973279;0,00238182438623067
"Francolinus squamatus";0,00667937409142712;0,000121430967291621;0,000221374787860949;0,00234072661552656
"Francolinus griseostriatus";0,0055736865117196;0,000121430967291621;0,000164826217540702;0,00195331456551731
"Francolinus leucoscepus";0,028286411768248;0,000121430967291621;0,000315541948575351;0,00957446156137166
"Francolinus rufopictus";0,0227691741011936;0,000121430967291621;0,000265333818274272;0,0077186462955865
"Francolinus afer";0,0217790215107736;0,000121430967291621;0,000250778559510198;0,00738374367919181
"Francolinus swainsonii";0,00652719555822408;0,000121430967291621;0,000333072408110724;0,00232723297787547
"Francolinus erckelii";0,00667937409142712;0,000417214325891376;0,000347149699129655;0,00248124603881605
"Francolinus ochropectus";0,00337244173089777;0,000121430967291621;0,000277464567020145;0,00125711242173651
"Francolinus castaneicollis";0,00114795133505111;0,000400205787500527;0,000299647309492973;0,000615934810681537
"Francolinus nobilis";0,000989063227612403;0,000121430967291621;0,000375868267843576;0,0004954541542492
"Francolinus jacksoni";0,0110139796408394;0,000121430967291621;0,000372644990473076;0,00383601853286803
"Francolinus camerunensis";0,00337244173089777;0,000121430967291621;0,000308558090773427;0,00126747692965427
"Francolinus swierstrai";0,0110139796408394;0,000121430967291621;0,000239288976396504;0,00379156652817584
"Perdix perdix";0,0110139796408394;0,000121430967291621;0,000228385987016003;0,00378793219838234
"Perdix dauurica";0,00598245260025303;0,000121430967291621;0,000184026060608655;0,0020959698760511
"Perdix hodgsoniae";0,00114795133505111;0,000121430967291621;0,000193503217509429;0,000487628506617387
"Rhizothera longirostris";0,0982467307608884;0,000121430967291621;0,000335626565337281;0,0329012627645058
"Margaroperdix madagascariensis";0,00667937409142712;0,000121430967291621;0,000157943242874988;0,00231958276719791
"Melanoperdix niger";0,0132578820273236;0,000121430967291621;0,000168235151838274;0,00451584938215117
"Coturnix coturnix";0,00124591547745648;0,000121430967291621;0,000100746594973573;0,000489364346573891
"Coturnix japonica";0,00667937409142712;0,000121430967291621;9,36451605823887e-05;0,00229815007310038
"Coturnix pectoralis";0,00783190994559914;0,000251428617012237;0,000116354983816242;0,00273323118214254
"Coturnix coromandelica";0,00239259443919087;0,000121430967291621;9,3959598385327e-05;0,000869328334955939
"Coturnix delegorguei";0,00762170836209081;0,000121430967291621;7,82760087367578e-05;0,00260713844603973
"Coturnix ypsilophora";0,00667937409142712;0,000121430967291621;0,000150782321183292;0,00231719579330068
"Coturnix chinensis";0,00784152132534001;0,000121430967291621;7,04880743424488e-05;0,00267781345565803
"Anurophasis monorthonyx";0,0101511330960565;0,000251428617012237;0,000178244379149284;0,00352693536407267
"Perdicula asiatica";0,00124591547745648;0,000121430967291621;9,80215657767997e-05;0,0004884560035083
