"";"ED";"ES"
"Struthio camelus";0,467193408364478;0,467193408364478
"Rhea americana";0,0420179399921759;0,073246815004115
"Rhea pennata";0,0420179399921759;0,073246815004115
"Casuarius casuarius";0,0366471156180103;0,0468690474494834
"Casuarius bennetti";0,0308158219005651;0,0459200513640061
"Casuarius unappendiculatus";0,0366471156180103;0,0468690474494834
"Dromaius novaehollandiae";0,0297400416613539;0,0238514978590707
"Apteryx australis";0,000814614031518539;0,000604717604602439
"Apteryx owenii";0,000348175996266595;0,000120944351118821
"Apteryx haastii";0,00067866469864919;0,000429734393351995
"Tinamus tao";0,000632375845390927;0,000629035241230525
"Tinamus solitarius";0,000561516169783384;0,00106069881603149
"Tinamus osgoodi";0,000554769963946608;0,000619669719785941
"Tinamus major";0,000469476120989088;0,000488095412106001
"Tinamus guttatus";0,000302252248977073;0,000171980916505008
"Nothocercus bonapartei";0,000310929617299466;0,000211957190799458
"Nothocercus julius";0,000274870680644921;7,01327952076042e-05
"Nothocercus nigrocapillus";0,000312897228134177;0,000144089605935467
"Crypturellus berlepschi";0,000299707920944984;0,000472161250898814
"Crypturellus cinereus";0,000250129188735087;0,000262121664414297
"Crypturellus soui";0,000139277630963103;0,000146347624078694
"Crypturellus ptaritepui";0,000184534157689054;6,46460119924817e-05
"Crypturellus obsoletus";0,000230138572706284;0,000214712734998089
"Crypturellus cinnamomeus";0,000266191107095577;0,000243284589138181
"Crypturellus undulatus";0,000310395543987844;0,00051168914769634
"Crypturellus transfasciatus";0,000188346025324864;0,000258859517350267
"Crypturellus strigulosus";0,000199623972731942;0,000118674487513593
"Crypturellus boucardi";0,000242704767665023;0,000344605633435702
"Crypturellus kerriae";0,000184534157689054;6,46460119924817e-05
"Crypturellus erythropus";0,000234271108025811;0,000333017217703465
"Crypturellus duidae";0,000210734729022614;0,000116904470941748
"Crypturellus noctivagus";0,000286016660284646;0,000158829130536414
"Crypturellus atrocapillus";0,000190491393197192;4,47728514291506e-05
"Crypturellus variegatus";0,000182405505475821;4,67143711037399e-05
"Crypturellus brevirostris";0,000184534157689054;0,000129292023984963
"Crypturellus bartletti";0,000158285459097236;3,91853706818045e-05
"Crypturellus parvirostris";0,000188173044570611;0,000805051295255989
"Crypturellus casiquiare";0,000184534157689054;0,000258584047969927
"Crypturellus tataupa";0,000141732812813218;0,000292069968879262
"Rhynchotus rufescens";0,000279932810065801;8,4867020451833e-05
"Nothoprocta taczanowskii";0,000268598836046862;0,000407120699072505
"Nothoprocta ornata";0,000331589858113919;0,000339999885909801
"Nothoprocta pentlandii";0,000245243622567747;0,000883285941597246
"Nothoprocta cinerascens";0,000242224850407877;0,000231455912456939
"Nothoprocta perdicaria";0,000211426226173135;0,00012836599852391
"Nothoprocta curvirostris";0,000183188532561705;7,87072363166281e-05
"Nothura darwinii";0,000152866558831154;0,000123838447203149
"Nothura chacoensis";0,000163765116051146;0,000264528410717364
"Nothura maculosa";0,000199704068881459;0,000507109724925123
"Nothura minor";0,000133435449088375;0,000253054849941512
"Nothura boraquira";0,000188346025324864;0,000258859517350267
"Taoniscus nanus";6,9939486195646e-05;6,34345693725291e-08
"Eudromia elegans";0,000308558915113337;0,000311013674813
"Eudromia formosa";0,000354167997156615;0,000739640308234861
"Tinamotis pentlandii";0,000330893975349537;0,000488309108118383
"Tinamotis ingoufi";0,000347776778712905;0,000188366542822203
"Ortalis vetula";0,000305872602508427;0,000550598782480892
"Ortalis cinereiceps";0,000262726022063394;0,000244403518991977
"Ortalis garrula";0,000253762186646803;7,13730533069643e-05
"Ortalis ruficauda";0,000308449570754609;7,53478238586922e-05
"Ortalis erythroptera";0,000312034543484242;0,000153250425890278
"Ortalis wagleri";0,000346039527352244;0,00018790526899982
"Ortalis poliocephala";0,000293328555915968;0,000200176530542633
"Ortalis canicollis";0,000286231487667616;0,000451487694586104
"Ortalis leucogastra";0,000253669946235464;0,000123890003526273
"Ortalis guttata";0,000336066647150242;0,000524640327802929
"Ortalis motmot";0,000238181436631234;0,000111472003977739
"Ortalis superciliaris";0,000302061192167711;0,000279043536736459
"Penelope argyrotis";0,000276335454068484;3,39966415129115e-05
"Penelope barbata";0,000348357185429641;6,36371001096097e-05
"Penelope ortoni";0,000348357185429641;6,36371001096097e-05
"Penelope montagnii";0,000260956697580102;3,60520583960695e-05
"Penelope marail";0,000358582390988946;0,000251519979395926
"Penelope superciliaris";0,000328608311092199;0,000124241389226773
"Penelope dabbenei";0,000380580520236896;0,000377772503396543
"Penelope purpurascens";0,00061721516232695;0,000419858122518262
"Penelope perspicax";0,000348357185429641;0,000127274200219219
"Penelope albipennis";0,000613967439452416;0,000101778250671803
"Penelope jacquacu";0,000404348307681156;0,00020969224442474
"Penelope obscura";0,00065468423624903;0,000601732039981518
"Penelope pileata";0,00044643197939381;0,000395426080793134
"Penelope ochrogaster";0,000348357185429641;0,000254548400438439
"Penelope jacucaca";0,000554769963946608;0,000619669719785941
"Pipile pipile";0,000871916322870596;0,00105896357666905
"Pipile cumanensis";0,000344779421113168;0,000117547775965393
"Pipile cujubi";0,000333764900069547;7,25907329918677e-05
"Pipile jacutinga";0,000352562644667047;0,000215806822091646
"Aburria aburri";0,000629332973340748;0,00106937898084706
"Chamaepetes unicolor";0,000396555532195582;0,000165807130584097
"Chamaepetes goudotii";0,000367793403070357;0,00034678707869621
