"";"ED_median";"ES_median"
"Taoniscus_nanus";31,27925982992;35,0096203452656
"Rhynchotus_maculicollis";27,8172912999468;26,8324457792891
"Rhynchotus_rufescens";27,1002675248846;27,4952585991406
"Nothoprocta_curvirostris";28,9893075850951;29,3891567165773
"Nothoprocta_perdicaria";25,0580732477688;28,8121871533125
"Nothoprocta_cinerascens";22,7000091322563;23,5421420008281
"Nothoprocta_ornata";21,1088665798438;20,9650788550391
"Nothoprocta_taczanowskii";20,4113088138673;19,8873145082969
"Nothoprocta_pentlandii";20,2234531823554;20,1385061422891
"Nothura_minor";20,5757011185088;20,0455879985664
"Nothura_darwinii";21,3351811807686;20,1568476465844
"Nothura_maculosa";22,6307962982875;22,9746717014766
"Nothura_chacoensis";22,005177536739;22,2063769703242
"Nothura_boraquira";26,4439178484946;24,3298610382924
"Eudromia_formosa";28,1200855654368;27,6634281500625
"Eudromia_elegans";27,3437503384433;28,2136059522109
"Tinamotis_pentlandii";29,3719419725014;28,7247599809922
"Tinamotis_ingoufi";32,9843969606247;35,9555614747187
"Tinamus_guttatus";26,4847822742485;28,2306131105719
"Tinamus_major";23,4166913075553;21,0775641545703
"Tinamus_tao";23,3653285646454;22,3638873686859
"Tinamus_solitarius";22,8682802881079;22,7140480348672
"Tinamus_osgoodi";23,2686940486551;23,1986847637641
"Nothocercus_nigrocapillus";23,5944426931939;23,1630308185937
"Nothocercus_bonapartei";22,5110479522048;21,7828528535703
"Nothocercus_julius";23,0720788143109;23,518061104832
"Crypturellus_noctivagus";22,3511939677293;22,7400232437051
"Crypturellus_kerriae";20,5379406127217;19,1721173637004
"Crypturellus_atrocapillus";20,927787060801;20,6231913741113
"Crypturellus_duidae";22,2022980114915;20,5677895101172
"Crypturellus_casiquiare";21,7682310037675;20,1114988473086
"Crypturellus_soui";22,4028330132459;21,2866689927549
"Crypturellus_strigulosus";23,3646855318997;23,4391615461162
"Crypturellus_undulatus";23,4313358204662;23,2641424636984
"Crypturellus_erythropus";21,5481730584436;19,8374374826992
"Crypturellus_cinereus";22,7239033390893;21,4262405974773
"Crypturellus_transfasciatus";22,5512497392746;22,3838333952852
"Crypturellus_variegatus";22,7921255342821;21,376440256915
"Crypturellus_bartletti";23,3489490832641;21,908244979766
"Crypturellus_cinnamomeus";25,4295134510809;24,768945059375
"Crypturellus_boucardi";24,9948676405596;23,602157896625
"Crypturellus_parvirostris";27,1740910333459;27,8913808417109
"Crypturellus_ptaritepui";25,2496330223623;26,2002883364922
"Crypturellus_berlepschi";24,393846273474;24,0665265599711
"Crypturellus_obsoletus";23,6863954527659;22,0416038384727
"Crypturellus_brevirostris";23,5720834823525;22,3285821964894
"Crypturellus_tataupa";28,8971358740564;31,4639638434687
"Rhea_americana";42,1499029206674;48,510818729625
"Rhea_pennata";24,4776787279434;28,6990727036875
"Dromaius_novaehollandiae";20,2599062723396;18,79136344875
"Casuarius_casuarius";18,8967809335482;16,6247298479219
"Casuarius_bennetti";18,8967809335482;16,1416714482266
"Casuarius_unappendiculatus";19,5785471094874;16,5717983900625
"Struthio_camelus";19,4969414400129;15,7654883687344
"Apteryx_mantelli";20,1823944599271;16,5949615974844
"Apteryx_australis";21,1777306929661;18,3727886244641
"Apteryx_owenii";29,8044771988591;32,942788024875
"Apteryx_haastii";35,644480480666;40,5994571565
"Chauna_torquata";30,5989927817546;28,7239801082812
"Chauna_chavaria";30,5989927817546;28,7239801082812
"Anhima_cornuta";34,953271627154;49,512839474
"Anseranas_semipalmata";64,700196805383;73,0964311585625
"Dendrocygna_arborea";13,3354264741935;16,071317975865
"Dendrocygna_autumnalis";11,4020334510758;11,4683254601333
"Dendrocygna_arcuata";11,4701492955961;10,4400248229724
"Dendrocygna_javanica";11,4549439959994;9,49075713681909
"Dendrocygna_eytoni";11,1941125649982;9,90141826517256
"Dendrocygna_guttata";11,721307621773;10,3889526900207
"Dendrocygna_bicolor";11,4520617501552;11,3818422143172
"Dendrocygna_viduata";12,8035676950726;15,1593768851787
"Thalassornis_leuconotus";24,7860659144323;38,61520998025
"Cygnus_columbianus";6,78058906166139;7,59100913228708
"Cygnus_buccinator";6,08218377526143;5,02217808652861
"Cygnus_cygnus";6,21374291510576;5,90119483211899
"Cygnus_olor";6,62537051935626;6,72110631981549
"Cygnus_atratus";6,58258212176571;5,83631155492104
"Cygnus_melancoryphus";8,48373974213866;9,84747111053369
"Chen_canagica";3,23158208692848;3,54665085954284
"Chen_caerulescens";2,87421485191239;2,11969829378186
"Chen_rossii";2,76831335685508;2,06136880154409
"Anser_indicus";2,71554743754389;1,58104251541164
"Anser_erythropus";2,58704371818746;1,40246451532004
"Anser_brachyrhynchus";2,51218698991343;1,3701620082395
"Anser_cygnoides";2,49982874421156;1,42953549456368
"Anser_anser";2,63065511551573;1,84670508759893
"Anser_fabalis";2,77823163798758;2,07365905735807
"Anser_albifrons";3,12208400942167;3,36868240402001
"Branta_leucopsis";5,70799457993146;6,37566935892529
"Branta_hutchinsii";3,82574978238048;2,70461072420215
"Branta_sandvicensis";3,62892819497118;2,39656030983333
"Branta_canadensis";3,61051235835107;2,41105048150048
