"";"Kingdom";"Phylum";"Class";"Family";"Genus";"Species";"Average.annual.cost";"Cumulated.cost";"Number.estimates";"Number.year.values"
"132";"Animalia/plantae";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";3979,96311417547;191038,229480422;1;1
"644";"Plantae";"Tracheophyta";"Magnoliopsida";"Tamaricaceae";"Tamarix";"Tamarix sp.";2125,22776282309;102010,932615508;8;46
"406";"Animalia";"Arthropoda";"Insecta";"Culicidae";"Aedes";"Aedes aegypti/Aedes albopictus";2057,70703998415;98769,9379192392;65;223
"165";"Animalia";"Arthropoda";"Insecta";"Noctuidae";"Helicoverpa";"Helicoverpa armigera";2055,39668607484;98659,0409315922;2;2
"458";"Plantae";"Tracheophyta";"Magnoliopsida";"Caprifoliaceae";"Lonicera";"Lonicera japonica";1756,03039678767;84289,4590458082;4;30
"36";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus";"Rattus sp.";1596,17211173895;76616,2613634696;55;55
"271";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Melaleuca";"Melaleuca quinquenervia";1528,56954523668;73371,3381713605;17;221
"231";"Animalia";"Arthropoda";"Insecta";"Apidae/Curculionidae/Erebidae/Tephritidae";"Anthonomus/Apis/Ceratitis/Ips/Lymantria";"Anthonomus grandis/Apis mellifera/Ceratitis capitata/Ips typographus/Lymantria dispar/Lymantria monacha";1382,46290119751;66358,2192574805;1;25
"2";"Animalia";"Chordata";"Mammalia";"Felidae";"Felis";"Felis catus";1092,40711274759;52435,5414118842;56;120
"229";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Ips";"Ips typographus";972,699844442584;46689,592533244;2;29
"10";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus";"Rattus rattus";755,45916402605;36262,0398732504;23;33
"142";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Lymantria";"Lymantria dispar";728,461864381462;34966,1694903102;51;219
"149";"Animalia";"Arthropoda";"Insecta";"Aleyrodidae";"Bemisia";"Bemisia tabaci";622,754514177188;29892,216680505;13;29
"143";"Animalia";"Arthropoda";"Insecta";"Buprestidae";"Agrilus";"Agrilus planipennis";619,721162884508;29746,6158184564;29;77
"153";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Ceratitis";"Ceratitis capitata";612,58021336332;29403,8502414393;30;89
"295";"Animalia";"Chordata";"Actinopterygii";"Percidae";"Gymnocephalus";"Gymnocephalus cernua";553,470304097308;26566,5745966708;4;44
"255";"Animalia";"Arthropoda";"Arachnida/Insecta";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";548,13527116916;26310,4930161197;4;4
"186";"Animalia";"Arthropoda";"Insecta";"Pseudococcidae";"Phenacoccus";"Phenacoccus manihoti";509,871810160065;24473,8468876831;4;129
"85";"Animalia";"Chordata";"Mammalia";"Muridae";"Mus/Rattus";"Mus sp./Rattus sp.";496,828683948512;23847,7768295286;1;1
"174";"Animalia";"Arthropoda";"Insecta";"Rhinotermitidae";"Coptotermes";"Coptotermes formosanus";476,836786923571;22888,1657723314;15;15
"64";"Animalia";"Chordata";"Mammalia";"Muridae/Mustelidae/Phalangeridae";"Mus/Mustela/Trichosurus";"Mus musculus/Mustela erminea/Trichosurus vulpecula";473,683898892173;22736,8271468243;1;1
"1102";"Plantae";"Tracheophyta";"Magnoliopsida";"Oleaceae";"Ligustrum";"Ligustrum spp.";432,253615483694;20748,1735432173;1;7
"130";"Animalia/Plantae";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";422,292948717513;20270,0615384406;24;83
"195";"Animalia";"Arthropoda";"Insecta";"Aphididae";"Diuraphis";"Diuraphis noxia";404,361826720837;19409,3676826002;11;47
"172";"Animalia";"Arthropoda";"Insecta";"Rhinotermitidae";"Diverse/Unspecified";"Diverse/Unspecified";386,495795262002;18551,7981725761;2;2
"146";"Animalia";"Arthropoda";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";322,328468937823;15471,7665090155;5;5
"304";"Animalia";"Mollusca";"Bivalvia";"Cyrenidae";"Corbicula";"Corbicula fluminea";258,978949019949;12430,9895529575;18;23
"340";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Ambrosia";"Ambrosia artemisiifolia";251,499890145026;12071,9947269613;116;122
"336";"Plantae";"Tracheophyta";"Magnoliopsida";"Euphorbiaceae";"Euphorbia";"Euphorbia esula";227,156558434094;10903,5148048365;135;196
"1093";"Plantae";"Tracheophyta";"Magnoliopsida";"Euphorbiaceae";"Triadica";"Triadica sebifera";189,081116175965;9075,8935764463;2;23
"886";"Viruses";"Pisuviricota";"Pisoniviricetes";"Picornaviridae";"Aphtovirus";"Aphthae epizooticae";174,443342362658;8373,2804334076;2;18
"144";"Animalia";"Arthropoda";"Insecta";"Siricidae";"Sirex";"Sirex noctilio";171,94287742526;8253,25811641247;5;35
"785";"Plantae";"Tracheophyta";"Dicotyledonae";"Asteraceae";"Bidens";"Bidens pilosa";169,555183238672;8138,64879545626;1;2
"152";"Animalia";"Arthropoda";"Insecta";"Calliphoridae";"Cochliomyia";"Cochliomyia hominivorax";168,300701678634;8078,43368057441;15;19
"170";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Anthonomus";"Anthonomus grandis";166,229278492545;7979,00536764217;18;88
"661";"Plantae";"Tracheophyta";"Magnoliopsida";"Onagraceae";"Ludwigia";"Ludwigia peploides/Ludwigia grandiflora";161,631283125257;7758,30159001234;15;111
"155";"Animalia";"Arthropoda";"Insecta";"Plutellidae";"Plutella";"Plutella xylostella";138,900367005071;6667,2176162434;6;11
"1103";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiaceae";"Gremmeniella";"Gremmeniella abietina";123,438119776566;5925,02974927516;1;1
"216";"Animalia";"Arthropoda";"Insecta";"Apidae";"Apis";"Apis mellifera";122,512182004571;5880,58473621943;7;10
"321";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculaceae";"Ranunculus";"Ranunculus acris";116,031291183045;5569,50197678616;9;25
"770";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Rhagoletis";"Rhagoletis pomonella";103,997344733409;4991,87254720364;6;7
"228";"Animalia";"Arthropoda";"Insecta";"Cicadellidae";"Homalodisca";"Homalodisca vitripennis";92,8790434910208;4458,194087569;3;3
"733";"Animalia";"Arthropoda";"Insecta";"Coccinellidae";"Henosepilachna";"Henosepilachna vigintioctomaculata";89,9920177935922;4319,61685409242;1;1
"211";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Hypera";"Hypera postica";87,3617630323709;4193,3646255538;4;17
"761";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Premnotrypes";"Premnotrypes sp.";84,0322941105946;4033,55011730854;1;2
"91";"Animalia";"Mollusca";"Gastropoda";"Ampullariidae";"Pomacea";"Pomacea canaliculata";79,2525642890704;3804,12308587538;11;83
"357";"Fungi";"Basidiomycota";"Pucciniomycetes";"Pucciniaceae";"Puccinia";"Puccinia recondita";74,2358126622443;3563,31900778773;1;21
"65";"Animalia";"Chordata";"Mammalia";"Canidae";"Canis";"Canis lupus";74,1900918942266;3561,12441092288;17;17
"176";"Animalia";"Arthropoda";"Arachnida";"Ixodidae";"Rhipicephalus";"Rhipicephalus microplus";73,8873126137162;3546,59100545838;1;1
"247";"Animalia";"Arthropoda";"Insecta";"Crambidae";"Chilo";"Chilo partellus";73,5310837130753;3529,49201822762;22;42
"315";"Plantae";"Tracheophyta";"Magnoliopsida";"Orobanchaceae";"Orobanche";"Orobanche spp.";68,9332546149411;3308,79622151717;1;1
"206";"Animalia";"Arthropoda";"Insecta";"Anthomyiidae";"Stomoxys";"Stomoxys calcitrans";66,4289808497501;3188,59108078801;1;1
"1101";"Animalia";"Arthropoda";"Arachnida";"Ixodidae";"Amblyomma";"Amblyomma variegatum";66,3327185695911;3183,97049134037;1;1
"164";"Animalia";"Arthropoda";"Insecta";"Aphididae";"Aphis";"Aphis glycines";66,128588444484;3174,17224533523;5;7
"752";"Animalia";"Arthropoda";"Insecta";"Cerambycidae";"Monochamus";"Monochamus sutor";62,310152108345;2990,88730120056;1;1
"734";"Animalia";"Arthropoda";"Insecta";"Cerambycidae";"Monochamus";"Monochamus galloprovincialis";61,4725206559784;2950,68099148696;3;3
"602";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Xyleborus";"Xyleborus glabratus";59,3583310803108;2849,19989185492;6;48
"284";"Animalia";"Platyhelminthes";"Monogenea";"Gyrodactylidae";"Gyrodactylus";"Gyrodactylus salaris";59,1046959615982;2837,02540615671;6;66
"789";"Plantae";"Tracheophyta";"Dicotyledonae";"Asteraceae";"Iva";"Iva axillaris";58,8785031905718;2826,16815314745;1;2
"790";"Plantae";"Tracheophyta";"Dicotyledonae";"Solanaceae";"Solanum";"Solanum carolinense";58,8785031905718;2826,16815314745;1;2
"215";"Animalia";"Arthropoda";"Insecta";"Kalotermitidae";"Cryptotermes";"Cryptotermes brevis";58,4974354462417;2807,8769014196;4;4
"787";"Plantae";"Tracheophyta";"Dicotyledonae";"Convolvulaceae";"Ipomoea";"Ipomoea hederacea";57,7605569274597;2772,50673251807;1;2
"788";"Plantae";"Tracheophyta";"Dicotyledonae";"Convolvulaceae";"Ipomoea";"Ipomoea lacunosa";57,7605569274597;2772,50673251807;1;2
"403";"Plantae";"Tracheophyta";"Pinopsida/Magnoliopsida";"Pinaceae/Proteaceae/Fabaceae";"Pinus/Hakea/Acacia";"Pinus sp./Hakea sp./Acacia spp.";57,6806248431227;2768,66999246989;1;1
"525";"Plantae";"Tracheophyta";"Magnoliopsida";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";57,3670343980216;2753,61765110504;124;884
"735";"Animalia";"Arthropoda";"Insecta";"Cerambycidae";"Monochamus";"Monochamus nitens";54,7473991677249;2627,8751600508;3;3
"334";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia mearnsii";52,2799607912033;2509,43811797776;27;234
