"";"parsed";"mdd_itis"
"1";"Lemmus lemmus";"Lemmus lemmus"
"2";"Lepus castroviejoi";"Lepus castroviejoi"
"3";"Marmota marmota";"Marmota marmota"
"4";"Microtus felteni";"Microtus felteni"
"5";"Microtus thomasi";"Microtus thomasi"
"6";"Microtus multiplex";"Microtus multiplex"
"7";"Microtus savii";"Microtus savii"
"8";"Microtus duodecimcostatus";"Microtus duodecimcostatus"
"9";"Microtus lusitanicus";"Microtus lusitanicus"
"10";"Microtus liechtensteini";"Microtus liechtensteini"
"11";"Plecotus sardus";"Plecotus sardus"
"12";"Microtus brachycercus";"Microtus brachycercus"
"13";"Myotis alcathoe";"Myotis alcathoe"
"14";"Uromys boeadii";"Uromys boeadii"
"15";"Sorex antinorii";"Sorex antinorii"
"16";"Apodemus epimelas";"Apodemus epimelas"
"17";"Mus spicilegus";"Mus spicilegus"
"18";"Euryoryzomys lamia";"Euryoryzomys lamia"
"19";"Phocarctos hookeri";"Phocarctos hookeri"
"20";"Prolagus sardus";"Prolagus sardus"
"21";"Apodemus alpicola";"Apodemus alpicola"
"22";"Sicista severtzovi";"Sicista severtzovi"
"23";"Sorex samniticus";"Sorex samniticus"
"24";"Spalax giganteus";"Spalax giganteus"
"25";"Spalax microphthalmus";"Spalax microphthalmus"
"26";"Acomys minous";"Acomys minous"
"27";"Acomys nesiotes";"Acomys nesiotes"
"28";"Erinaceus europaeus";"Erinaceus europaeus"
"29";"Crocidura sicula";"Crocidura sicula"
"30";"Sorex coronatus";"Sorex coronatus"
"31";"Sorex granarius";"Sorex granarius"
"32";"Lepus corsicanus";"Lepus corsicanus"
"33";"Lepus granatensis";"Lepus granatensis"
"34";"Talpa caeca";"Talpa caeca"
"35";"Talpa occidentalis";"Talpa occidentalis"
"36";"Talpa romana";"Talpa romana"
"37";"Talpa stankovici";"Talpa stankovici"
"38";"Crocidura canariensis";"Crocidura canariensis"
"39";"Phoniscus aerosus";"Phoniscus aerosus"
"40";"Megaerops wetmorei";"Megaerops wetmorei"
"41";"Mesocricetus brandti";"Mesocricetus brandti"
"42";"Mesocricetus newtoni";"Mesocricetus newtoni"
"43";"Microtus tatricus";"Microtus tatricus"
"44";"Plecotus kolombatovici";"Plecotus kolombatovici"
"45";"Nycticeius aenobarbus";"Nycticeius aenobarbus"
"46";"Crocidura hikmiya";"Crocidura hikmiya"
"47";"Scotophilus collinus";"Scotophilus collinus"
"48";"Bos primigenius";"Bos primigenius"
"49";"Mysateles prehensilis";"Mysateles prehensilis"
"50";"Naemorhedus goral";"Naemorhedus goral"
"51";"Neotoma magister";"Neotoma magister"
"52";"Ovis nivicola";"Ovis nivicola"
"53";"Plagiodontia aedium";"Plagiodontia aedium"
"54";"Pteropus vampyrus";"Pteropus vampyrus"
"55";"Rhinolophus paradoxolophus";"Rhinolophus"
"56";"Rubrisciurus rubriventer";"Rubrisciurus rubriventer"
"57";"Pennatomys nivalis";"Pennatomys nivalis"
"58";"Solomys ponceleti";"Solomys ponceleti"
"59";"Spalax arenarius";"Spalax arenarius"
"60";"Speothos venaticus";"Speothos venaticus"
"61";"Rattus vandeuseni";"Rattus vandeuseni"
"62";"Suncus montanus";"Suncus montanus"
"63";"Arvicola sapidus";"Arvicola sapidus"
"64";"Aselliscus stoliczkanus";"Aselliscus stoliczkanus"
"65";"Thomasomys vestitus";"Thomasomys vestitus"
"66";"Trichechus manatus";"Trichechus manatus"
"67";"Babyrousa babyrussa";"Babyrousa babyrussa"
"68";"Budorcas taxicolor";"Budorcas taxicolor"
"69";"Burramys parvus";"Burramys parvus"
"70";"Canis simensis";"Canis simensis"
"71";"Capricornis swinhoei";"Capricornis swinhoei"
"72";"Capromys pilorides";"Capromys pilorides"
"73";"Sarcophilus harrisii";"Sarcophilus harrisii"
