"";"Rb";"AV";"FV";"NN"
"Tachyglossus aculeatus";0,0132716240743758;0,641650691647672;0,641531867445515;0
"Zaglossus attenboroughi";0,0110129533947003;0,50395866020105;0,503865334523235;0
"Zaglossus bartoni";0,0110129533947417;0,50395866020105;0,503865334523235;0
"Zaglossus bruijni";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Ornithorhynchus anatinus";0,0128512324151687;0,625410068036039;0,625294251356773;0
"Caluromys philander";0,0158966801859081;0,799393648383386;0,799245612522574;0
"Caluromys derbianus";0,0158966801859081;0,799393648383386;0,799245612522574;0
"Caluromys lanatus";0,0158966801859081;0,799393648383386;0,799245612522574;0
"Caluromysiops irrupta";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Glironia venusta";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Chironectes minimus";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Didelphis aurita";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Didelphis imperfecta";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Didelphis marsupialis";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Didelphis pernigra";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Didelphis virginiana";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Didelphis albiventris";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Gracilinanus formosus";0,0168226568863426;0,844062700788667;0,843906392881114;0
"Gracilinanus emiliae";0,0168226568863426;0,844062700788667;0,843906392881114;0
"Gracilinanus microtarsus";0,0168226568863426;0,844062700788667;0,843906392881114;0
"Gracilinanus marica";0,0168226568863426;0,844062700788667;0,843906392881114;0
"Gracilinanus dryas";0,0168226568863426;0,844062700788667;0,843906392881114;0
"Gracilinanus aceramarcae";0,0168226568863426;0,844062700788667;0,843906392881114;0
"Gracilinanus agricolai";0,0168226568863426;0,844062700788667;0,843906392881114;0
"Gracilinanus agilis";0,0168226568863426;0,844062700788667;0,843906392881114;0
"Gracilinanus ignitus";0,0168226568863426;0,844062700788667;0,843906392881114;0
"Hyladelphys kalinowskii";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Lestodelphys halli";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Lutreolina crassicaudata";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Marmosa murina";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosa xerophila";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosa tyleriana";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosa rubra";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosa quichua";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosa mexicana";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosa lepida";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosa andersoni";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosa robinsoni";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops handleyi";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops juninensis";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops pinheiroi";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops paulensis";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops parvidens";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops noctivagus";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops neblina";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops bishopi";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops impavidus";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops incanus";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops fuscatus";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops dorothea";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops cracens";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Marmosops invictus";0,0138759535395889;0,692387517242689;0,692259297332088;0
"Metachirus nudicaudatus";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Micoureus demerarae";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Micoureus regina";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Micoureus paraguayanus";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Micoureus constantiae";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Micoureus alstoni";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Micoureus phaeus";0,0153557685913573;0,765479782131048;0,765338026615838;0
"Monodelphis emiliae";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis osgoodi";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis umbristriata";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis theresa";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis sorex";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis scalops";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis rubida";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis palliolata";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis unistriata";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis kunsi";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis glirina";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis domestica";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis dimidiata";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis brevicaudata";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis americana";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis adusta";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis maraxina";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Monodelphis iheringi";0,0110129533947398;0,50395866020105;0,503865334523235;0
"Philander andersoni";0,0167875931925716;0,846741799402011;0,846584995365085;0
