"";"Rb";"AV";"FV";"NN"
"Tachyglossus aculeatus";0,0125155360855717;0,643245120840603;0,643126001373781;0
"Zaglossus attenboroughi";0,012515536085571;0,643245120840603;0,643126001373781;0
"Zaglossus bartoni";0,0125155360855719;0,643245120840603;0,643126001373781;0
"Zaglossus bruijni";0,0125155360855714;0,643245120840603;0,643126001373781;0
"Ornithorhynchus anatinus";0,0131299416074079;0,678907186870401;0,678781463317277;0
"Caluromys philander";0,0117998159150516;0,6126891372474;0,612575676296057;0
"Caluromys derbianus";0,0117998159150516;0,6126891372474;0,612575676296057;0
"Caluromys lanatus";0,0117998159150516;0,6126891372474;0,612575676296057;0
"Caluromysiops irrupta";0,0145444056929201;0,764934949434435;0,764793294814169;0,283356649423569
"Glironia venusta";0,0133075984270951;0,695175549112501;0,695046812899703;0,190724640098149
"Chironectes minimus";0,0132900209834967;0,689916967941614;0,689789205540143;0,234873011650382
"Didelphis aurita";0,0152441325427251;0,798823691408362;0,798675761095139;0
"Didelphis imperfecta";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Didelphis marsupialis";0,0152441325427251;0,798823691408362;0,798675761095139;0
"Didelphis pernigra";0,0152441325427251;0,798823691408362;0,798675761095139;0
"Didelphis virginiana";0,0152441325427251;0,798823691408362;0,798675761095139;0
"Didelphis albiventris";0,0152441325427251;0,798823691408362;0,798675761095139;0
"Gracilinanus formosus";0,0132962429445036;0,694989076577793;0,694860374896945;0
"Gracilinanus emiliae";0,0132962429445036;0,694989076577793;0,694860374896945;0
"Gracilinanus microtarsus";0,0132962429445036;0,694989076577793;0,694860374896945;0
"Gracilinanus marica";0,0132962429445036;0,694989076577793;0,694860374896945;0
"Gracilinanus dryas";0,0132962429445036;0,694989076577793;0,694860374896945;0
"Gracilinanus aceramarcae";0,0132962429445036;0,694989076577793;0,694860374896945;0
"Gracilinanus agricolai";0,0132962429445036;0,694989076577793;0,694860374896945;0
"Gracilinanus agilis";0,0132962429445036;0,694989076577793;0,694860374896945;0
"Gracilinanus ignitus";0,0132962429445036;0,694989076577793;0,694860374896945;0
"Hyladelphys kalinowskii";0,0127137124203509;0,66038615658582;0,660263862853119;0,147363924806671
"Lestodelphys halli";0,0182776250365141;0,971214967508251;0,971035112884639;0
"Lutreolina crassicaudata";0,0166204467338214;0,878854777608754;0,878692026724012;0,166416389432512
"Marmosa murina";0,0133467444596539;0,699661457350855;0,699531890414309;0
"Marmosa xerophila";0,0133467444596539;0,699661457350855;0,699531890414309;0
"Marmosa tyleriana";0,0133467444596539;0,699661457350855;0,699531890414309;0
"Marmosa rubra";0,0133467444596539;0,699661457350855;0,699531890414309;0
"Marmosa quichua";0,0133467444596539;0,699661457350855;0,699531890414309;0
"Marmosa mexicana";0,0133467444596539;0,699661457350855;0,699531890414309;0
"Marmosa lepida";0,0133467444596539;0,699661457350855;0,699531890414309;0
"Marmosa andersoni";0,0133467444596539;0,699661457350855;0,699531890414309;0
"Marmosa robinsoni";0,0133467444596539;0,699661457350855;0,699531890414309;0
"Marmosops handleyi";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops juninensis";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops pinheiroi";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops paulensis";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops parvidens";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops noctivagus";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops neblina";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops bishopi";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops impavidus";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops incanus";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops fuscatus";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops dorothea";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops cracens";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Marmosops invictus";0,0134357078429574;0,705070546013808;0,704939977394176;0
"Metachirus nudicaudatus";0,0143343461675589;0,754445405010654;0,754305692898615;0,206331995201088
"Micoureus demerarae";0,0124916022017757;0,643509079214507;0,643389910866504;0
"Micoureus regina";0,0124916022017757;0,643509079214507;0,643389910866504;0
"Micoureus paraguayanus";0,014920397234684;0,784379867691613;0,784234612160559;0,303136484285508
"Micoureus constantiae";0,0124916022017757;0,643509079214507;0,643389910866504;0
"Micoureus alstoni";0,0124916022017757;0,643509079214507;0,643389910866504;0
"Micoureus phaeus";0,0124916022017757;0,643509079214507;0,643389910866504;0
"Monodelphis emiliae";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis osgoodi";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis umbristriata";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis theresa";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis sorex";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis scalops";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis rubida";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis palliolata";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis unistriata";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis kunsi";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis glirina";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis domestica";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis dimidiata";0,0144886473848125;0,765162996973095;0,765021300121803;0
"Monodelphis brevicaudata";0,0144886473848125;0,765162996973095;0,765021300121803;0
