"";"dietori";"activityori";"massori";"meanori"
"Tachyglossus aculeatus";0,643245120840603;0,641650691647672;0,0214353988513929;0,435443737113223
"Zaglossus attenboroughi";0,643245120840603;0,50395866020105;0,0292682319772291;0,392157337672961
"Zaglossus bartoni";0,643245120840603;0,50395866020105;0,0276782575729029;0,391627346204852
"Zaglossus bruijni";0,643245120840603;0,50395866020105;0,0309946032288921;0,392732794756848
"Ornithorhynchus anatinus";0,678907186870401;0,625410068036039;0,0179554584437535;0,440757571116731
"Caluromys philander";0,6126891372474;0,799393648383386;0,0133180892988472;0,475133624976544
"Caluromys derbianus";0,6126891372474;0,799393648383386;0,0136495348763105;0,475244106835699
"Caluromys lanatus";0,6126891372474;0,799393648383386;0,0137903719462551;0,47529105252568
"Caluromysiops irrupta";0,764934949434435;0,692387517242689;0,0134178646344634;0,490246777103862
"Glironia venusta";0,695175549112501;0,692387517242689;0,0128146173044185;0,46679256121987
"Chironectes minimus";0,689916967941614;0,50395866020105;0,0163266962178323;0,403400774786832
"Didelphis aurita";0,798823691408362;0,765479782131048;0,0170280842874251;0,527110519275612
"Didelphis imperfecta";0,705070546013808;0,765479782131048;0,0173165367078163;0,495955621617557
"Didelphis marsupialis";0,798823691408362;0,765479782131048;0,0168013276335282;0,527034933724313
"Didelphis pernigra";0,798823691408362;0,765479782131048;0,0173165367078163;0,527206670082409
"Didelphis virginiana";0,798823691408362;0,765479782131048;0,0197185785565035;0,528007350698638
"Didelphis albiventris";0,798823691408362;0,765479782131048;0,0161836023998669;0,526829025313092
"Gracilinanus formosus";0,694989076577793;0,844062700788667;0,0133680500050552;0,517473275790505
"Gracilinanus emiliae";0,694989076577793;0,844062700788667;0,0141673230370708;0,51773970013451
"Gracilinanus microtarsus";0,694989076577793;0,844062700788667;0,0130152274438816;0,517355668270114
"Gracilinanus marica";0,694989076577793;0,844062700788667;0,013191020962241;0,517414266109567
"Gracilinanus dryas";0,694989076577793;0,844062700788667;0,0134075330484823;0,517486436804981
"Gracilinanus aceramarcae";0,694989076577793;0,844062700788667;0,013303488435698;0,517451755267386
"Gracilinanus agricolai";0,694989076577793;0,844062700788667;0,0133680500050552;0,517473275790505
"Gracilinanus agilis";0,694989076577793;0,844062700788667;0,0132491967369769;0,517433658034479
"Gracilinanus ignitus";0,694989076577793;0,844062700788667;0,0133680500050552;0,517473275790505
"Hyladelphys kalinowskii";0,66038615658582;0,692387517242689;0,013466232147044;0,455413301991851
"Lestodelphys halli";0,971214967508251;0,765479782131048;0,0127261506352893;0,583140300091529
"Lutreolina crassicaudata";0,878854777608754;0,765479782131048;0,0147817749656882;0,553038778235163
"Marmosa murina";0,699661457350855;0,692387517242689;0,0131288637309519;0,468392612774832
"Marmosa xerophila";0,699661457350855;0,692387517242689;0,0128170589818583;0,468288677858467
"Marmosa tyleriana";0,699661457350855;0,692387517242689;0,0129885907603704;0,468345855117971
"Marmosa rubra";0,699661457350855;0,692387517242689;0,0127377890020854;0,468262254531876
"Marmosa quichua";0,699661457350855;0,692387517242689;0,0128978941365996;0,468315622910048
"Marmosa mexicana";0,699661457350855;0,692387517242689;0,0127930581646148;0,468280677586053
"Marmosa lepida";0,699661457350855;0,692387517242689;0,0136147238595418;0,468554566151029
"Marmosa andersoni";0,699661457350855;0,692387517242689;0,0128075301879098;0,468285501593818
"Marmosa robinsoni";0,699661457350855;0,692387517242689;0,0127562646709154;0,468268413088153
"Marmosops handleyi";0,705070546013808;0,692387517242689;0,0130212036874741;0,47015975564799
"Marmosops juninensis";0,705070546013808;0,692387517242689;0,0130041709706511;0,470154078075716
"Marmosops pinheiroi";0,705070546013808;0,692387517242689;0,0130041709706511;0,470154078075716
"Marmosops paulensis";0,705070546013808;0,692387517242689;0,0128895764073619;0,470115879887953
"Marmosops parvidens";0,705070546013808;0,692387517242689;0,0135570689831336;0,47033837741321
"Marmosops noctivagus";0,705070546013808;0,692387517242689;0,013284752851091;0,470247605369196
"Marmosops neblina";0,705070546013808;0,692387517242689;0,0130041709706511;0,470154078075716
"Marmosops bishopi";0,705070546013808;0,692387517242689;0,0133430301262647;0,470267031127587
"Marmosops impavidus";0,705070546013808;0,692387517242689;0,012870634070316;0,470109565775604
"Marmosops incanus";0,705070546013808;0,692387517242689;0,0127392309124089;0,470065764722969
"Marmosops fuscatus";0,705070546013808;0,692387517242689;0,0127449410637336;0,470067668106744
"Marmosops dorothea";0,705070546013808;0,692387517242689;0,0129074739056853;0,470121845720727
"Marmosops cracens";0,705070546013808;0,692387517242689;0,0131421909780622;0,470200084744853
"Marmosops invictus";0,705070546013808;0,692387517242689;0,0130524259069736;0,47017016305449
"Metachirus nudicaudatus";0,754445405010654;0,765479782131048;0,0140374250639032;0,511320870735202
"Micoureus demerarae";0,643509079214507;0,765479782131048;0,012726085666801;0,473904982337452
"Micoureus regina";0,643509079214507;0,765479782131048;0,0128301816041964;0,47393968098325
"Micoureus paraguayanus";0,784379867691613;0,765479782131048;0,0128094835656563;0,520889711129439
"Micoureus constantiae";0,643509079214507;0,765479782131048;0,0127460446104197;0,473911635318658
"Micoureus alstoni";0,643509079214507;0,765479782131048;0,0128803103164378;0,473956390553998
"Micoureus phaeus";0,643509079214507;0,765479782131048;0,0127823835446158;0,473923748296724
"Monodelphis emiliae";0,765162996973095;0,50395866020105;0,012876168558018;0,427332608577388
"Monodelphis osgoodi";0,765162996973095;0,50395866020105;0,0128080792490199;0,427309912141055
"Monodelphis umbristriata";0,765162996973095;0,50395866020105;0,0127409344868132;0,427287530553653
"Monodelphis theresa";0,765162996973095;0,50395866020105;0,0128080792490199;0,427309912141055
"Monodelphis sorex";0,765162996973095;0,50395866020105;0,01280307432548;0,427308243833208
"Monodelphis scalops";0,765162996973095;0,50395866020105;0,0155990156633406;0,428240224279162
"Monodelphis rubida";0,765162996973095;0,50395866020105;0,0128228635490466;0,427314840241064
"Monodelphis palliolata";0,765162996973095;0,50395866020105;0,0127409344868132;0,427287530553653
"Monodelphis unistriata";0,765162996973095;0,50395866020105;0,0127617758418331;0,427294477671993
"Monodelphis kunsi";0,765162996973095;0,50395866020105;0,0137991049145874;0,427640254029577
"Monodelphis glirina";0,765162996973095;0,50395866020105;0,0127409344868132;0,427287530553653
"Monodelphis domestica";0,765162996973095;0,50395866020105;0,0127267001210097;0,427282785765052
"Monodelphis dimidiata";0,765162996973095;0,50395866020105;0,012751343348889;0,427291000174345
"Monodelphis brevicaudata";0,765162996973095;0,50395866020105;0,0127279085092291;0,427283188561125
"Monodelphis americana";0,765162996973095;0,50395866020105;0,0133430301262647;0,427488229100137
"Monodelphis adusta";0,765162996973095;0,50395866020105;0,0129439643717222;0,427355207181956
"Monodelphis maraxina";0,765162996973095;0,50395866020105;0,0127408647645548;0,4272875073129
"Monodelphis iheringi";0,765162996973095;0,50395866020105;0,0128080792490199;0,427309912141055
"Philander andersoni";0,789424878445825;0,846741799402011;0,0137903719462551;0,549985683264697
"Philander opossum";0,789424878445825;0,846741799402011;0,0149864138864352;0,550384363911424
"Philander mcilhennyi";0,789424878445825;0,846741799402011;0,0137903719462551;0,549985683264697
