"";"Rb";"AV";"FV";"NN"
"Tachyglossus aculeatus";0,0108572904843659;0,0214353988513929;0,0214314293330871;1,38265271650458e-05
"Zaglossus attenboroughi";0,0122208568551321;0,0292682319772291;0,0292628119342704;2,21808393102707e-05
"Zaglossus bartoni";0,0119370237275692;0,0276782575729029;0,0276731319696487;1,09283689195272e-07
"Zaglossus bruijni";0,0125326476571373;0,0309946032288921;0,0309888634875534;0,000136447793881639
"Ornithorhynchus anatinus";0,0102853813710668;0,0179554584437535;0,0179521333588565;1,22724749872447e-05
"Caluromys philander";0,00959732638107999;0,0133180892988472;0,013315622986014;1,86175702297092e-06
"Caluromys derbianus";0,00963706593504618;0,0136495348763105;0,0136470071846668;0
"Caluromys lanatus";0,00965559034978384;0,0137903719462551;0,0137878181736724;0
"Caluromysiops irrupta";0,00960859032946386;0,0134178646344634;0,0134153798447162;0
"Glironia venusta";0,00955963257534768;0,0128146173044185;0,0128122442271399;0
"Chironectes minimus";0,0100284842646139;0,0163266962178323;0,0163236727555697;2,40237839201317e-05
"Didelphis aurita";0,0101379964193819;0,0170280842874251;0,017024930938483;3,41202699161679e-05
"Didelphis imperfecta";0,0101834812510727;0,0173165367078163;0,0173133299417593;0
"Didelphis marsupialis";0,0101024073168918;0,0168013276335282;0,016798216276559;1,86371878250352e-06
"Didelphis pernigra";0,0101834812510727;0,0173165367078163;0,0173133299417593;0
"Didelphis virginiana";0,0105720957437486;0,0197185785565035;0,019714926967882;6,9804180799389e-06
"Didelphis albiventris";0,0100063945610707;0,0161836023998669;0,0161806054364595;2,48959223443472e-05
"Gracilinanus formosus";0,00978864835894332;0,0133680500050552;0,0133655744402394;0
"Gracilinanus emiliae";0,00999248171439861;0,0141673230370708;0,0141646994587306;0
"Gracilinanus microtarsus";0,00969028827824898;0,0130152274438816;0,0130128172165772;0
"Gracilinanus marica";0,00974065922810669;0,013191020962241;0,0131885781805813;7,02341595340116e-07
"Gracilinanus dryas";0,00979912747137799;0,0134075330484823;0,0134050501719918;0
"Gracilinanus aceramarcae";0,00977137009121981;0,013303488435698;0,0133010248267284;0
"Gracilinanus agricolai";0,00978864835894332;0,0133680500050552;0,0133655744402394;0
"Gracilinanus agilis";0,00975665605468519;0,0132491967369769;0,0132467431820256;0
"Gracilinanus ignitus";0,00978864835894332;0,0133680500050552;0,0133655744402394;0
"Hyladelphys kalinowskii";0,0098146196974468;0,013466232147044;0,0134637384003501;0
"Lestodelphys halli";0,00957330777152746;0,0127261506352893;0,0127237939407273;0
"Lutreolina crassicaudata";0,00979552596905671;0,0147817749656882;0,0147790375999539;2,72587666070266e-06
"Marmosa murina";0,00972323802983863;0,0131288637309519;0,0131264324598906;0
"Marmosa xerophila";0,00962587758135949;0,0128170589818583;0,0128146854524172;1,35412728869723e-06
"Marmosa tyleriana";0,00968232599088087;0,0129885907603704;0,0129861854657851;1,14318409865331e-06
"Marmosa rubra";0,00958909662105995;0,0127377890020854;0,0127354301522702;0
"Marmosa quichua";0,00965407564361512;0,0128978941365996;0,0128955056376854;5,12043901023697e-07
"Marmosa mexicana";0,00961661931898674;0,0127930581646148;0,0127906890797695;4,31311070758951e-07
"Marmosa lepida";0,00985338464989498;0,0136147238595418;0,0136122026143826;0
"Marmosa andersoni";0,00962229796079386;0,0128075301879098;0,0128051584230602;2,21736570359555e-06
"Marmosa robinsoni";0,0096001112839961;0,0127562646709154;0,01275390239968;2,75791150432855e-06
"Marmosops handleyi";0,00969205993868021;0,0130212036874741;0,0130187923534579;5,91982667770812e-06
"Marmosops juninensis";0,00968699373500531;0,0130041709706511;0,0130017627908417;0
"Marmosops pinheiroi";0,00968699373500531;0,0130041709706511;0,0130017627908417;0
"Marmosops paulensis";0,0096513455633425;0,0128895764073619;0,0128871894487679;1,51896065370529e-06
"Marmosops parvidens";0,00983841024291642;0,0135570689831336;0,0135545584148034;0
"Marmosops noctivagus";0,0097663136429435;0,013284752851091;0,0132822927116741;0
"Marmosops neblina";0,00968699373500531;0,0130041709706511;0,0130017627908417;0
"Marmosops bishopi";0,00978197487585188;0,0133430301262647;0,0133405591947598;0
"Marmosops impavidus";0,00964501303466477;0,012870634070316;0,0128682506195622;0
"Marmosops incanus";0,00959016578477186;0,0127392309124089;0,0127368717955733;3,69706363545844e-07
"Marmosops fuscatus";0,00959392148110786;0,0127449410637336;0,0127425808894625;0
"Marmosops dorothea";0,00965718789465528;0,0129074739056853;0,0129050836327398;0
"Marmosops cracens";0,00972700719608904;0,0131421909780622;0,0131397572389922;0
"Marmosops invictus";0,0097012511015026;0,0130524259069736;0,0130500087910649;0
"Metachirus nudicaudatus";0,00968919994032034;0,0140374250639032;0,0140348255407432;0
"Micoureus demerarae";0,00957353667776905;0,012726085666801;0,0127237289842701;1,62240113701917e-06
"Micoureus regina";0,00955949218714217;0,0128301816041964;0,0128278056446401;2,40771179913207e-06
"Micoureus paraguayanus";0,00955973792626155;0,0128094835656563;0,0128071114390701;1,07392429465024e-05
"Micoureus constantiae";0,00956461875408897;0,0127460446104197;0,0127436842317881;0
"Micoureus alstoni";0,00956033989688792;0,0128803103164378;0,0128779250737866;6,71306306742822e-07
"Micoureus phaeus";0,00956078111741089;0,0127823835446158;0,012780016436552;2,36893786139183e-06
"Monodelphis emiliae";0,00964690025850101;0,012876168558018;0,0128737840823591;0
"Monodelphis osgoodi";0,00955976902900027;0,0128080792490199;0,0128057073824923;0
"Monodelphis umbristriata";0,00959136173906708;0,0127409344868132;0,0127385750545008;0
"Monodelphis theresa";0,00955976902900027;0,0128080792490199;0,0128057073824923;0
"Monodelphis sorex";0,0096205823530497;0,01280307432548;0,0128007033857901;0
"Monodelphis scalops";0,00991719151301847;0,0155990156633406;0,0155961269567363;1,58783109712145e-05
"Monodelphis rubida";0,00962802965455246;0,0128228635490466;0,0128204889446857;0
"Monodelphis palliolata";0,00959136173906708;0,0127409344868132;0,0127385750545008;0
"Monodelphis unistriata";0,00960287822637811;0,0127617758418331;0,0127594125500105;1,60159795115685e-06
"Monodelphis kunsi";0,00990063774036456;0,0137991049145874;0,0137965495247884;0
"Monodelphis glirina";0,00959136173906708;0,0127409344868132;0,0127385750545008;0
"Monodelphis domestica";0,00957796840868512;0,0127267001210097;0,012724343324691;2,36399600470841e-06
"Monodelphis dimidiata";0,00959753888085023;0,012751343348889;0,0127489819890096;0
"Monodelphis brevicaudata";0,00958001986998818;0,0127279085092291;0,0127255514891348;1,03004982442752e-06
"Monodelphis americana";0,00978197487585188;0,0133430301262647;0,0133405591947598;0
