;Rb_median;AV_median;FV_median;NNmed
Zaglossus_bartoni;0,01997447;0,999446404;0,999277322;0,082674686
Zaglossus_bruijnii;0,01997441;0,999440459;0,999271377;0,047089662
Zaglossus_attenboroughi;0,01997466;0,999442012;0,999272931;0,061766715
Tachyglossus_aculeatus;0,019975371;0,999467528;0,999298442;0,158972619
Ornithorhynchus_anatinus;0,019977878;0,999571882;0,999402778;0,367455786
Hydrodamalis_gigas;0,014969307;0,744890357;0,744764339;0,190191865
Trichechus_manatus;0,014967063;0,744804803;0,7446788;0,045408998
Trichechus_senegalensis;0,014967046;0,744802475;0,744676472;0,01976259
Trichechus_inunguis;0,014967046;0,744802475;0,744676472;0,018155514
Dugong_dugon;0,014968677;0,7448643;0,744738287;0,115174565
Mammut_americanum;0,014961989;0,744630628;0,744504654;0,103565821
Loxodonta_africana;0,014961263;0,744595652;0,744469684;0,07455738
Mammuthus_primigenius;0,014960779;0,744571158;0,744445195;0,027808071
Mammuthus_columbi;0,014960779;0,744571158;0,744445195;0,026690796
Elephas_maximus;0,014960633;0,744567352;0,744441389;0,034812223
Elephas_cypriotes;0,014960602;0,744563944;0,744437981;0,017753361
Elephas_antiquus;0,014960602;0,744563944;0,744437981;0,016160585
Procavia_capensis;0,014966419;0,744734828;0,744608837;0,077687934
Heterohyrax_brucei;0,014966419;0,744734828;0,744608837;0,068648312
Dendrohyrax_dorsalis;0,014966346;0,744718562;0,744592573;0,055404585
Dendrohyrax_validus;0,014966299;0,744718562;0,744592573;0,040237511
Dendrohyrax_arboreus;0,014966415;0,74472192;0,744595931;0,047929676
Orycteropus_afer;0,014976622;0,745403703;0,745277598;0,575561265
Rhynchocyon_petersi;0,014958448;0,744815266;0,744689261;0,041264135
Rhynchocyon_chrysopygus;0,014958391;0,744814545;0,744688541;0,031358398
Rhynchocyon_cirnei;0,014958396;0,744813132;0,744687127;0,032558483
Rhynchocyon_udzungwensis;0,014958457;0,744891563;0,744765546;0,042217844
Elephantulus_myurus;0,014952124;0,74435348;0,744227553;0,082207174
Elephantulus_edwardii;0,014952053;0,744347977;0,744222051;0,058987046
Macroscelides_micus;0,014948827;0,744268281;0,744142369;0,066387536
Macroscelides_proboscideus;0,014948861;0,744268281;0,744142369;0,060183043
Macroscelides_flavicaudatus;0,014948794;0,744269238;0,744143326;0,063448626
Elephantulus_revoilii;0,01494871;0,744241403;0,744115495;0,074132256
Petrodromus_tetradactylus;0,014948858;0,744241633;0,744115725;0,064669953
Elephantulus_fuscus;0,014950572;0,744271104;0,744145191;0,056177664
Elephantulus_rozeti;0,014950036;0,744281315;0,7441554;0,077872689
Elephantulus_intufi;0,014950036;0,744281315;0,7441554;0,054695356
Elephantulus_pilicaudus;0,014951952;0,744304143;0,744178224;0,068443718
Elephantulus_rupestris;0,014951595;0,744304143;0,744178224;0,101169918
Elephantulus_fuscipes;0,014952924;0,744308999;0,74418308;0,078243894
Elephantulus_brachyrhynchus;0,014952974;0,744378731;0,7442528;0,0677744
Elephantulus_rufescens;0,014952974;0,744378731;0,7442528;0,083031181
Potamogale_velox;0,014953149;0,744494191;0,74436824;0,187468797
Micropotamogale_ruwenzorii;0,01495193;0,744458138;0,744332194;0,064915853
Micropotamogale_lamottei;0,01495193;0,744458138;0,744332194;0,06430748
Microgale_fotsifotsy;0,01492808;0,743597361;0,743471562;0,071103432
Microgale_nasoloi;0,01492681;0,743597361;0,743471562;0,059949443
Microgale_pusilla;0,01492681;0,743488297;0,743362517;0,05737754
Microgale_principula;0,014927054;0,743438961;0,743313189;0,059878336
Microgale_majori;0,014927054;0,743441645;0,743315873;0,051711273
Microgale_dryas;0,014927081;0,743459759;0,743333983;0,044753422
Microgale_monticola;0,01492693;0,743453262;0,743327487;0,056667839
Microgale_longicaudata;0,014926188;0,74343348;0,743307709;0,05691616
Microgale_jobihely;0,014928294;0,743447463;0,743321689;0,059959271
Microgale_gymnorhyncha;0,014927426;0,743419564;0,743293795;0,067381678
Microgale_cowani;0,014924931;0,743417382;0,743291614;0,047666025
Microgale_taiva;0,014924931;0,743417677;0,743291909;0,036525181
Microgale_grandidieri;0,014925091;0,743449547;0,743323774;0,03822657
Microgale_gracilis;0,014925273;0,743461673;0,743335897;0,046399728
Microgale_brevicaudata;0,014925425;0,743530775;0,743404987;0,044288436
Microgale_dobsoni;0,014925425;0,74349179;0,743366009;0,045971756
Microgale_thomasi;0,014925115;0,743471901;0,743346123;0,039437673
Microgale_jenkinsae;0,014924537;0,743471901;0,743346123;0,033386256
Limnogale_mergulus;0,014924225;0,743478765;0,743352986;0,026373644
Microgale_talazaci;0,014924234;0,743498918;0,743373136;0,032647193
Microgale_soricoides;0,014923992;0,743494871;0,74336909;0,03241596
Microgale_parvula;0,01492481;0,74349596;0,743370178;0,035702588
Microgale_drouhardi;0,014924998;0,743553987;0,743428195;0,044993453
Oryzorictes_tetradactylus;0,014936336;0,743753548;0,743627723;0,060010063
Oryzorictes_hova;0,014936336;0,743753548;0,743627723;0,064282906
Geogale_aurita;0,014937203;0,743795724;0,743669892;0,275044836
Tenrec_ecaudatus;0,014938441;0,743902967;0,743777116;0,180954832
Hemicentetes_semispinosus;0,014938338;0,743877502;0,743751656;0,067473522
Hemicentetes_nigriceps;0,014938338;0,743877502;0,743751656;0,0648689
Setifer_setosus;0,01493814;0,74388992;0,743764072;0,077654129
Echinops_telfairi;0,01493814;0,74388992;0,743764072;0,077245887
Huetia_leucorhina;0,014933521;0,743883603;0,743757756;0,052557765
Calcochloris_tytonis;0,014933399;0,743606119;0,743480319;0,039409352
Calcochloris_obtusirostris;0,014929763;0,743602507;0,743476707;0,039919814
Chrysospalax_villosus;0,014929763;0,743597747;0,743471948;0,032316958
Chrysospalax_trevelyani;0,014929516;0,743599799;0,743474;0,040668351
Amblysomus_marleyi;0,014929652;0,743597852;0,743472053;0,031961964
Amblysomus_corriae;0,014929593;0,743492752;0,743366971;0,031307171
