"";"ED";"ES"
"Tachyglossus aculeatus";0,000855956453590733;2,42267896705114e-85
"Zaglossus attenboroughi";0,000230354772328301;0
"Zaglossus bartoni";0,000230354772328301;0
"Zaglossus bruijni";0,000230354772328301;0
"Ornithorhynchus anatinus";0,000420223467052952;1,43158675843471e-210
"Caluromys philander";0,0105721605604821;5,68874183214567e-08
"Caluromys derbianus";0,0105721605604821;5,68874183214567e-08
"Caluromys lanatus";0,0105721605604821;1,13774836642913e-07
"Caluromysiops irrupta";0,00056934889082708;2,10860454138179e-207
"Glironia venusta";0,00056934889082708;2,10860454138179e-207
"Chironectes minimus";0,000230354772328301;0
"Didelphis aurita";0,00164235572213829;7,84439246911502e-70
"Didelphis imperfecta";0,00164235572213829;7,84439246911502e-70
"Didelphis marsupialis";0,00164235572213829;1,568878493823e-69
"Didelphis pernigra";0,00164235572213829;3,13775698764601e-69
"Didelphis virginiana";0,00164235572213829;6,27551397529201e-69
"Didelphis albiventris";0,00164235572213829;1,2551027950584e-68
"Gracilinanus formosus";0,0150189150417297;7,24010336210771e-06
"Gracilinanus emiliae";0,0150189150417297;7,24010336210771e-06
"Gracilinanus microtarsus";0,0150189150417297;1,44802067242154e-05
"Gracilinanus marica";0,0150189150417297;2,89604134484308e-05
"Gracilinanus dryas";0,0150189150417297;5,79208268968616e-05
"Gracilinanus aceramarcae";0,0150189150417297;0,000115841653793723
"Gracilinanus agricolai";0,0150189150417297;0,000231683307587447
"Gracilinanus agilis";0,0150189150417297;0,000463366615174893
"Gracilinanus ignitus";0,0150189150417297;0,000926733230349786
"Hyladelphys kalinowskii";0,00056934889082708;4,21720908276359e-207
"Lestodelphys halli";0,00164235572213829;2,51020559011681e-68
"Lutreolina crassicaudata";0,00164235572213829;5,02041118023361e-68
"Marmosa murina";0,00056934889082708;8,43441816552717e-207
"Marmosa xerophila";0,00056934889082708;1,68688363310543e-206
"Marmosa tyleriana";0,00056934889082708;3,37376726621087e-206
"Marmosa rubra";0,00056934889082708;6,74753453242174e-206
"Marmosa quichua";0,00056934889082708;1,34950690648435e-205
"Marmosa mexicana";0,00056934889082708;2,6990138129687e-205
"Marmosa lepida";0,00056934889082708;5,39802762593739e-205
"Marmosa andersoni";0,00056934889082708;1,07960552518748e-204
"Marmosa robinsoni";0,00056934889082708;2,15921105037496e-204
"Marmosops handleyi";0,00056934889082708;4,31842210074991e-204
"Marmosops juninensis";0,00056934889082708;8,63684420149983e-204
"Marmosops pinheiroi";0,00056934889082708;1,72736884029997e-203
"Marmosops paulensis";0,00056934889082708;3,45473768059993e-203
"Marmosops parvidens";0,00056934889082708;6,90947536119986e-203
"Marmosops noctivagus";0,00056934889082708;1,38189507223997e-202
"Marmosops neblina";0,00056934889082708;2,76379014447994e-202
"Marmosops bishopi";0,00056934889082708;5,52758028895989e-202
"Marmosops impavidus";0,00056934889082708;1,10551605779198e-201
"Marmosops incanus";0,00056934889082708;2,21103211558396e-201
"Marmosops fuscatus";0,00056934889082708;4,42206423116791e-201
"Marmosops dorothea";0,00056934889082708;8,84412846233582e-201
"Marmosops cracens";0,00056934889082708;1,76882569246716e-200
"Marmosops invictus";0,00056934889082708;3,53765138493433e-200
"Metachirus nudicaudatus";0,00164235572213829;1,00408223604672e-67
"Micoureus demerarae";0,00164235572213829;2,00816447209344e-67
"Micoureus regina";0,00164235572213829;4,01632894418689e-67
