"";"ED";"ES"
"Tachyglossus aculeatus";0,000310393747357993;3,57324711672231e-278
"Zaglossus attenboroughi";0,000310393747357993;3,57324711672231e-278
"Zaglossus bartoni";0,000310393747357993;7,14649423344463e-278
"Zaglossus bruijni";0,000310393747357993;1,42929884668893e-277
"Ornithorhynchus anatinus";0,00327365110761554;1,10567969714862e-10
"Caluromys philander";0,03379845733442;0,0289207241887058
"Caluromys derbianus";0,03379845733442;0,0289207241887058
"Caluromys lanatus";0,03379845733442;0,0578414483774116
"Caluromysiops irrupta";0,172304785700532;0,193022719205534
"Glironia venusta";0,122906549252591;0,129766482181426
"Chironectes minimus";0,166129248497966;0,214626666994446
"Didelphis aurita";0,0453396870855262;0,0110405697407869
"Didelphis imperfecta";0,00542890358124885;2,44732082242697e-09
"Didelphis marsupialis";0,0453396870855262;0,0110405697407869
"Didelphis pernigra";0,0453396870855262;0,0220811394815738
"Didelphis virginiana";0,0453396870855262;0,0441622789631476
"Didelphis albiventris";0,0453396870855262;0,0883245579262953
"Gracilinanus formosus";0,0119291451903451;0,000216153793325861
"Gracilinanus emiliae";0,0119291451903451;0,000216153793325861
"Gracilinanus microtarsus";0,0119291451903451;0,000432307586651723
"Gracilinanus marica";0,0119291451903451;0,000864615173303445
"Gracilinanus dryas";0,0119291451903451;0,00172923034660689
"Gracilinanus aceramarcae";0,0119291451903451;0,00345846069321378
"Gracilinanus agricolai";0,0119291451903451;0,00691692138642756
"Gracilinanus agilis";0,0119291451903451;0,0138338427728551
"Gracilinanus ignitus";0,0119291451903451;0,0276676855457103
"Hyladelphys kalinowskii";0,129133133767053;0,140445290211026
"Lestodelphys halli";0,00533890522363798;9,63181411944049e-15
"Lutreolina crassicaudata";0,106558904311378;0,11976785238214
"Marmosa murina";0,0139871493837402;0,000311991657591942
"Marmosa xerophila";0,0139871493837402;0,000311991657591942
"Marmosa tyleriana";0,0139871493837402;0,000623983315183883
"Marmosa rubra";0,0139871493837402;0,00124796663036777
"Marmosa quichua";0,0139871493837402;0,00249593326073553
"Marmosa mexicana";0,0139871493837402;0,00499186652147107
"Marmosa lepida";0,0139871493837402;0,00998373304294213
"Marmosa andersoni";0,0139871493837402;0,0199674660858843
"Marmosa robinsoni";0,0139871493837402;0,0399349321717685
"Marmosops handleyi";0,00542890358124885;2,44732082242697e-09
