"";"dietori";"activityori";"massori";"meanori"
"Tachyglossus aculeatus";0,000310393747357993;0,000855956453590733;0,000117160463548599;0,000427836888165775
"Zaglossus attenboroughi";0,000310393747357993;0,000230354772328301;0,000130110275265424;0,000223619598317239
"Zaglossus bartoni";0,000310393747357993;0,000230354772328301;0,000137219559561046;0,000225989359749113
"Zaglossus bruijni";0,000310393747357993;0,000230354772328301;0,000207223382664934;0,000249323967450409
"Ornithorhynchus anatinus";0,00327365110761554;0,000420223467052952;9,69123890896622e-05;0,00126359565458605
"Caluromys philander";0,03379845733442;0,0105721605604821;6,45514946623923e-05;0,0148117231298548
"Caluromys derbianus";0,03379845733442;0,0105721605604821;6,27149591934888e-05;0,0148111109513652
"Caluromys lanatus";0,03379845733442;0,0105721605604821;6,59538841836427e-05;0,0148121905930286
"Caluromysiops irrupta";0,172304785700532;0,00056934889082708;5,96418344253517e-05;0,0576445921419281
"Glironia venusta";0,122906549252591;0,00056934889082708;6,11494708302262e-05;0,0411790158714161
"Chironectes minimus";0,166129248497966;0,000230354772328301;9,92456267028216e-05;0,0554862829656657
"Didelphis aurita";0,0453396870855262;0,00164235572213829;0,000114035388139291;0,0156986927319346
"Didelphis imperfecta";0,00542890358124885;0,00164235572213829;8,32682702250172e-05;0,00238484252453739
"Didelphis marsupialis";0,0453396870855262;0,00164235572213829;9,58632014415613e-05;0,0156926353363687
"Didelphis pernigra";0,0453396870855262;0,00164235572213829;8,32682702250172e-05;0,0156884370259632
"Didelphis virginiana";0,0453396870855262;0,00164235572213829;0,000146027042439031;0,0157093566167012
"Didelphis albiventris";0,0453396870855262;0,00164235572213829;9,29794510630322e-05;0,0156916740862425
"Gracilinanus formosus";0,0119291451903451;0,0150189150417297;5,62061395766669e-05;0,00900142212388382
"Gracilinanus emiliae";0,0119291451903451;0,0150189150417297;5,44396929346578e-05;0,00900083330833649
"Gracilinanus microtarsus";0,0119291451903451;0,0150189150417297;5,54938236170526e-05;0,00900118468523062
"Gracilinanus marica";0,0119291451903451;0,0150189150417297;5,63962486003957e-05;0,0090014854935584
"Gracilinanus dryas";0,0119291451903451;0,0150189150417297;5,57953045351361e-05;0,00900128517886998
"Gracilinanus aceramarcae";0,0119291451903451;0,0150189150417297;5,6197424622419e-05;0,00900141921889907
"Gracilinanus agricolai";0,0119291451903451;0,0150189150417297;5,62061395766669e-05;0,00900142212388382
"Gracilinanus agilis";0,0119291451903451;0,0150189150417297;5,43410261749392e-05;0,00900080041941658
"Gracilinanus ignitus";0,0119291451903451;0,0150189150417297;5,62061395766669e-05;0,00900142212388382
"Hyladelphys kalinowskii";0,129133133767053;0,00056934889082708;5,73592190456701e-05;0,0432532806256419
"Lestodelphys halli";0,00533890522363798;0,00164235572213829;5,68271131243495e-05;0,00234602935296687
"Lutreolina crassicaudata";0,106558904311378;0,00164235572213829;8,29265535665794e-05;0,036094728862361
"Marmosa murina";0,0139871493837402;0,00056934889082708;5,51970713127356e-05;0,00487056511529334
"Marmosa xerophila";0,0139871493837402;0,00056934889082708;5,7858956879267e-05;0,00487145241048218
"Marmosa tyleriana";0,0139871493837402;0,00056934889082708;5,64018153205328e-05;0,00487096669662927
"Marmosa rubra";0,0139871493837402;0,00056934889082708;5,71479454371921e-05;0,00487121540666816
"Marmosa quichua";0,0139871493837402;0,00056934889082708;5,56342465271116e-05;0,0048707108403648
"Marmosa mexicana";0,0139871493837402;0,00056934889082708;5,60482869123738e-05;0,00487084885382655
"Marmosa lepida";0,0139871493837402;0,00056934889082708;5,40970759024154e-05;0,00487019845015656
"Marmosa andersoni";0,0139871493837402;0,00056934889082708;5,66054902075035e-05;0,00487103458825826
