"";"ED";"ES"
"Tachyglossus aculeatus";0,000117160463548599;0,000102193808975732
"Zaglossus attenboroughi";0,000130110275265424;0,00018751103601939
"Zaglossus bartoni";0,000137219559561046;0,000104049977320188
"Zaglossus bruijni";0,000207223382664934;0,000680334945822294
"Ornithorhynchus anatinus";9,69123890896622e-05;5,94334732695284e-05
"Caluromys philander";6,45514946623923e-05;5,37434363854296e-05
"Caluromys derbianus";6,27149591934888e-05;1,02219192123201e-05
"Caluromys lanatus";6,59538841836427e-05;6,59243920879609e-06
"Caluromysiops irrupta";5,96418344253517e-05;1,34149613718619e-07
"Glironia venusta";6,11494708302262e-05;1,58843459118603e-05
"Chironectes minimus";9,92456267028216e-05;0,000115435503191795
"Didelphis aurita";0,000114035388139291;0,000217714399785973
"Didelphis imperfecta";8,32682702250172e-05;2,29265959133835e-05
"Didelphis marsupialis";9,58632014415613e-05;5,70531510586721e-05
"Didelphis pernigra";8,32682702250172e-05;2,29265959133835e-05
"Didelphis virginiana";0,000146027042439031;0,000364659301944259
"Didelphis albiventris";9,29794510630322e-05;0,000202205819181799
"Gracilinanus formosus";5,62061395766669e-05;2,58815578014279e-05
"Gracilinanus emiliae";5,44396929346578e-05;1,30271287479018e-05
"Gracilinanus microtarsus";5,54938236170526e-05;2,30732951955723e-06
"Gracilinanus marica";5,63962486003957e-05;1,36326231325429e-05
"Gracilinanus dryas";5,57953045351361e-05;2,20259309660292e-07
"Gracilinanus aceramarcae";5,6197424622419e-05;6,96170424384987e-06
"Gracilinanus agricolai";5,62061395766669e-05;2,58815578014279e-05
"Gracilinanus agilis";5,43410261749392e-05;6,80704986858773e-09
"Gracilinanus ignitus";5,62061395766669e-05;5,17631156028558e-05
"Hyladelphys kalinowskii";5,73592190456701e-05;2,52560793492222e-05
"Lestodelphys halli";5,68271131243495e-05;4,85809910768932e-06
"Lutreolina crassicaudata";8,29265535665794e-05;4,71888100783488e-05
"Marmosa murina";5,51970713127356e-05;4,7581415452886e-07
"Marmosa xerophila";5,7858956879267e-05;9,03593631725839e-06
"Marmosa tyleriana";5,64018153205328e-05;9,66362570955785e-06
"Marmosa rubra";5,71479454371921e-05;3,97138953371368e-06
"Marmosa quichua";5,56342465271116e-05;2,76631078620243e-06
"Marmosa mexicana";5,60482869123738e-05;8,49400798746734e-06
"Marmosa lepida";5,40970759024154e-05;9,90114005579025e-08
"Marmosa andersoni";5,66054902075035e-05;1,67033815436755e-05
"Marmosa robinsoni";5,7804562630976e-05;3,28772667957264e-05
"Marmosops handleyi";5,99899704523135e-05;2,0035223485575e-05
"Marmosops juninensis";5,60468851450397e-05;8,28393833647396e-06
"Marmosops pinheiroi";5,60468851450397e-05;8,28393833647396e-06
"Marmosops paulensis";5,64398332701052e-05;1,55193171076431e-05
"Marmosops parvidens";5,43315864684752e-05;2,74838781868101e-08
"Marmosops noctivagus";5,47032790800249e-05;4,79526004981101e-07
"Marmosops neblina";5,60468851450397e-05;1,65678766729479e-05
"Marmosops bishopi";5,62283235918373e-05;3,41026944578341e-06
"Marmosops impavidus";5,55679962897077e-05;7,10566946504529e-06
"Marmosops incanus";5,6262894721483e-05;2,94669427469162e-06
"Marmosops fuscatus";5,50195479374591e-05;7,95075354665144e-08
"Marmosops dorothea";5,55378032525367e-05;2,05959273385263e-06
"Marmosops cracens";5,5468063134205e-05;4,26115505213141e-06
"Marmosops invictus";5,67274079548699e-05;2,47302948920258e-05
"Metachirus nudicaudatus";8,69423584146916e-05;9,17688371363689e-05
"Micoureus demerarae";5,70936860399517e-05;5,53410997513251e-06
"Micoureus regina";6,31108308444769e-05;2,92943127697096e-05
"Micoureus paraguayanus";6,75698333710901e-05;3,73639538741913e-05
"Micoureus constantiae";5,64603443085776e-05;8,88052887923575e-10
"Micoureus alstoni";6,17006781738658e-05;2,58146419322065e-05
"Micoureus phaeus";6,1571711873543e-05;9,59989104861737e-06
"Monodelphis emiliae";5,39542405359696e-05;1,71897714232771e-15
"Monodelphis osgoodi";5,99722849196535e-05;2,32387437068999e-06
"Monodelphis umbristriata";5,61550937003052e-05;1,20389731063714e-06
"Monodelphis theresa";5,99722849196535e-05;2,32387437068999e-06
"Monodelphis sorex";5,51110465171908e-05;2,4829664414779e-07
"Monodelphis scalops";9,16193654950971e-05;0,000191276075740598
"Monodelphis rubida";5,67327431210302e-05;1,57668412507331e-05
"Monodelphis palliolata";5,61550937003052e-05;1,20389731063714e-06
"Monodelphis unistriata";5,63430175651418e-05;8,71590284722826e-06
"Monodelphis kunsi";5,4819327307026e-05;7,39575540410158e-06
"Monodelphis glirina";5,61550937003052e-05;2,40779462127429e-06
"Monodelphis domestica";5,75080067874724e-05;2,97100838921258e-05
"Monodelphis dimidiata";5,52752586566267e-05;2,13435810716179e-06
