"";"ED_median";"ES_median"
"Zaglossus_bartoni";56,6768824373805;38,4317307271378
"Zaglossus_bruijnii";55,2289869038669;22,4122889677597
"Zaglossus_attenboroughi";55,2913092516802;24,2567431882705
"Tachyglossus_aculeatus";59,6753558374359;75,3040812342296
"Ornithorhynchus_anatinus";74,0163327535543;138,392064903028
"Hydrodamalis_gigas";23,3334213373775;46,749880588
"Trichechus_manatus";18,9676732113961;19,1317103416594
"Trichechus_senegalensis";15,715574539567;9,61975366034844
"Trichechus_inunguis";15,4251534064541;8,93411901329688
"Dugong_dugon";18,5818964124541;24,604630980825
"Mammut_americanum";16,8687268016877;30,2397116334062
"Loxodonta_africana";15,3072319698755;21,1109533414375
"Mammuthus_primigenius";12,9580542490508;8,30593622959688
"Mammuthus_columbi";13,0208170575029;8,92101536524688
"Elephas_maximus";11,2047990555215;7,94089273502041
"Elephas_cypriotes";10,2250498913641;4,61058862445214
"Elephas_antiquus";10,1332894913684;4,32307153692187
"Procavia_capensis";15,1464756586294;17,6058339988125
"Heterohyrax_brucei";14,5116414563528;17,0177033489375
"Dendrohyrax_dorsalis";13,3853269628383;11,2963703064766
"Dendrohyrax_validus";12,8155631726862;10,3287216442766
"Dendrohyrax_arboreus";13,2444431765991;10,8421808744141
"Orycteropus_afer";63,0894455853397;76,0431678009
"Rhynchocyon_petersi";15,7017559954299;11,367043694627
"Rhynchocyon_chrysopygus";15,2386335316633;10,4668507923953
"Rhynchocyon_cirnei";15,338845756852;10,1140042605688
"Rhynchocyon_udzungwensis";16,2148183245225;12,7786368379875
"Elephantulus_myurus";13,6630570727658;13,881590274157
"Elephantulus_edwardii";12,853055117611;10,9736408598423
"Macroscelides_micus";12,5089114585144;11,0462247065261
"Macroscelides_proboscideus";12,5504647873124;11,0901055041528
"Macroscelides_flavicaudatus";11,9638140893103;10,8152550953145
"Elephantulus_revoilii";11,9831576933998;10,6945492141235
"Petrodromus_tetradactylus";11,4516553157296;10,1946451116771
"Elephantulus_fuscus";11,4516553157296;10,0362196169056
"Elephantulus_rozeti";12,2040075048318;10,2005498083812
"Elephantulus_intufi";11,8709210772488;10,7549480972454
"Elephantulus_pilicaudus";13,3789199608178;11,9652673204582
"Elephantulus_rupestris";14,9161749968787;14,6321878365083
"Elephantulus_fuscipes";13,7710287944105;12,2908878486848
"Elephantulus_brachyrhynchus";12,1877204509416;11,51803461246
"Elephantulus_rufescens";13,5558158074445;13,8380616576182
"Potamogale_velox";25,9814484187312;35,2197184726953
"Micropotamogale_ruwenzorii";21,6415920199847;20,4897081298506
"Micropotamogale_lamottei";21,6415920199847;20,2103736812
"Microgale_fotsifotsy";11,2564147293661;10,7056682489376
"Microgale_nasoloi";10,7909552588289;9,47061856879058
"Microgale_pusilla";10,2470356260772;9,00086989018114
"Microgale_principula";10,3327438580637;8,62668506036964
"Microgale_majori";8,97857391942783;7,27390650424609
"Microgale_dryas";8,89861183914522;7,33964837455323
"Microgale_monticola";9,95235123453516;8,60772774085691
"Microgale_longicaudata";10,2137687808372;9,10239900356836
"Microgale_jobihely";10,413131635451;9,390449017436
"Microgale_gymnorhyncha";10,0625228926884;8,94105049493859
"Microgale_cowani";9,09033344972462;8,52495329637725
"Microgale_taiva";9,07910007079546;7,998583241677
"Microgale_grandidieri";9,26387381857678;8,61521916518201
"Microgale_gracilis";9,28434768883968;8,52765630696453
"Microgale_brevicaudata";9,3000340662622;7,8009703980714
"Microgale_dobsoni";9,43398828673678;8,20811723505587
"Microgale_thomasi";8,61174195181503;7,60900699879446
"Microgale_jenkinsae";8,78341040489176;7,20607013508325
"Limnogale_mergulus";8,17760750614345;6,81426605200016
"Microgale_talazaci";8,66861297062633;6,97177309800625
"Microgale_soricoides";8,50348653752476;6,45169137444653
"Microgale_parvula";9,07035028628453;7,99427868389888
"Microgale_drouhardi";10,108358168904;10,1903338118906
"Oryzorictes_tetradactylus";15,9084897151015;16,3182619638732
"Oryzorictes_hova";16,6538983099467;16,572171695617
"Geogale_aurita";24,9980750221031;28,1854870334883
"Tenrec_ecaudatus";19,3182703231851;23,0987722445723
"Hemicentetes_semispinosus";15,0014676920859;14,6843725064416
"Hemicentetes_nigriceps";15,0079930767609;14,2990173799266
"Setifer_setosus";15,8151818069435;19,0398481675996
"Echinops_telfairi";15,4541628884999;18,2564550280203
"Huetia_leucorhina";8,90312109932876;8,87425370229707
"Calcochloris_tytonis";8,33681222315288;7,09252063716367
"Calcochloris_obtusirostris";8,37139196154716;6,36123800294766
"Chrysospalax_villosus";8,17323695946805;6,44268468320298
"Chrysospalax_trevelyani";8,31259036853417;7,01307580178447
"Amblysomus_marleyi";7,79156383929945;6,80356660643921
"Amblysomus_corriae";7,74111165783946;7,00957813783457
"Amblysomus_robustus";8,06363823281952;6,78543804810188
"Carpitalpa_arendsi";7,4385218879973;5,53484123140166
"Neamblysomus_julianae";7,43394842985936;5,59435371462666
"Neamblysomus_gunningi";7,49506717322154;5,33099587073861
"Amblysomus_septentrionalis";6,82829067465599;4,22177228931341
"Amblysomus_hottentotus";7,28863745540304;5,089848915659
"Chlorotalpa_sclateri";7,32890745625279;6,29750360145665
"Chlorotalpa_duthieae";7,91690713084334;6,83613063649023
"Chrysochloris_visagiei";7,80991106304459;7,01860189239453
"Cryptochloris_zyli";7,6947014371004;6,50961697927334
"Cryptochloris_wintoni";8,10320569006495;6,46614745873047
"Chrysochloris_asiatica";8,28694589955489;7,24369695717266
"Chrysochloris_stuhlmanni";8,54785177493899;8,22666183454834
"Eremitalpa_granti";12,6194918833079;15,3088908789336
"Dasypus_yepesi";13,6429305928248;15,3793312402598
"Dasypus_sabanicola";11,6619069706334;10,781426085625
"Dasypus_novemcinctus";10,131080563103;8,90790526111694
"Dasypus_septemcinctus";9,99824411797095;7,10067408302773
"Dasypus_hybridus";10,4686040017745;7,80809986452656
"Dasypus_pilosus";10,6768105471515;8,65655704824856
"Dasypus_kappleri";11,6711369243609;12,0246684013656
"Zaedyus_pichiy";12,1384925183513;22,0980102634688
"Euphractus_sexcinctus";11,2459179042974;14,5138351386437
"Chaetophractus_vellerosus";9,68329618354901;6,6341005740541
"Chaetophractus_nationi";9,55011960289613;5,67451668344687
"Chaetophractus_villosus";9,96477162403065;6,66895110198906
"Chlamyphorus_truncatus";16,773876892471;19,3282893415312
"Calyptophractus_retusus";16,773876892471;19,3282893415312
"Tolypeutes_tricinctus";11,7158659028773;11,9825899668547
"Tolypeutes_matacus";13,4135785891796;14,2921970568406
"Priodontes_maximus";18,055798635326;20,0232451911359
"Cabassous_chacoensis";13,8386739967083;13,2318216775195
"Cabassous_tatouay";12,5049688133736;10,0803452159712
"Cabassous_unicinctus";13,4787321852856;10,7441133408538
"Cabassous_centralis";14,4258479329548;14,4770743257383
"Tamandua_tetradactyla";28,9320965393454;24,7556427297813
"Tamandua_mexicana";27,9131179489741;24,7556427297813
"Myrmecophaga_tridactyla";30,0768234950116;35,914139649875
"Cyclopes_didactylus";37,6620805526661;49,2305917746875
"Mylodon_darwinii";23,4532160501472;31,1859582435625
"Choloepus_hoffmanni";17,2433729437443;17,7244313072656
"Choloepus_didactylus";16,7770142865935;17,2550565621406
"Nothrotheriops_shastensis";21,7187642047602;30,1061402846562
"Bradypus_torquatus";13,9041581637126;12,5762080541354
"Bradypus_pygmaeus";12,81377493176;9,78116148597637
"Bradypus_tridactylus";12,600960339261;8,89528888145215
"Bradypus_variegatus";13,2518674719649;12,2885687616797
"Solenodon_marcanoi";14,2270582475021;18,402770030165
"Solenodon_cubanus";12,7463982281333;12,9731507708275
"Solenodon_paradoxus";11,9356147507748;12,879896539147
"Uropsilus_investigator";11,5279326354443;12,2163974947297
"Uropsilus_soricipes";11,3535048712784;12,2995592391124
"Uropsilus_gracilis";10,26049868382;10,5434888276383
"Uropsilus_andersoni";9,7625580833235;6,8915295579748
"Uropsilus_aequodonenia";9,9903498421506;6,73467479416328
"Neurotrichus_gibbsii";10,5926354950032;9,87056601072695
"Desmana_moschata";9,96743286017044;9,88526732445117
"Galemys_pyrenaicus";10,3838229337917;10,1099684141566
"Scapanulus_oweni";10,3475346408466;11,30629007079
"Parascalops_breweri";13,9512949277435;14,5807049748219
"Scapanus_townsendii";10,1892839902841;9,21008811901338
"Scapanus_orarius";8,56373996121452;8,27863831019484
"Scapanus_latimanus";8,265470332348;7,39563405936846
"Scalopus_aquaticus";8,56349446181444;8,30648351986995
"Euroscaptor_micrura";8,22461653828122;7,86222810573507
"Euroscaptor_grandis";8,87112740546342;7,79692953949087
"Euroscaptor_mizura";7,68741640239026;6,06485893939668
"Euroscaptor_subanura";7,44733417425431;6,7030849935388
"Mogera_uchidai";8,22598461743763;7,99699177613295
"Mogera_robusta";8,09510540745622;7,240969435097
"Mogera_wogura";7,27540996492988;6,61235483433527
"Mogera_imaizumii";6,90335275342492;5,38337226550312
"Mogera_tokudae";6,55616484291241;4,98767576796196
"Mogera_etigo";6,32347242629614;4,83096373859432
"Mogera_insularis";6,58820245774492;5,37069226972223
"Mogera_kanoana";6,92513172822864;5,65916297208715
"Scaptochirus_moschatus";6,94449278994651;5,75693769314608
"Euroscaptor_klossi";6,33272894243426;4,96367412412664
"Euroscaptor_longirostris";6,5773404263247;5,88437013834738
"Parascaptor_leucura";6,29711367503418;5,14306440329745
"Euroscaptor_parvidens";6,13543449130958;4,99329273495918
"Talpa_caeca";6,37134776663901;5,17287916112681
"Talpa_romana";7,26120460450308;6,46800063214415
"Talpa_occidentalis";7,97997251389833;6,73445387387056
"Talpa_europaea";6,87704197019022;5,75120616882426
"Talpa_levantis";7,39778381549903;6,3223596761695
"Talpa_davidiana";7,69454613560937;7,23831879159842
"Talpa_stankovici";8,29875482225814;7,55233570017809
"Talpa_caucasica";8,25186618176456;7,96119389284069
"Talpa_altaica";8,89831095404152;8,16763563096893
"Urotrichus_talpoides";9,12233780114707;7,50266158488427
"Dymecodon_pilirostris";8,80858512767451;7,38071770542567
"Scaptonyx_fusicaudus";8,70009033104311;7,46911211590877
"Condylura_cristata";8,80729147355743;7,18512314314854
"Congosorex_verheyeni";8,02585400568712;7,21710729309668
"Congosorex_polli";7,97709933730865;7,11202448636698
"Congosorex_phillipsorum";9,4667972817409;9,05552134698291
"Myosorex_schalleri";11,2051680384236;11,668667739931
"Myosorex_jejei";11,4519132149101;11,2671281505318
"Myosorex_rumpii";10,2718929273761;9,7375612560871
"Myosorex_tenuis";8,90517148999421;9,29333029237575
"Myosorex_zinki";8,3104284353164;8,01888551200618
"Myosorex_babaulti";7,95710463029133;9,62172018750601
"Myosorex_kabogoensis";8,10780045150356;9,62172018750601
"Myosorex_varius";8,67426863028776;10,0527046828155
"Myosorex_longicaudatus";8,80562108691518;9,44001328994981
"Myosorex_cafer";8,76421880653627;7,93019116993323
"Myosorex_eisentrauti";9,03237111283926;8,09257017203365
"Myosorex_sclateri";8,37414877930257;8,19750760072627
"Myosorex_blarina";8,33093714816782;8,46243442704553
"Myosorex_okuensis";7,87924021508869;7,00125290036041
"Myosorex_gnoskei";8,24706189423793;8,89305843060195
"Myosorex_kihaulei";8,52074353989443;7,60118979474336
"Myosorex_geata";7,78852503766284;6,46236355027725
"Myosorex_meesteri";7,74244071041349;6,53809303755373
"Myosorex_bururiensis";7,88682342322194;7,18131814053084
"Sylvisorex_corbeti";7,83762591710512;6,39433607733596
"Suncus_hosei";7,93483950167696;6,95363415029951
"Sylvisorex_johnstoni";7,46862638868004;6,26871585418771
"Suncus_aequatorius";7,16177109527215;6,05677605250002
"Sylvisorex_howelli";7,85072209671708;7,43855599046631
"Sylvisorex_lunaris";7,54871208551624;6,91148493849694
"Sylvisorex_camerunensis";7,16392647090188;6,5953453245956
"Sylvisorex_granti";7,17383567606341;6,61725397809395
"Sylvisorex_vulcanorum";6,68080931963247;5,597572661081
"Suncus_hututsi";6,51201909259153;5,54378639072601
"Sylvisorex_silvanorum";6,77223773220933;5,91518353842465
"Suncus_remyi";7,34438788359315;7,13941757447359
"Sylvisorex_akaibei";7,32319093758353;7,05901936183568
"Suncus_infinitesimus";6,59470229077141;6,11343084813955
"Suncus_varilla";6,30770606787694;5,57808873625194
"Suncus_megalura";6,19595701317412;5,39098869384513
"Ruwenzorisorex_suncoides";6,57912367636316;6,01212130017443
"Sylvisorex_konganensis";6,63134210943651;6,29067682841943
"Scutisorex_thori";6,60441767887625;6,43221327234913
"Scutisorex_somereni";6,720413176246;6,27760187450587
"Sylvisorex_ollula";6,76025389539033;6,72751844966937
"Crocidura_pachyura";8,10969137919274;8,45838175224857
"Crocidura_russula";9,26472030301211;10,07177093579
"Crocidura_roosevelti";8,5582680495916;10,4281247271027
"Crocidura_latona";9,28000303738954;9,31238892211945
"Crocidura_zaphiri";8,73426944521046;9,19996795426347
"Crocidura_caliginea";7,40058229237902;9,5013192070122
"Crocidura_hispida";10,4017321216136;10,0787882482562
"Crocidura_voi";10,0135752569516;9,81401688114951
"Crocidura_tansaniana";9,56084983502366;9,91840378555491
"Crocidura_gmelini";9,86821227321016;10,768780955566
"Crocidura_cyanea";9,41857519617994;10,017006354965
"Crocidura_wimmeri";6,87188966642621;6,17043967711201
"Crocidura_baluensis";6,79759299274164;5,87812662181055
"Crocidura_poensis";7,27753569853503;6,91812128073438
