"";"Kingdom";"Phylum";"Class";"Family";"Genus";"Species";"Average.annual.cost";"Cumulated.cost";"Number.estimates";"Number.year.values"
"61";"Animalia";"Chordata";"Mammalia";"Muridae/Mustelidae/Phalangeridae";"Mus/Mustela/Trichosurus";"Mus musculus/Mustela erminea/Trichosurus vulpecula";473,683898892173;22736,8271468243;1;1
"109";"Animalia";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";375,882568112533;18042,3632694016;36;105
"118";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Ceratitis";"Ceratitis capitata";148,604737352912;7133,02739293979;18;76
"815";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculaceae";"Ranunculus";"Ranunculus acris";109,731448174867;5267,10951239361;2;12
"284";"Animalia";"Arthropoda";"Insecta";"Culicidae";"Aedes";"Aedes aegypti";102,157106703741;4903,54112177954;58;111
"527";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Ambrosia";"Ambrosia artemisiifolia";82,8336129886521;3976,0134234553;26;32
"142";"Animalia";"Arthropoda";"Insecta";"Plutellidae";"Plutella";"Plutella xylostella";76,0960130921469;3652,60862842305;2;2
"114";"Animalia";"Arthropoda";"Insecta";"Cerambycidae";"Anoplophora";"Anoplophora glabripennis";68,5177429841498;3288,85166323919;14;95
"117";"Animalia";"Arthropoda";"Insecta";"Calliphoridae";"Cochliomyia";"Cochliomyia hominivorax";65,0795173144504;3123,81683109362;7;11
"139";"Animalia";"Arthropoda";"Insecta";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";62,6020057286854;3004,8962749769;18;28
"407";"Plantae";"Tracheophyta";"Magnoliopsida";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";57,2637868202102;2748,66176737009;115;857
"127";"Animalia";"Arthropoda";"Insecta";"Buprestidae";"Agrilus";"Agrilus planipennis";47,9218863895758;2300,25054669964;7;12
"123";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Diabrotica";"Diabrotica barberi/Diabrotica undecimpunctata/Diabrotica virgifera";44,9430845862366;2157,26806013936;1;1
"62";"Animalia";"Chordata";"Mammalia";"Canidae";"Canis";"Canis lupus";35,3264312212608;1695,66869862052;9;9
"151";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Hypera";"Hypera postica";34,4807458864009;1655,07580254724;1;14
"103";"Animalia";"Chordata";"Aves";"Columbidae";"Columba";"Columba livia";32,6209279019875;1565,8045392954;1;1
"122";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Lymantria";"Lymantria dispar";31,8717829685608;1529,84558249092;34;146
"548";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Prunus";"Prunus serotina";27,6370134486209;1326,5766455338;11;30
"653";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadaceae";"Xylella";"Xylella fastidiosa";26,8517952014659;1288,88616967036;4;28
"285";"Animalia";"Arthropoda";"Insecta";"Culicidae";"Aedes";"Aedes aegypti/Aedes albopictus";20,2683602730488;972,88129310634;28;56
"659";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Prosopis";"Diverse/Unspecified";19,8015930159362;950,476464764936;21;181
"204";"Animalia";"Chordata";"Cephalaspidomorphi";"Petromyzontidae";"Petromyzon";"Petromyzon marinus";19,5344490774992;937,653555719962;10;10
"184";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Melaleuca";"Melaleuca quinquenervia";18,2002677498721;873,612851993861;7;56
"254";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Hydrilla";"Hydrilla sp.";17,9226461998847;860,287017594465;2;11
"702";"Animalia";"Chordata";"Ascidiacea";"Didemnidae";"Didemnum";"Didemnum vexillum";16,8600921278457;809,284422136593;5;9
"281";"Plantae";"Tracheophyta";"Magnoliopsida";"Mimosaceae";"Prosopis";"Prosopis sp.";16,5392486595598;793,88393565887;3;63
"817";"Plantae";"Tracheophyta";"Magnoliopsida";"Proteaceae";"Acacia";"Diverse/Unspecified";15,9198524567019;764,15291792169;1;1
"809";"Animalia";"Arthropoda";"Insecta";"Pseudococcidae";"Paracoccus";"Paracoccus marginatus";14,1369610012455;678,574128059783;2;10
"156";"Animalia";"Arthropoda";"Insecta";"Kalotermitidae";"Cryptotermes";"Cryptotermes brevis";13,2506421778913;636,030824538785;2;2
