"";"taxon";"species";"redlistCategory";"oriPtree";"rank_oriPtree";"dietoriFtree";"rank_dietoriFtree";"activityoriFtree";"rank_activityoriFtree";"massoriFtree";"rank_massoriFtree";"oriFtree";"rank_oriFtree";"damage_cost";"management_cost";"threatened";"TOP25PO";"TOP25FO";"TOP5PO";"TOP5FO";"N_criteriaTOP25";"N_criteriaTOP5"
"148";"MAMMALS";"Macaca mulatta";"least concern";3,78179853827191;2432;0,00709332572169123;1174;0,00431731354070018;326;0,000128100898375364;637;0,00384624672025559;1029;NA;0,00952171009191081;0;0;1;0;0;1;0
"402";"MAMMALS";"Trichosurus vulpecula";"least concern";7,45634884697488;354;0,00406335698361656;1748;0,00056934889082708;2634,5;0,000112719725187328;835;0,00158180853321032;1903;1,0546375607158;4,31469266892997;0;1;0;0;0;1;0
"984";"MAMMALS";"Rousettus aegyptiacus";"least concern";4,51801592790386;1347;0,0149878212669953;683;0,00056934889082708;2634,5;6,19524941660669e-05;1952;0,00520637421732948;822;NA;0,000470335586528106;0;1;1;0;0;2;0
"1572";"MAMMALS";"Rangifer tarandus";"vulnerable";3,87674141053309;2256;0,000381630947819962;3929,5;0,00097660893086848;1196,5;0,000517062276644892;200;0,000625100718444445;3381;NA;0,00203174905333007;1;0;0;0;0;1;1
"3136";"MAMMALS";"Sus scrofa";"least concern";4,5926952576276;1285;0,0129038792167347;793,5;0,000855956453590733;1490,5;0,000598499438004361;170,5;0,0047861117027766;919,5;110,483273543235;0,561278988342514;0;1;1;0;0;2;0
"3263";"MAMMALS";"Mustela erminea";"least concern";3,94410806699492;2128;0,0637773040389707;160,5;0,000230354772328301;4362;6,26541590467989e-05;1843,5;0,0213567709901153;180;NA;0,0284358854392107;0;0;1;0;1;1;1
"3284";"MAMMALS";"Herpestes edwardsii";"least concern";3,92138800868048;2169;0,113378270030847;62;0,000420223467052952;3289;9,49987014847986e-05;1057;0,0379644973997949;65;2,91152697935792;NA;0;0;1;0;1;1;1
"3287";"MAMMALS";"Herpestes javanicus";"least concern";3,87909589437017;2251;0,0195718930358673;551;0,000420223467052952;3289;7,99765708340273e-05;1334,5;0,00669069769125143;669;0,0219269899597082;0,642918040149151;0;0;1;0;0;1;0
"3327";"MAMMALS";"Neovison vison";"least concern";3,95531141831065;2103;0,051086774500541;223,5;0,000855956453590733;1490,5;9,4816597743414e-05;1063,5;0,0173458491839584;248;0,400490265562427;8,1049304814474;0;0;1;0;1;1;1
"3336";"MAMMALS";"Procyon lotor";"least concern";4,17362661203179;1746;0,0778872291323776;123,5;0,000230354772328301;4362;0,000121656280514181;722,5;0,0260797467284067;138;1,55224560664666;0,0120868692808593;0;0;1;0;1;1;1
"3340";"MAMMALS";"Paguma larvata";"least concern";4,19184528821437;1722;0,103931743732885;74,5;0,000230354772328301;4362;0,00012173513328549;718;0,0347612778794996;81;1,95325480800699;NA;0;0;1;0;1;1;1
"3856";"MAMMALS";"Nyctereutes procyonoides";"least concern";4,88378970444312;1087;0,153682735867912;34;0,000230354772328301;4362;0,000126630753986131;657;0,0513465737980755;36;NA;0,152009418429433;0;1;1;0;1;2;1
"4070";"MAMMALS";"Equus ferus";"endangered";4,655454342363;1226;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,00304295190087043;1;1;0;0;0;2;1
"4739";"MAMMALS";"Rattus exulans";"least concern";4,5816432079542;1294;0,00324726948185388;2030;0,000230354772328301;4362;5,78200333102503e-05;2630;0,00117848142916414;2352;NA;0,0198776351440298;0;1;0;0;0;1;0
"4831";"MAMMALS";"Eutamias sibiricus";"least concern";7,01967332476608;427;0,0758863489733043;126;0,00097660893086848;1196,5;5,65678407630556e-05;3072,5;0,0256398419149786;141;NA;0,0136478354079637;0;1;1;0;1;2;1
"4877";"MAMMALS";"Atelerix albiventris";"least concern";5,84242979241446;717;0,0511159311625909;220,5;0,000230354772328301;4362;8,27202430827737e-05;1261,5;0,017143002059334;254;NA;2,99974222324839e-05;0;1;1;0;1;2;1
"5126";"MAMMALS";"Atlantoxerus getulus";"least concern";8,05254312061307;288;0,00328896894279224;1944;0,00151184539391172;663,5;6,40090194394726e-05;1708,5;0,00162160778538114;1864;NA;0,000134864443755961;0;1;0;0;0;1;0
"5250";"MAMMALS";"Myocastor coypus";"least concern";4,5096008407304;1351;0,000381630947819962;3929,5;0,000230354772328301;4362;0,000126313446735032;661,5;0,000246099722294432;4953;1,2743752916108;0,972367139994048;0;1;0;0;0;1;0
"5415";"MAMMALS";"Phascolarctos cinereus";"vulnerable";29,0946147871331;10;0,000381630947819962;3929,5;0,00056934889082708;2634,5;0,000156086629178795;479;0,000369022155941946;4087;NA;0,00780830518745503;1;1;0;1;0;2;2
"5492";"MAMMALS";"Oryctolagus cuniculus";"endangered";3,46354887045133;3148;0,000381630947819962;3929,5;0,000230354772328301;4362;0,000116383013194898;799;0,000242789577781054;4966;66,4273398578449;1,8047991851804;1;0;0;0;0;1;1
"5645";"MAMMALS";"Vulpes vulpes";"least concern";3,01214591352699;4344;0,0295082158667306;399;0,000855956453590733;1490,5;0,000114759884216197;815,5;0,0101596440681792;443;7,93845881815507;1,37311073604724;0;0;1;0;0;1;0
"5751";"MAMMALS";"Chlorocebus pygerythrus";"least concern";3,15027386553083;3945;0,0446087031164401;275;0,00431731354070018;326;0,000112399205754833;841,5;0,016346138620965;277,5;NA;0,00291272522784127;0;0;1;0;0;1;0
"5852";"MAMMALS";"Ammotragus lervia";"vulnerable";3,68608386890706;2624;0,000381630947819962;3929,5;0,00151184539391172;663,5;0,0004731524825019;227,5;0,000788876274744527;2886;NA;0,00124914172160618;1;0;0;0;0;1;1
"5925";"BIRDS";"Cygnus olor";"least concern";6,62537051935626;4661;0,0324158525160691;858,5;0,00148951790743838;2721;0,0106112696307471;10;0,0148388800180849;921;0,000862206369353382;0,0156886071031572;0;0;1;0;0;1;0
"11535";"BIRDS";"Acridotheres tristis";"least concern";5,93730105511689;6189;0,129289463062151;89;0,000890926689944862;3577,5;0,000144247749229053;1977,5;0,043441545833775;125;NA;0,0168160714285714;0;0;1;0;1;1;1
"13769";"BIRDS";"Meleagris gallopavo";"least concern";6,46194625055862;5060;0,0132578820273236;1661;0,000362895516534851;6785,5;0,00475266841975778;41,5;0,00612448198787208;1872;NA;0,00135460073125146;0;0;1;0;0;1;0
"13781";"BIRDS";"Alexandrinus krameri";"least concern";5,8751742993275;6314;0,0262824514433148;1014;0,00452467990033748;1427,5;0,000128127903748271;2341,5;0,0103117530824669;1242;1,29241006782362;0,0058307171000811;0;0;1;0;0;1;0
"13798";"BIRDS";"Threskiornis aethiopicus";"least concern";12,9258449601848;637;0,00902385785166555;2052,5;0,000121430967291621;9069,5;0,000402379006692251;500,5;0,00318255594188314;2843,5;NA;0,00210740030518533;0;1;0;0;0;1;0
