"";"Species";"Class";"Phylogenetic originality score";"Phylogenetic originality rank";"Damage cost";"Management cost"
"260810";"Phascolarctos cinereus";"MAMMALIA";29,0946147871331;10;NA;0,00781145083897405
"354606";"Trichosurus vulpecula";"MAMMALIA";7,45634884697488;348;2,14453864969365;4,53287078718308
"153392";"Glis glis";"MAMMALIA";6,15333521762202;623;NA;NA
"177089";"Hystrix brachyura";"MAMMALIA";6,12467912130904;631;NA;0,00866114032320051
"36085";"Atelerix albiventris";"MAMMALIA";5,84242979241446;699;NA;2,99974222324839e-05
"235916";"Nyctereutes procyonoides";"MAMMALIA";4,88378970444312;1053;NA;0,148402142712963
"338844";"Sus scrofa";"MAMMALIA";4,5926952576276;1243;114,832851839686;1,49424330139416
"295225";"Rattus exulans";"MAMMALIA";4,5816432079542;1252;NA;0,0154504486920451
"228414";"Myocastor coypus";"MAMMALIA";4,5096008407304;1307;126,268702302286;1,51078585003089
"348854";"Threskiornis aethiopicus";"AVES";12,9258449601848;571;NA;0,00210740030518533
"24443";"Aquila chrysaetos";"AVES";8,38472313706299;1909;NA;0,0718056178931211
"181015";"Ipomoea lacunosa";"PLANTS";9,89e+14;1549;57,7605569274597;NA
"293295";"Ranunculus acris";"PLANTS";9,77e+14;4375;6,29984300817806;175,570317079787
"259224";"Persicaria perfoliata";"PLANTS";9,66e+14;5674;NA;5,36508901587303e-05
"14164";"Aloe maculata";"PLANTS";9,34e+14;11578;NA;9,26670953204223e-06
"271179";"Pistia stratiotes";"PLANTS";9,31e+14;12081,5;0,0229647230122941;8,04632834363369e-08
"75715";"Cirsium arvense";"PLANTS";9,25e+14;14447;20,2917704624316;4,79958823008876e-06
"3163";"Acer negundo";"PLANTS";9,22e+14;15073;NA;0,000336425074724298
"231416";"Nassella trichotoma";"PLANTS";9,19e+14;15996,5;1,09316307381713;3,0090585713015
"37736";"Baccharis halimifolia";"PLANTS";9,18e+14;16153,5;NA;0,058756346509598
"14388";"Aloe vera";"PLANTS";9,17e+14;16316;NA;0,000271975640431357
"306721";"Rumex lunaria";"PLANTS";9,02e+14;19011,5;NA;0,00274101062323018
"120976";"Eichhornia crassipes";"PLANTS";8,98e+14;19708;91,5402029893479;12,081188970406
"239982";"Onopordum acanthium";"PLANTS";8,98e+14;19708;0,113924195312352;NA
"309774";"Salvia aethiopis";"PLANTS";8,95e+14;20061;0,068861637775682;NA
"64710";"Carthamus lanatus";"PLANTS";8,78e+14;22693,5;9,27256650374019;0,00144373427853791
"68042";"Centaurea virgata";"PLANTS";8,7e+14;24449;0,121130645777249;NA
"327435";"Solanum linnaeanum";"PLANTS";8,7e+14;24449;NA;8,71854232974504e-06
"184753";"Jatropha gossypiifolia";"PLANTS";8,64e+14;25754;NA;0,00238904392572205
"153353";"Gleditsia triacanthos";"PLANTS";8,62e+14;25937;NA;3,84268887792811e-05
"166471";"Heracleum mantegazzianum";"PLANTS";8,57e+14;26573;0,0839036554677413;0,599326850174528
"344410";"Tecoma stans";"PLANTS";8,44e+14;28232;NA;0,00723542763911105
"303565";"Rubus adenotrichos";"PLANTS";8,43e+14;29501;NA;0,00128213360862799
"303694";"Rubus armeniacus";"PLANTS";8,43e+14;29501;18,2839552205308;NA
