"";"Species";"Class";"Functional originality score";"Functional originality rank";"Damage cost";"Management cost"
"235916";"Nyctereutes procyonoides";"MAMMALIA";0,0513465737980755;33;NA;0,34770191997818
"247487";"Paguma larvata";"MAMMALIA";0,0347612778794996;76;1,95325480800699;NA
"283355";"Procyon lotor";"MAMMALIA";0,0260797467284067;132;1,56047261102994;0,0167859468729752
"228127";"Mustela erminea";"MAMMALIA";0,0213567709901153;170;NA;0,0284358854392107
"233309";"Neovison vison";"MAMMALIA";0,0173458491839584;232;0,400490265562427;48,609306769107
"36085";"Atelerix albiventris";"MAMMALIA";0,017143002059334;238;NA;2,99974222324839e-05
"367668";"Vulpes vulpes";"MAMMALIA";0,0101596440681792;420;9,13666518823377;1,45671090425534
"231518";"Nasua nasua";"MAMMALIA";0,00988054443842127;439;NA;0,00198587191955182
"166953";"Herpestes javanicus";"MAMMALIA";0,00669069769125143;633;0,0219269899597082;0,465206604492895
"153392";"Glis glis";"MAMMALIA";0,00606208550954025;686;NA;NA
"303323";"Rousettus aegyptiacus";"MAMMALIA";0,00520637421732948;781;NA;0,000470335586528106
"338844";"Sus scrofa";"MAMMALIA";0,0047861117027766;877,5;50,0549251899794;22,6247548801068
"206477";"Macaca mulatta";"MAMMALIA";0,00384624672025559;983;NA;0,0306941238850143
"85957";"Corvus splendens";"AVES";0,0530475868860005;53;NA;0,0455754061698707
"4773";"Acridotheres tristis";"AVES";0,043441545833775;115;NA;0,0168160714285714
"337871";"Sturnus vulgaris";"AVES";0,040884512053513;151;40,8394437857537;0,31874497361483
"290883";"Pycnonotus cafer";"AVES";0,0307752668365709;289;0,000308744440924301;2,16864778937663e-05
"24443";"Aquila chrysaetos";"AVES";0,0172416317643654;662;NA;0,0718056178931211
"290890";"Pycnonotus jocosus";"AVES";0,0155299652721167;742;0,0169681857513701;NA
"96615";"Cygnus olor";"AVES";0,0148388800180849;785;0,000862206369353382;0,0156886071031572
"290901";"Pycnonotus sinensis";"AVES";0,0128945100705743;893;0,0132811104129742;NA
"286259";"Psittacula krameri";"AVES";0,0103117530824669;1058;1,37442233775179;0,0058307171000811
"216493";"Meleagris gallopavo";"AVES";0,00612448198787208;1579;NA;0,00135460073125146
"327978";"Solanum tampicense";"PLANTS";0,598786597475815;1165;NA;4,29711729876683e-05
"25301";"Araujia sericifera";"PLANTS";0,529075077701195;2904;NA;3,12574959575518e-05
"258632";"Periploca graeca";"PLANTS";0,529075077701195;2904;NA;6,47013691245837e-05
"336632";"Striga asiatica";"PLANTS";0,515873225913269;3071,5;NA;4,39746573468457
"67573";"Centaurea affinis";"PLANTS";0,511043592015867;5899,5;6,04259227092971;NA
"181015";"Ipomoea lacunosa";"PLANTS";0,503866968905458;7871;57,7605569274597;NA
"181159";"Ipomoea plebeia";"PLANTS";0,503866968905458;7871;NA;NA
"20934";"Anredera cordifolia";"PLANTS";0,471651433269024;22283,5;NA;0,000114124066711429
"304847";"Rubus megalococcus";"PLANTS";0,446905376500806;24217,5;NA;0,000257454091928379
"78072";"Clematis vitalba";"PLANTS";0,43298967095094;25945;NA;0,0752346797103096
"203305";"Lonicera japonica";"PLANTS";0,43298967095094;25945;3512,06062580502;6,39269947397181e-05
"327842";"Solanum seaforthianum";"PLANTS";0,43298967095094;25945;NA;0,00864840677402162
"140873";"Fallopia convolvulus";"PLANTS";0,40656112391193;27718,5;0,203776960252921;0,0180424164375762
"302699";"Rosa rugosa";"PLANTS";0,376973540905888;41606,5;NA;4,61600307141335
"222665";"Mikania micrantha";"PLANTS";0,374051636295759;42930,5;0,750027335426119;0,0622191255241747
"320088";"Senecio angulatus";"PLANTS";0,374051636295759;42930,5;NA;0,000212467680350527
"12240";"Alliaria petiolata";"PLANTS";0,365814414642472;44363;NA;1,21440494428402e-05
"238102";"Oenothera biennis";"PLANTS";0,365814414642472;44363;NA;0,00209786624194494
"238183";"Oenothera glazioviana";"PLANTS";0,365814414642472;44363;NA;9,2582328170802e-05
"239982";"Onopordum acanthium";"PLANTS";0,365814414642472;44363;0,103176629716848;NA
"252934";"Pastinaca sativa";"PLANTS";0,365814414642472;44363;NA;1,29216656878177e-05
"360649";"Vachellia nilotica";"PLANTS";0,360025626241271;46733,5;0,17533180209213;4,9022745994265e-07
