"";"parsed";"ebird"
"1";"Polyplectron schleiermacheri";"Polyplectron schleiermacheri"
"2";"Liocichla steerii";"Liocichla steerii"
"3";"Tetraogallus caspius";"Tetraogallus caspius"
"4";"Alectoris barbara";"Alectoris barbara"
"5";"Ammoperdix griseogularis";"Ammoperdix griseogularis"
"6";"Phasianus colchicus";"Phasianus colchicus"
"7";"Perdix perdix";"Perdix perdix"
"8";"Bonasa bonasia";NA
"9";"Tetrao urogallus";"Tetrao urogallus"
"10";"Lyrurus tetrix";"Lyrurus tetrix"
"11";"Cygnus olor";"Cygnus olor"
"12";"Cygnus cygnus";"Cygnus cygnus"
"13";"Anser brachyrhynchus";"Anser brachyrhynchus"
"14";"Anser albifrons";"Anser albifrons"
"15";"Mergellus albellus";"Mergellus albellus"
"16";"Tadorna ferruginea";"Tadorna ferruginea"
"17";"Netta rufina";"Netta rufina"
"18";"Aythya fuligula";"Aythya fuligula"
"19";"Spatula querquedula";"Spatula querquedula"
"20";"Mareca strepera";"Mareca strepera"
"21";"Columba oenas";"Columba oenas"
"22";"Columba bollii";"Columba bollii"
"23";"Caprimulgus europaeus";"Caprimulgus europaeus"
"24";"Tachymarptis melba";NA
"25";"Apus apus";"Apus apus"
"26";"Crex crex";"Crex crex"
"27";"Porzana porzana";"Porzana porzana"
"28";"Zapornia parva";"Zapornia parva"
"29";"Grus grus";"Grus grus"
"30";"Ciconia ciconia";"Ciconia ciconia"
"31";"Botaurus stellaris";"Botaurus stellaris"
"32";"Egretta garzetta";"Egretta garzetta"
"33";"Pluvialis apricaria";"Pluvialis apricaria"
"34";"Eudromias morinellus";NA
"35";"Vanellus spinosus";"Vanellus spinosus"
"36";"Numenius phaeopus";"Numenius phaeopus"
"37";"Calidris pugnax";"Calidris pugnax"
"38";"Calidris alba";"Calidris alba"
"39";"Gallinago stenura";"Gallinago stenura"
"40";"Lymnocryptes minimus";"Lymnocryptes minimus"
"41";"Actitis hypoleucos";"Actitis hypoleucos"
"42";"Tringa ochropus";"Tringa ochropus"
"43";"Tringa erythropus";"Tringa erythropus"
"44";"Tringa nebularia";"Tringa nebularia"
"45";"Tringa totanus";"Tringa totanus"
"46";"Tringa glareola";"Tringa glareola"
"47";"Tringa stagnatilis";"Tringa stagnatilis"
"48";"Chlidonias leucopterus";"Chlidonias leucopterus"
"49";"Glaucidium passerinum";"Glaucidium passerinum"
"50";"Strix aluco";"Strix aluco"
"51";"Picus canus";"Picus canus"
"52";"Picus viridis";"Picus viridis"
"53";"Dryocopus martius";"Dryocopus martius"
"54";"Picoides tridactylus";"Picoides tridactylus"
"55";"Dendrocopos syriacus";"Dendrocopos syriacus"
"56";"Dendrocopos major";"Dendrocopos major"
"57";"Lanius minor";"Lanius minor"
"58";"Perisoreus infaustus";"Perisoreus infaustus"
"59";"Nucifraga caryocatactes";"Nucifraga caryocatactes"
"60";"Pyrrhocorax pyrrhocorax";"Pyrrhocorax pyrrhocorax"
"61";"Pyrrhocorax graculus";"Pyrrhocorax graculus"
"62";"Bombycilla garrulus";"Bombycilla garrulus"
"63";"Poecile cinctus";"Poecile cinctus"
"64";"Lophophanes cristatus";"Lophophanes cristatus"
"65";"Parus major";"Parus major"
"66";"Cyanistes cyanus";"Cyanistes cyanus"
"67";"Aegithalos caudatus";"Aegithalos caudatus"
