"";"parsed";"ebird_itis"
"1";"Polyplectron schleiermacheri";"Polyplectron schleiermacheri"
"2";"Liocichla steerii";"Liocichla steerii"
"3";"Tetraogallus caspius";"Tetraogallus caspius"
"4";"Alectoris barbara";"Alectoris barbara"
"5";"Ammoperdix griseogularis";"Ammoperdix griseogularis"
"6";"Phasianus colchicus";"Phasianus colchicus"
"7";"Perdix perdix";"Perdix perdix"
"8";"Tetrao urogallus";"Tetrao urogallus"
"9";"Lyrurus tetrix";"Lyrurus tetrix"
"10";"Cygnus olor";"Cygnus olor"
"11";"Cygnus cygnus";"Cygnus cygnus"
"12";"Anser brachyrhynchus";"Anser brachyrhynchus"
"13";"Anser albifrons";"Anser albifrons"
"14";"Mergellus albellus";"Mergellus albellus"
"15";"Tadorna ferruginea";"Tadorna ferruginea"
"16";"Netta rufina";"Netta rufina"
"17";"Aythya fuligula";"Aythya fuligula"
"18";"Spatula querquedula";"Spatula querquedula"
"19";"Mareca strepera";"Mareca strepera"
"20";"Columba oenas";"Columba oenas"
"21";"Columba bollii";"Columba bollii"
"22";"Caprimulgus europaeus";"Caprimulgus europaeus"
"23";"Apus apus";"Apus apus"
"24";"Crex crex";"Crex crex"
"25";"Porzana porzana";"Porzana porzana"
"26";"Zapornia parva";"Zapornia parva"
"27";"Grus grus";"Grus grus"
"28";"Ciconia ciconia";"Ciconia ciconia"
"29";"Botaurus stellaris";"Botaurus stellaris"
"30";"Egretta garzetta";"Egretta garzetta"
"31";"Pluvialis apricaria";"Pluvialis apricaria"
"32";"Vanellus spinosus";"Vanellus spinosus"
"33";"Numenius phaeopus";"Numenius phaeopus"
"34";"Calidris pugnax";"Calidris pugnax"
"35";"Calidris alba";"Calidris alba"
"36";"Gallinago stenura";"Gallinago stenura"
"37";"Lymnocryptes minimus";"Lymnocryptes minimus"
"38";"Actitis hypoleucos";"Actitis hypoleucos"
"39";"Tringa ochropus";"Tringa ochropus"
"40";"Tringa erythropus";"Tringa erythropus"
"41";"Tringa nebularia";"Tringa nebularia"
"42";"Tringa totanus";"Tringa totanus"
"43";"Tringa glareola";"Tringa glareola"
"44";"Tringa stagnatilis";"Tringa stagnatilis"
"45";"Chlidonias leucopterus";"Chlidonias leucopterus"
"46";"Glaucidium passerinum";"Glaucidium passerinum"
"47";"Strix aluco";"Strix aluco"
"48";"Picus canus";"Picus canus"
"49";"Picus viridis";"Picus viridis"
"50";"Dryocopus martius";"Dryocopus martius"
"51";"Picoides tridactylus";"Picoides tridactylus"
"52";"Dendrocopos syriacus";"Dendrocopos syriacus"
"53";"Dendrocopos major";"Dendrocopos major"
"54";"Lanius minor";"Lanius minor"
"55";"Perisoreus infaustus";"Perisoreus infaustus"
"56";"Nucifraga caryocatactes";"Nucifraga caryocatactes"
"57";"Pyrrhocorax pyrrhocorax";"Pyrrhocorax pyrrhocorax"
"58";"Pyrrhocorax graculus";"Pyrrhocorax graculus"
"59";"Bombycilla garrulus";"Bombycilla garrulus"
"60";"Poecile cinctus";"Poecile cinctus"
"61";"Lophophanes cristatus";"Lophophanes cristatus"
"62";"Parus major";"Parus major"
"63";"Cyanistes cyanus";"Cyanistes cyanus"
"64";"Aegithalos caudatus";"Aegithalos caudatus"
"65";"Melanocorypha calandra";"Melanocorypha calandra"
"66";"Locustella luscinioides";"Locustella luscinioides"
