"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Acridotheres fuscus";"Animalia";"Chordata";"Aves";"Passeriformes";"Sturnidae";"Terrestrial";
"Acridotheres tristis";"Animalia";"Chordata";"Aves";"Passeriformes";"Sturnidae";"Terrestrial";
"Alectoris chukar";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Terrestrial";
"Ammotragus lervia";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Anas platyrhynchos";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Freshwater_terrestrial";
"Anser anser";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Freshwater_terrestrial";
"Axis axis";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Bos taurus";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Branta canadensis";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Freshwater_terrestrial";
"Bubalus bubalis";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Bubo virginianus";"Animalia";"Chordata";"Aves";"Strigiformes";"Strigidae";"Terrestrial";
"Bubulcus ibis";"Animalia";"Chordata";"Aves";"Ciconiiformes";"Ardeidae";"Terrestrial";
"Callithrix geoffroyi";"Animalia";"Chordata";"Mammalia";"Primates";"Callitrichidae";"Terrestrial";
"Callithrix jacchus";"Animalia";"Chordata";"Mammalia";"Primates";"Callitrichidae";"Terrestrial";
"Callithrix penicillata";"Animalia";"Chordata";"Mammalia";"Primates";"Callitrichidae";"Terrestrial";
"Camelus dromedarius";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Camelidae";"Terrestrial";
"Canis latrans";"Animalia";"Chordata";"Mammalia";"Carnivora";"Canidae";"Terrestrial";
"Canis lupus";"Animalia";"Chordata";"Mammalia";"Carnivora";"Canidae";"Terrestrial";
"Capra hircus";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Carpodacus mexicanus";"Animalia";"Chordata";"Aves";"Passeriformes";"Fringillidae";"Terrestrial";
"Castor canadensis";"Animalia";"Chordata";"Mammalia";"Rodentia";"Castoridae";"Freshwater_terrestrial";
"Cavia porcellus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Caviidae";"Terrestrial";
"Cercopithecus mona";"Animalia";"Chordata";"Mammalia";"Primates";"Cercopithecidae";"Terrestrial";
"Cervus elaphus";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Cervus nippon";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
