"";"parsed";"iucn_itis"
"1";"Lemmus lemmus";"Lemmus lemmus"
"2";"Lepus castroviejoi";"Lepus castroviejoi"
"3";"Marmota marmota";"Marmota marmota"
"4";"Microtus felteni";"Microtus felteni"
"5";"Microtus thomasi";"Microtus thomasi"
"6";"Microtus multiplex";"Microtus multiplex"
"7";"Microtus savii";"Microtus savii"
"8";"Microtus duodecimcostatus";"Microtus duodecimcostatus"
"9";"Microtus lusitanicus";"Microtus lusitanicus"
"10";"Microtus liechtensteini";"Microtus liechtensteini"
"11";"Plecotus sardus";"Plecotus sardus"
"12";"Microtus brachycercus";"Microtus brachycercus"
"13";"Myotis alcathoe";"Myotis alcathoe"
"14";"Uromys boeadii";"Uromys boeadii"
"15";"Sorex antinorii";"Sorex antinorii"
"16";"Apodemus epimelas";"Apodemus epimelas"
"17";"Mus spicilegus";"Mus spicilegus"
"18";"Euryoryzomys lamia";"Euryoryzomys lamia"
"19";"Phocarctos hookeri";"Phocarctos hookeri"
"20";"Prolagus sardus";"Prolagus sardus"
"21";"Apodemus alpicola";"Apodemus alpicola"
"22";"Sicista severtzovi";"Sicista severtzovi"
"23";"Sorex samniticus";"Sorex samniticus"
"24";"Spalax giganteus";"Spalax giganteus"
"25";"Spalax microphthalmus";"Spalax microphthalmus"
"26";"Acomys minous";"Acomys minous"
"27";"Acomys nesiotes";"Acomys nesiotes"
"28";"Erinaceus europaeus";"Erinaceus europaeus"
"29";"Crocidura sicula";"Crocidura sicula"
"30";"Sorex coronatus";"Sorex coronatus"
"31";"Sorex granarius";"Sorex granarius"
"32";"Microtus gerbei";"Microtus gerbei"
"33";"Lepus corsicanus";"Lepus corsicanus"
"34";"Lepus granatensis";"Lepus granatensis"
"35";"Talpa caeca";"Talpa caeca"
"36";"Talpa occidentalis";"Talpa occidentalis"
"37";"Talpa romana";"Talpa romana"
"38";"Talpa stankovici";"Talpa stankovici"
"39";"Crocidura canariensis";"Crocidura canariensis"
"40";"Phoniscus aerosus";"Phoniscus aerosus"
"41";"Megaerops wetmorei";"Megaerops wetmorei"
"42";"Mesocricetus brandti";"Mesocricetus brandti"
"43";"Mesocricetus newtoni";"Mesocricetus newtoni"
"44";"Microtus tatricus";"Microtus tatricus"
"45";"Saguinus melanoleucus";"Saguinus melanoleucus"
"46";"Plecotus kolombatovici";"Plecotus kolombatovici"
"47";"Nycticeius aenobarbus";"Nycticeius aenobarbus"
"48";"Crocidura hikmiya";"Crocidura hikmiya"
"49";"Scotophilus collinus";"Scotophilus collinus"
"50";"Bos primigenius";"Bos primigenius"
"51";"Mysateles prehensilis";"Mysateles prehensilis"
"52";"Naemorhedus goral";"Naemorhedus goral"
"53";"Neotoma magister";"Neotoma magister"
"54";"Ovis nivicola";"Ovis nivicola"
"55";"Plagiodontia aedium";"Plagiodontia aedium"
"56";"Pteropus vampyrus";"Pteropus vampyrus"
"57";"Rhinolophus paradoxolophus";"Rhinolophus paradoxolophus"
"58";"Rubrisciurus rubriventer";"Rubrisciurus rubriventer"
"59";"Pennatomys nivalis";"Pennatomys nivalis"
"60";"Scotophilus celebensis";"Scotophilus celebensis"
"61";"Solomys ponceleti";"Solomys ponceleti"
"62";"Spalax arenarius";"Spalax arenarius"
"63";"Speothos venaticus";"Speothos venaticus"
"64";"Rattus vandeuseni";"Rattus vandeuseni"
"65";"Suncus montanus";"Suncus montanus"
"66";"Arvicola sapidus";"Arvicola sapidus"
"67";"Aselliscus stoliczkanus";"Aselliscus stoliczkanus"
"68";"Thomasomys vestitus";"Thomasomys vestitus"
"69";"Trichechus manatus";"Trichechus manatus"
"70";"Babyrousa babyrussa";"Babyrousa babyrussa"
"71";"Budorcas taxicolor";"Budorcas taxicolor"
"72";"Burramys parvus";"Burramys parvus"
